# created from Y0mm_Mean.dat file and invalid data removed,,,
# coordinates converted to meters,,,
# coordinate system and position updated to match global coordinate system,,,
# all data is taken on the Y = 0 mm plane and provided as a mean,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,
# 2,2,,
# Streamwise Location, Location from wheel centre of rotation, Streamwise velocity, Vertical velocity
# m, m, m/s, m/s
# x, z, Vx, Vz
0.342067,0.213539,33.4271,-1.62306
0.340601,0.213539,33.428,-1.69233
0.339135,0.213539,33.4129,-1.78373
0.337669,0.213539,33.4142,-1.84753
0.336203,0.213539,33.4039,-1.87103
0.334737,0.213539,33.3956,-1.89604
0.333271,0.213539,33.4025,-1.91867
0.331805,0.213539,33.4047,-1.89892
0.330339,0.213539,33.4135,-1.85331
0.328873,0.213539,33.4404,-1.83856
0.327407,0.213539,33.4532,-1.88988
0.325941,0.213539,33.4463,-1.98662
0.324475,0.213539,33.4227,-2.06073
0.323009,0.213539,33.4005,-2.07668
0.321543,0.213539,33.3796,-2.07966
0.320077,0.213539,33.386,-2.1187
0.318611,0.213539,33.4109,-2.21475
0.317145,0.213539,33.4298,-2.27202
0.315679,0.213539,33.4184,-2.27072
0.314213,0.213539,33.4308,-2.23245
0.312747,0.213539,33.4455,-2.24871
0.311281,0.213539,33.439,-2.3285
0.309815,0.213539,33.4117,-2.40726
0.308349,0.213539,33.3959,-2.44886
0.306883,0.213539,33.3778,-2.4426
0.305417,0.213539,33.3706,-2.41653
0.30395,0.213539,33.376,-2.41333
0.302484,0.213539,33.3737,-2.44726
0.301018,0.213539,33.3767,-2.51059
0.299552,0.213539,33.3883,-2.5419
0.298086,0.213539,33.4082,-2.58584
0.29662,0.213539,33.4115,-2.64002
0.295154,0.213539,33.4074,-2.7082
0.293688,0.213539,33.3818,-2.74483
0.292222,0.213539,33.3377,-2.75399
0.290756,0.213539,33.3005,-2.75289
0.28929,0.213539,33.2481,-2.73266
0.287824,0.213539,33.2428,-2.76535
0.286358,0.213539,33.2569,-2.82955
0.284892,0.213539,33.2709,-2.91961
0.283426,0.213539,33.3396,-2.8287
0.28196,0.213539,33.3694,-2.84484
0.280494,0.213539,33.4013,-2.87368
0.279028,0.213539,33.4299,-2.90107
0.277562,0.213539,33.4413,-2.94307
0.276096,0.213539,33.4469,-2.964
0.27463,0.213539,33.4555,-2.983
0.273164,0.213539,33.4816,-3.01154
0.271698,0.213539,33.5197,-3.05395
0.270232,0.213539,33.5528,-3.10958
0.268766,0.213539,33.5656,-3.16434
0.2673,0.213539,33.5925,-3.197
0.265834,0.213539,33.5911,-3.21911
0.264368,0.213539,33.6049,-3.23341
0.262902,0.213539,33.619,-3.27471
0.261436,0.213539,33.6323,-3.30853
0.25997,0.213539,33.6631,-3.3289
0.258503,0.213539,33.6909,-3.35379
0.257037,0.213539,33.7264,-3.40779
0.255571,0.213539,33.7532,-3.44168
0.254105,0.213539,33.7898,-3.47264
0.252639,0.213539,33.8177,-3.49573
0.251173,0.213539,33.8535,-3.52472
0.249707,0.213539,33.8903,-3.54804
0.248241,0.213539,33.9183,-3.55773
