# created from Y50mm_Mean.dat file and invalid data removed,,,
# coordinates converted to meters,,,
# coordinate system and position updated to match global coordinate system,,,
# all data is taken on the Y = 50 mm plane and provided as a mean,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,
# 2,2,,
# Streamwise Location, Location from wheel centre of rotation, Streamwise velocity, Vertical velocity
# m, m, m/s, m/s
# x, z, Vx, Vz
0.554915,0.219133,30.7077,0.042766
0.553405,0.219133,31.0081,-0.00250607
0.551894,0.219133,31.3469,-0.0597796
0.550384,0.219133,31.5684,-0.0798689
0.548874,0.219133,31.7485,-0.00147819
0.547363,0.219133,31.8036,-0.0465238
0.545853,0.219133,31.946,-0.190879
0.544343,0.219133,32.0729,-0.317749
0.542832,0.219133,32.0949,-0.429663
0.541322,0.219133,32.1525,-0.470062
0.539812,0.219133,32.2516,-0.585746
0.538301,0.219133,32.3128,-0.562357
0.536791,0.219133,32.4193,-0.534767
0.535281,0.219133,32.4467,-0.40532
0.53377,0.219133,32.3807,-0.343958
0.53226,0.219133,32.2789,-0.262433
0.53075,0.219133,32.2111,-0.306566
0.529239,0.219133,32.2461,-0.267694
0.527729,0.219133,32.2997,-0.355725
0.526219,0.219133,32.3638,-0.343894
0.524708,0.219133,32.396,-0.368989
0.523198,0.219133,32.4937,-0.368247
0.521688,0.219133,32.5127,-0.370118
0.520177,0.219133,32.5016,-0.39529
0.518667,0.219133,32.4955,-0.383711
0.517157,0.219133,32.3713,-0.354737
0.515646,0.219133,32.3731,-0.261238
0.514136,0.219133,32.4274,-0.315031
0.512626,0.219133,32.539,-0.324531
0.511115,0.219133,32.6025,-0.358024
0.509605,0.219133,32.6373,-0.315939
0.508095,0.219133,32.5829,-0.302715
0.506584,0.219133,32.6551,-0.281612
0.505074,0.219133,32.7036,-0.304788
0.503564,0.219133,32.7001,-0.288317
0.502053,0.219133,32.6412,-0.252483
0.500543,0.219133,32.6148,-0.223224
0.499033,0.219133,32.6517,-0.262931
0.497522,0.219133,32.6534,-0.30821
0.496012,0.219133,32.6813,-0.307414
0.494502,0.219133,32.712,-0.268921
0.492991,0.219133,32.78,-0.269246
0.491481,0.219133,32.797,-0.329855
0.489971,0.219133,32.8188,-0.396071
0.48846,0.219133,32.8326,-0.365138
0.48695,0.219133,32.8049,-0.329338
0.48544,0.219133,32.7611,-0.370777
0.483929,0.219133,32.7903,-0.40201
0.482419,0.219133,32.8187,-0.450058
0.480909,0.219133,32.8731,-0.430193
0.479398,0.219133,32.916,-0.408005
0.477888,0.219133,32.9526,-0.403326
0.476378,0.219133,32.9398,-0.475814
0.474867,0.219133,32.9056,-0.517057
0.473357,0.219133,32.8013,-0.476451
0.471847,0.219133,32.8008,-0.458898
0.470336,0.219133,32.8215,-0.51324
0.468826,0.219133,32.8388,-0.581289
0.467316,0.219133,32.8079,-0.621235
0.465805,0.219133,32.7966,-0.602146
0.464295,0.219133,32.802,-0.56321
0.462785,0.219133,32.833,-0.608542
0.461275,0.219133,32.8778,-0.622798
0.459764,0.219133,32.9219,-0.592804
0.458254,0.219133,32.9188,-0.494372
0.456744,0.219133,32.8795,-0.448171
0.455233,0.219133,32.8231,-0.428537
0.453723,0.219133,32.7701,-0.468073
0.452213,0.219133,32.7173,-0.481138
0.450702,0.219133,32.7262,-0.539728
0.449192,0.219133,32.7939,-0.527687
0.447682,0.219133,32.8719,-0.471554
0.446171,0.219133,32.8861,-0.459926
0.444661,0.219133,32.8695,-0.425435
0.443151,0.219133,32.9002,-0.404837
0.44164,0.219133,32.9235,-0.430772
0.44013,0.219133,32.9164,-0.503897
0.43862,0.219133,32.9104,-0.55496
0.437109,0.219133,32.9215,-0.588531
0.435599,0.219133,32.9412,-0.59776
0.434089,0.219133,32.9564,-0.590284
0.432578,0.219133,32.9661,-0.532075
0.431068,0.219133,32.9614,-0.476068
0.429558,0.219133,32.9623,-0.496224
0.428047,0.219133,32.9483,-0.566508
0.426537,0.219133,32.9634,-0.584253
0.425027,0.219133,32.9704,-0.577502
0.423516,0.219133,32.9469,-0.57417
0.422006,0.219133,32.9029,-0.622465
0.420496,0.219133,32.8533,-0.695459
0.418985,0.219133,32.8186,-0.721053
0.417475,0.219133,32.8241,-0.716752
0.415965,0.219133,32.8554,-0.69492
0.414454,0.219133,32.8963,-0.705686
0.412944,0.219133,32.8893,-0.71889
0.411434,0.219133,32.8742,-0.725411
0.409923,0.219133,32.8889,-0.752079
0.408413,0.219133,32.8835,-0.806734
0.406903,0.219133,32.8371,-0.893032
0.405392,0.219133,32.8252,-0.950302
0.403882,0.219133,32.8084,-0.837679
0.402372,0.219133,32.828,-0.763211
0.400861,0.219133,32.8815,-0.798213
0.399351,0.219133,32.8941,-0.821552
0.397841,0.219133,32.8933,-0.76652
0.39633,0.219133,32.9081,-0.692806
0.39482,0.219133,32.8864,-0.667565
0.39331,0.219133,32.8429,-0.712091
0.391799,0.219133,32.8333,-0.75455
0.390289,0.219133,32.8434,-0.786425
0.388779,0.219133,32.8398,-0.818123
0.387268,0.219133,32.8685,-0.860203
0.385758,0.219133,32.8926,-0.907072
0.384248,0.219133,32.8825,-0.94525
0.382737,0.219133,32.8911,-0.905499
0.381227,0.219133,32.9009,-0.847055
0.379717,0.219133,32.8822,-0.828676
0.378206,0.219133,32.8491,-0.858437
0.376696,0.219133,32.8031,-0.949547
0.375186,0.219133,32.7665,-1.07674
0.373675,0.219133,32.7736,-1.13234
0.372165,0.219133,32.8046,-1.11403
0.370655,0.219133,32.8178,-1.09192
0.369144,0.219133,32.817,-1.06049
0.367634,0.219133,32.7618,-1.01776
0.366124,0.219133,32.6931,-0.959755
0.364614,0.219133,32.6763,-0.899857
0.363103,0.219133,32.6887,-0.899541
0.361593,0.219133,32.6921,-0.960688
0.360083,0.219133,32.6631,-0.980714
0.358572,0.219133,32.6505,-0.980486
0.357062,0.219133,32.6605,-1.03326
0.355552,0.219133,32.6609,-1.09985
0.354041,0.219133,32.6723,-1.11177
0.352531,0.219133,32.6826,-1.04013
0.351021,0.219133,32.6473,-0.943525
0.34951,0.219133,32.6076,-0.879225
0.348,0.219133,32.6013,-0.874875
0.34649,0.219133,32.6137,-0.935803
0.344979,0.219133,32.6397,-1.04559
0.343469,0.219133,32.6296,-1.11552
0.341959,0.219133,32.5868,-1.08694
0.340448,0.219133,32.5903,-1.03477
0.338938,0.219133,32.6262,-0.987474
0.337428,0.219133,32.6262,-0.992239
0.335917,0.219133,32.6172,-1.06955
0.334407,0.219133,32.5866,-1.11
0.332897,0.219133,32.5366,-1.07489
0.331386,0.219133,32.5408,-1.04896
0.329876,0.219133,32.5654,-1.05314
0.328366,0.219133,32.5947,-1.02994
0.326855,0.219133,32.6078,-1.00034
0.325345,0.219133,32.5886,-0.980514
0.323835,0.219133,32.5514,-0.958
0.322324,0.219133,32.5435,-0.989919
0.320814,0.219133,32.5293,-1.05866
0.319304,0.219133,32.4985,-1.11894
0.317793,0.219133,32.5016,-1.17494
0.316283,0.219133,32.5526,-1.21961
0.314773,0.219133,32.5974,-1.25991
0.313262,0.219133,32.5976,-1.26101
0.311752,0.219133,32.5701,-1.16711
0.310242,0.219133,32.5657,-1.05721
0.308731,0.219133,32.5906,-1.00443
0.307221,0.219133,32.5821,-1.06419
0.305711,0.219133,32.5133,-1.17611
0.3042,0.219133,32.4197,-1.21762
0.30269,0.219133,32.3896,-1.12956
0.30118,0.219133,32.4058,-1.03031
0.299669,0.219133,32.4439,-1.02685
0.298159,0.219133,32.4843,-1.11399
0.296649,0.219133,32.4954,-1.22956
0.295138,0.219133,32.4944,-1.23793
0.293628,0.219133,32.4617,-1.17566
0.292118,0.219133,32.4736,-1.13508
0.290607,0.219133,32.5061,-1.20635
0.289097,0.219133,32.5244,-1.25175
0.287587,0.219133,32.5642,-1.28407
0.286076,0.219133,32.5975,-1.27914
0.284566,0.219133,32.6127,-1.23471
0.283056,0.219133,32.5989,-1.21132
0.281545,0.219133,32.577,-1.22179
0.280035,0.219133,32.5422,-1.1958
0.278525,0.219133,32.5935,-1.2263
0.277014,0.219133,32.6586,-1.25092
0.275504,0.219133,32.6891,-1.29296
0.273994,0.219133,32.7341,-1.38326
0.272483,0.219133,32.7221,-1.44457
0.270973,0.219133,32.6853,-1.44213
0.269463,0.219133,32.7239,-1.44893
0.267953,0.219133,32.7626,-1.43686
0.266442,0.219133,32.7526,-1.45974
0.264932,0.219133,32.7314,-1.48574
0.263422,0.219133,32.7041,-1.49193
0.261911,0.219133,32.7069,-1.50158
0.260401,0.219133,32.7505,-1.55469
0.258891,0.219133,32.8208,-1.62788
0.25738,0.219133,32.8372,-1.72186
0.25587,0.219133,32.8256,-1.76846
0.25436,0.219133,32.8066,-1.77561
0.252849,0.219133,32.7804,-1.70922
0.251339,0.219133,32.7902,-1.72218
0.249829,0.219133,32.8262,-1.79491
0.248318,0.219133,32.9002,-1.8732
0.246808,0.219133,32.9416,-1.86127
0.245298,0.219133,32.9873,-1.8448
0.243787,0.219133,33.0014,-1.92265
0.242277,0.219133,33.0413,-2.03296
0.240767,0.219133,33.0921,-2.04735
0.239256,0.219133,33.1348,-2.06547
0.237746,0.219133,33.1631,-2.05831
0.236236,0.219133,33.1865,-2.10031
0.234725,0.219133,33.2487,-2.1686
0.233215,0.219133,33.2757,-2.2293
0.231705,0.219133,33.2897,-2.25723
0.230194,0.219133,33.3491,-2.23168
0.228684,0.219133,33.3595,-2.23097
0.227174,0.219133,33.3586,-2.21486
0.225663,0.219133,33.3352,-2.24946
0.224153,0.219133,33.3336,-2.32633
