# created from X330mm_Mean.dat file and invalid data removed,,,,
# coordinates converted to meters,,,,
# coordinate system updated to match global coordinate system,,,,
# all data is taken on the X = 330 mm plane,,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,,
# 2,3,,,
# Location across the tread, Location from wheel centre of rotation, Streamwise velocity, Cross-tread velocity, Vertical velocity
# m, m, m/s, m/s, m/s
# y, z, Vx, Vy, Vz
-0.25309,0.0019813,26.08,-1.127,4.6576
-0.25309,-0.00074236,26.379,-1.2263,4.7085
-0.25309,-0.003466,26.761,-1.3412,4.744
-0.25309,-0.0061897,27.16,-1.3935,4.7758
-0.25309,-0.0089133,27.629,-1.3326,4.8326
-0.25309,-0.011637,28.037,-1.2788,4.8443
-0.25309,-0.014361,28.122,-1.2461,4.8722
-0.25309,-0.017084,28.1,-1.2284,4.8558
-0.25309,-0.019808,28.123,-1.1907,4.8132
-0.25309,-0.022532,28.177,-1.1415,4.7435
-0.25309,-0.025255,28.38,-1.0718,4.6853
-0.25309,-0.027979,28.457,-0.93702,4.6132
-0.25309,-0.030703,28.509,-0.74749,4.5583
-0.25309,-0.033426,28.555,-0.59009,4.5001
-0.25309,-0.03615,28.464,-0.42406,4.4699
-0.25309,-0.038873,28.245,-0.24937,4.4218
-0.25309,-0.041597,27.984,-0.099063,4.4098
-0.25309,-0.044321,27.714,0.034375,4.3376
-0.25309,-0.047044,27.523,0.20182,4.2479
-0.25309,-0.049768,27.355,0.34204,4.1965
-0.25309,-0.052492,27.22,0.45948,4.1749
-0.25309,-0.055215,27.232,0.56273,4.1504
-0.25309,-0.057939,27.346,0.63491,4.1157
-0.25309,-0.060663,26.869,0.84843,4.0458
-0.25309,-0.063386,26.02,1.1086,3.9167
-0.25309,-0.06611,25.548,1.2704,3.8221
-0.25309,-0.068834,25.253,1.3832,3.6848
-0.25309,-0.071557,24.273,1.5861,3.3287
-0.25309,-0.074281,21.484,2.1268,2.8578
-0.25309,-0.077005,17.119,3.038,2.4832
-0.25309,-0.079728,12.893,3.9709,2.1703
-0.25309,-0.082452,10.901,4.3453,2.0182
-0.25309,-0.085175,10.796,4.2112,2.0568
-0.25309,-0.087899,11.941,3.7997,2.243
-0.25309,-0.090623,14.294,3.1341,2.5836
-0.25309,-0.093346,17.195,2.3106,2.8682
-0.25309,-0.09607,19.61,1.5352,2.9577
-0.25309,-0.098794,20.95,0.93538,2.9727
-0.25309,-0.10152,21.889,0.43743,2.9587
-0.25309,-0.10424,22.472,0.034845,2.8767
-0.25309,-0.10696,22.875,-0.33864,2.7718
-0.25309,-0.10969,23.335,-0.75869,2.6712
-0.25309,-0.11241,23.858,-1.2004,2.6096
-0.25309,-0.11514,23.805,-1.5312,2.471
-0.25309,-0.11786,23.386,-1.7452,2.2722
-0.25309,-0.12058,22.99,-1.9689,1.9759
-0.25309,-0.12331,22.507,-2.1554,1.605
-0.25309,-0.12603,21.994,-2.3244,1.3059
-0.25309,-0.12875,21.608,-2.5038,1.1822
-0.25309,-0.13148,21.464,-2.7136,1.1138
-0.25309,-0.1342,21.513,-3.0154,0.89296
-0.25309,-0.13692,20.767,-3.1503,0.64574
-0.25309,-0.13965,19.167,-3.0442,0.72289
-0.25309,-0.14237,17.623,-2.8518,1.0289
-0.25309,-0.1451,16.248,-2.6588,1.178
-0.25309,-0.14782,14.506,-2.3995,1.1308
-0.25309,-0.15054,12.164,-2.0825,0.97401
-0.25309,-0.15327,9.8694,-1.617,0.9215
-0.25309,-0.15599,8.4328,-0.72747,1.1086
-0.25309,-0.15871,7.1413,-0.14986,1.1708
-0.25115,0.0019813,26.427,-1.0333,4.5281
-0.25115,-0.00074236,26.713,-1.1258,4.5549
-0.25115,-0.003466,27.021,-1.2458,4.5774
-0.25115,-0.0061897,27.42,-1.2949,4.6061
-0.25115,-0.0089133,27.862,-1.2182,4.6549
-0.25115,-0.011637,28.207,-1.152,4.6755
