"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
1769.8,-5198.7,29,2.1801,1.8316,0.5154,0.00069548,299.92,-2.634,8.4774,132.13,-53.152,0,0.495,0.031332,0.23238
16725,-4723.5,27.743,1.5144,2.6648,0.72303,0.00064355,432.42,0.27638,108.56,259.02,41.95,0,0.495,0.015447,0.23236
2902.5,-3213.8,29.658,1.7741,1.706,0.17096,0.0003595,146,-2.8568,-1.6251,54.909,-20.354,0,0.495,0.031325,0.24038
8255.9,-2607.8,29.108,1.1863,2.4119,0.26344,0.00038675,241.67,-0.57983,90.73,115.37,17.589,0,0.495,0.015439,0.24036
28085,-7859.7,24.883,1.9624,2.7577,1.7906,0.00095694,742.4,0.85352,119.03,481.48,93.427,0,0.495,0.015453,0.22435
60435,-6051.3,23.379,1.4959,3.1841,1.68,0.00067483,729.88,1.742,218.36,590.87,340.59,0,0.495,0,0.22434
31910,-2970.7,27.03,1.2006,3.0047,0.72359,0.00047992,475.54,0.76659,206.03,332.99,152.61,0,0.495,0,0.23235
-3029.6,-7619.2,27.497,2.7425,1.8194,1.4521,0.0012476,606.51,-2.9305,17.743,278.41,-122.21,0,0.495,0.031337,0.22438
13342,-1377.1,28.813,0.96461,2.6674,0.2768,0.00030393,292.49,-0.36759,182.88,150.41,61.772,0,0.495,0,0.24035
762.44,-818.61,30.364,2.0554,-0.82149,0.0096678,8.9956e-05,28.743,-12.925,-0.97957,6.2665,-2.0699,0,0.495,0.094931,0.23252
1249.9,-1291.4,30.277,2.2936,-0.38845,0.018335,0.00011912,43.847,-11.631,-4.127,8.837,-4.823,0,0.495,0.079075,0.23249
578.32,-627.07,30.403,1.9025,-0.68434,0.0080368,7.4842e-05,23.622,-12.112,-1.8222,5.7537,-1.7719,0,0.495,0.094928,0.24052
928.97,-972.34,30.321,2.086,-0.28956,0.011011,8.181e-05,33.091,-10.781,-6.0607,6.0083,-3.7224,0,0.495,0.079071,0.24049
1173.9,-3177.9,29.874,2.8227,0.13926,0.2124,0.00060488,159.38,-10.929,11.568,49.179,-26.481,0,0.495,0.063216,0.22446
1862.9,-2121.9,30.09,2.4222,0.26695,0.060756,0.00022172,80.544,-9.67,-1.6576,19.588,-10.371,0,0.495,0.063215,0.23246
1547.6,-1979.2,30.193,2.5704,-0.52495,0.054276,0.00026456,72.984,-12.811,5.4171,19.436,-9.9505,0,0.495,0.079078,0.22446
1159.2,-1242.5,30.326,2.246,-0.98648,0.016622,0.00013073,38.765,-13.975,4.9391,8.6919,-3.943,0,0.495,0.094935,0.22448
1446.7,-1468.5,30.176,2.1414,0.32611,0.02329,0.00011149,51.205,-8.867,-6.5417,8.9925,-5.0607,0,0.495,0.063211,0.24046
223.9,-268.95,30.496,0.99602,-1.5561,0.0059543,5.7672e-05,6.9281,-13.079,1.3053,3.4211,-0.63294,0,0.495,0.15859,0.23226
277.85,-322.39,30.499,1.2409,-1.5343,0.0061846,5.7436e-05,9.699,-13.432,-2.4126,3.5568,-1.033,0,0.495,0.14263,0.23224
179.99,-224.73,30.521,0.9818,-1.4173,0.0058868,6.1479e-05,5.9382,-12.736,2.2812,2.9474,-0.69086,0,0.495,0.1586,0.24019
241.2,-288.7,30.524,1.1998,-1.3902,0.0060692,5.7254e-05,8.2512,-13,-0.39971,2.8315,-0.81918,0,0.495,0.1426,0.24041
519.32,-580.64,30.443,1.5466,-1.505,0.0069215,6.8221e-05,16.46,-14.346,-3.8733,4.5218,-2.0309,0,0.495,0.12667,0.22446
401.36,-451.18,30.467,1.4923,-1.3425,0.0066521,6.4546e-05,14.472,-13.635,-5.7983,4.3539,-1.9347,0,0.495,0.12666,0.23253
332.94,-380.82,30.475,1.2655,-1.6821,0.0062941,5.899e-05,11.037,-13.986,-1.6323,4.1636,-1.2592,0,0.495,0.14259,0.22431
262.95,-311.81,30.473,1.0033,-1.6996,0.00601,5.5767e-05,7.7847,-13.437,2.4756,3.316,-0.87059,0,0.495,0.15858,0.22409
368.7,-421.26,30.496,1.4217,-1.1892,0.0064453,5.8669e-05,12.542,-13.034,-3.9056,3.887,-1.5885,0,0.495,0.12665,0.24055
107.5,-133.24,30.471,0.26474,-1.505,0.0055714,7.3567e-05,1.8127,-10.281,3.2795,1.7595,-0.78934,0,0.495,0.22231,0.23277
