"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
33940,-27959,0.6661,3.4463,1.8218,9.8927,0.0045259,2205.4,-36.336,-311.39,184.99,-88.918,0,0.33,0.015487,0.16815
43634,-15800,2.0723,4.6867,-0.0055997,12.48,0.0055149,2181.1,-41.561,-220.88,457.48,-300.62,0,0.33,0.023439,0.16817
23131,-23220,0.12075,3.2337,2.589,10.523,0.0051505,2074.3,-41.768,-350.03,57.094,-20.367,0,0.33,0.015508,0.16412
23986,-11392,0.76506,4.5047,0.43098,11.897,0.0063055,1893.2,-46.57,-290.97,219.67,-193.05,0,0.33,0.023462,0.16415
22459,-1441.8,1.487,5.2545,-0.98786,14.568,0.0081955,1776.3,-56.756,-257.84,286.72,-291.07,0,0.33,0.031402,0.16017
15265,-8308.6,0.036505,4.273,0.99322,12.463,0.0072612,1726.5,-52.083,-334.47,108.15,-119.52,0,0.33,0.023479,0.16013
37131,-5246.5,2.9912,5.4074,-1.2093,15.478,0.0073579,2049.7,-51.588,-188.69,465.96,-384.18,0,0.33,0.031388,0.16419
21049,-19640,-0.18195,3.0239,3.3648,11.613,0.0059265,1997,-47.698,-371.65,17.063,16.291,0,0.33,0.015528,0.1601
43602,-9949.9,5.3257,5.4436,-1.208,17.418,0.0065846,2415.5,-46.903,-100.57,736.91,-485.69,0,0.33,0.031374,0.1682
-2.1584e+05,-79899,0.83594,1.9318,4.1356,9.1508,0.0023393,2940.4,-33.189,85.609,20.889,1930.2,0,0.33,0.0075603,0.16813
69158,-94605,1.2823,2.1086,3.1186,8.8353,0.0021263,2995.5,-28.112,44.129,198.55,1851.1,0,0.33,0.0075396,0.17215
64706,-33689,1.9791,3.6207,1.183,10.372,0.0038889,2516.6,-31.529,-234.17,522.5,-217.31,0,0.33,0.015465,0.17217
2.7916e+05,-98183,2.9206,2.2557,2.2489,8.8301,0.0017656,3148.7,-23.846,54.16,705.97,1657.2,0,0.33,0.0075199,0.17617
4.6025e+05,-1.5073e+05,2.3462,1.4671,3.0343,7.9874,0.00065888,3347.2,-22.961,273.98,529.59,3596.1,0,0.33,0,0.17616
80349,-1.4699e+05,1.3885,1.2963,4.2263,8.6575,0.00068848,3477.4,-27.277,375.96,67.274,3799.6,0,0.33,0,0.17214
66287,-36036,5.1342,3.6571,0.97463,11.506,0.0030959,3006.5,-27.53,-106.8,1040.9,-381.56,0,0.33,0.015445,0.17619
-4.6385e+05,-1.2426e+05,1.225,1.1364,5.3991,9.0182,0.00070811,3539.4,-32.447,515.22,-32.385,3849.2,0,0.33,0,0.16811
43280,-20624,4.6321,4.7426,-0.14374,14.32,0.0046441,2648.9,-37.064,-115.14,867.53,-431.13,0,0.33,0.023412,0.17219
-51439,-17456,13.663,4.926,-0.17666,18.15,0.0052214,2902.1,-39.177,69.059,1223.6,-535.45,0,0.33,0.031342,0.17624
-3941.5,-14381,8.8916,5.2992,-0.87188,19.215,0.0058626,2791.8,-42.676,-2.3652,1060.2,-554.64,0,0.33,0.031356,0.17222
-6690.4,-22818,9.0577,4.5668,0.22617,15.324,0.0038938,3053.1,-33.393,-0.26671,1242.2,-517.47,0,0.33,0.023389,0.17621
-15959,-4888.6,11.433,5.8147,-2.6117,25.346,0.010479,2343.2,-59.684,14.953,772.73,-575.68,0,0.33,0.047201,0.16428
26933,-4282.9,6.7827,5.8229,-2.1835,20.954,0.0087148,2274,-56.03,-72.314,678.57,-526.64,0,0.33,0.039297,0.16423
-43135,-7623.9,14.673,5.5588,-2.0231,24.677,0.0098126,2442.8,-55.522,61.663,881.67,-564.21,0,0.33,0.047191,0.1683
-3679.4,-8425.3,9.8487,5.6851,-1.8066,22.503,0.0081438,2541.5,-51.601,2.5429,885.41,-573.87,0,0.33,0.039285,0.16825
35999,-41.912,4.4796,5.8198,-2.3423,19.16,0.0093296,1997.4,-60.918,-145.69,495.46,-455.63,0,0.33,0.039309,0.16022
21635,-1447.5,8.6713,5.9495,-3.053,24.473,0.010937,2168.1,-64.252,-41.375,642.32,-551.82,0,0.33,0.047211,0.16027
-44554,-9485.5,18.249,5.1882,-1.3238,21.48,0.0087336,2393.6,-51.764,90.125,925,-505.02,0,0.33,0.047181,0.17231
-38515,-6228.4,19.138,5.2206,-2.0527,22.722,0.010375,2182.8,-58.573,84.763,787.02,-502.09,0,0.33,0.055098,0.16835
-33475,-7069.5,22.165,4.8487,-1.3806,17.583,0.0086331,2010.7,-54.989,90.713,756.53,-424.37,0,0.33,0.055089,0.17235
-16312,-4750.8,27.395,4.1109,-0.91057,7.1692,0.0054331,1256.1,-54.275,60.293,456.48,-246.12,0,0.33,0.063012,0.17641
-23167,-4770,25.398,4.4451,-1.4106,12.144,0.0074242,1589,-57.332,78.056,577.7,-337.23,0,0.33,0.06302,0.1724
-25582,-7307.2,24.928,4.4427,-0.76399,11.604,0.0066539,1693.3,-51.792,79.528,647.92,-326.13,0,0.33,0.05508,0.17636
-36668,-10528,21.804,4.7331,-0.60771,15.845,0.0072462,2132.2,-48.452,92.394,850.97,-403.97,0,0.33,0.047171,0.17632
-28821,-4398.1,23.008,4.7768,-2.0006,17.638,0.0094822,1834.4,-60.737,85.803,652.01,-420.53,0,0.33,0.063026,0.16839
-36558,-11680,13.714,5.3836,-1.1926,22.154,0.0075284,2688.9,-47.628,65.304,1053.1,-564.08,0,0.33,0.039273,0.17226
-48867,-13982,18.033,4.9249,-0.42186,18.36,0.0066447,2555.5,-44.226,93.679,1058.6,-480.12,0,0.33,0.039261,0.17628
-16475,-31230,16.094,3.0043,1.9694,8.6386,0.0019938,2861.2,-23.926,64.313,1320.3,-325.26,0,0.33,0.015416,0.18423
13690,-34242,10.373,3.4382,1.3566,11.1,0.0024152,3221.6,-24.931,12.995,1385.6,-429.37,0,0.33,0.015427,0.18021
1.698e+05,-32475,13.596,1.955,2.3362,5.956,0.0010205,2692.5,-20.15,212.14,1509.4,957.56,0,0.33,0.0074918,0.18421
1.8499e+05,-68904,7.2968,2.2254,1.9911,8.006,0.0013075,3128.5,-20.985,129.64,1323.8,1328.7,0,0.33,0.0075019,0.18019
3.1034e+05,-96156,6.1541,1.5176,2.3805,6.3461,0.0005735,2976.7,-20.014,281.54,1255.2,3033.7,0,0.33,0,0.18018
3.4291e+05,-29206,12.618,1.3463,2.5051,4.0877,0.00044577,2377.6,-19.173,369.64,1584.6,2207.2,0,0.33,0,0.1842
-7680.8,-25828,20.804,2.5264,2.418,5.7923,0.0016886,2210.3,-23.828,66.566,1026,-199.81,0,0.33,0.015421,0.18824
-15971,-19309,22.917,3.1333,1.9939,6.1163,0.0023352,1898.8,-28.598,62.568,813.65,-236.67,0,0.33,0.023356,0.18826
-30000,-23300,19.2,3.6379,1.5654,9.5488,0.0028699,2500.3,-29.464,76.077,1080.1,-352.08,0,0.33,0.023359,0.18425
-7736.2,-10875,27.081,3.0041,1.7764,3.1281,0.0021731,1096.4,-32.279,35.944,437.2,-148.56,0,0.33,0.031298,0.1923
-15620,-13921,25.038,3.4154,1.5464,5.4969,0.0029215,1542.4,-33.266,53.784,620.04,-222.94,0,0.33,0.031305,0.18828
-6722.5,-14655,25.633,2.6937,2.2329,3.6459,0.0018427,1360.2,-28.154,46.041,578.96,-153.2,0,0.33,0.023363,0.19227
740.06,-19106,24.248,2.1045,2.6341,3.5611,0.0014136,1582.1,-24.125,55.396,727.06,-112.76,0,0.33,0.015438,0.19225
-27423,-17119,22.21,3.8889,1.1608,9.0959,0.0037635,2067.6,-34.684,73.556,843.5,-321.76,0,0.33,0.031316,0.18427
-40420,-23907,14.422,4.1565,0.92955,13.315,0.0033753,2990.1,-30.929,66.584,1293.4,-477.1,0,0.33,0.023372,0.18023
-44099,-18739,18.436,4.4105,0.58784,13.853,0.0045478,2593.3,-36.597,87.4,1095.5,-437.64,0,0.33,0.031328,0.18025
-9298.2,-5685.6,28.625,3.7172,0.059795,3.3172,0.0034815,902.57,-46.662,33.674,321.92,-157.97,0,0.33,0.055063,0.18438
-16625,-6774.6,27.121,4.0525,-0.27767,6.5193,0.0048375,1286.8,-49.033,57.047,483.68,-231.78,0,0.33,0.055071,0.18037
-14765,-8446.6,26.97,3.8585,0.40583,5.4416,0.0041714,1257.2,-43.369,48.096,470.32,-215.32,0,0.33,0.047151,0.18434
-25021,-10131,24.805,4.267,-0.011052,9.8104,0.0055884,1705.1,-45.677,73.362,669.79,-299.31,0,0.33,0.047161,0.18033
-9815.7,-4370,28.853,3.8047,-0.53399,3.6684,0.0038155,900.42,-51.586,38.772,317.69,-164.61,0,0.33,0.063005,0.18041
-4844.1,-3820.4,29.785,3.5414,-0.27177,1.7343,0.0026861,601.61,-49.215,20.545,198.93,-104.15,0,0.33,0.062998,0.18442
-21061,-12200,24.825,3.9322,0.77307,7.5754,0.0043199,1647.5,-39.35,62.19,641.6,-270.95,0,0.33,0.039238,0.1843
-7930.1,-6808,28.436,3.5167,0.67844,2.8872,0.003102,883.77,-41.43,26.925,316.43,-147.32,0,0.33,0.047141,0.18835
-11960,-9871.2,26.91,3.5212,1.1024,4.2982,0.0032579,1199.2,-37.6,40.322,455.36,-189.1,0,0.33,0.039227,0.18831
-5693.4,-7819.7,28.375,3.1668,1.3048,2.3158,0.0023346,836.52,-36.238,22.996,312.61,-125.56,0,0.33,0.039217,0.19233
-2770.3,-5434.9,29.412,3.2248,0.85385,1.474,0.0022062,600.61,-39.828,12.588,207.38,-94.716,0,0.33,0.047131,0.19236
-34729,-14244,21.918,4.4064,0.27748,12.539,0.0054945,2144.5,-41.517,85.209,874.94,-368.33,0,0.33,0.03925,0.18029
-11910,-1588,28.462,3.8768,-1.8927,6.2747,0.0058048,1023.5,-62.523,50.554,337.96,-227.87,0,0.33,0.078995,0.16848
-6097.3,-1190.4,29.946,3.5128,-1.9202,2.8541,0.0040329,654.03,-62.392,29.203,200.21,-139.92,0,0.33,0.086911,0.16853
-15974,-986.37,27.033,4.0829,-2.3302,10.138,0.0077419,1263.5,-65.69,63.71,416.83,-300.57,0,0.33,0.078995,0.16448
-9252.5,-562.26,29.086,3.6628,-2.2438,5.1584,0.0055652,873.21,-65.249,42.451,273.61,-201.87,0,0.33,0.086914,0.16453
-6788.9,74.726,29.672,3.424,-2.5189,3.9333,0.0051137,720.09,-67.079,33.597,213.53,-169.43,0,0.33,0.09483,0.16059
-12444,221.3,27.943,3.8122,-2.6271,8.3026,0.0073538,1083,-68.276,54.365,340.35,-267.09,0,0.33,0.086915,0.16053
-4441.5,-634.5,30.324,3.3185,-2.2386,2.198,0.0037576,538.24,-64.341,23.073,155.35,-116.98,0,0.33,0.094828,0.16458
-19357,-316.07,25.332,4.2806,-2.8249,14.557,0.0097877,1455.5,-69.052,71.731,471.19,-366.63,0,0.33,0.078985,0.16046
-2256.2,-1114.7,30.759,3.2129,-2.0039,1.1126,0.0026714,377.92,-61.755,13.804,103.7,-74.317,0,0.33,0.094826,0.16858
-19658,-2672.4,26.154,4.3074,-1.9288,11.518,0.0077789,1435.3,-62.038,72.08,496.47,-326.36,0,0.33,0.071051,0.16843
-14415,-3006.8,27.871,4.0388,-1.4502,7.0292,0.00577,1157.6,-58.852,57.261,401.28,-244.79,0,0.33,0.07105,0.17244
