"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
578.68,-687.63,29.786,-2.2096,-1.5113,0.0062069,0.00017829,18.018,0.062437,4.465,4.7169,2.2742,0,0.33,0.34711,0.068525
513.3,-616.1,29.789,-2.1766,-1.3443,0.0060419,0.00013229,14.816,-0.6919,6.4785,5.1649,1.3702,0,0.33,0.35323,0.065416
490.57,-593.46,29.828,-2.1334,-1.3833,0.0059666,0.00011253,13.421,-1.3073,6.3445,4.6054,1.5167,0,0.33,0.3532,0.068509
376.69,-479.79,29.938,-1.98,-1.3212,0.0057429,5.9197e-05,8.412,-3.7435,7.2012,2.9115,0.57655,0,0.33,0.35932,0.074778
393.47,-498.22,29.907,-2.0207,-1.2918,0.0057757,6.5876e-05,9.202,-3.1764,7.5411,3.5674,0.39747,0,0.33,0.35933,0.071631
442.11,-548.59,29.9,-2.0405,-1.448,0.0058453,8.1719e-05,10.95,-2.5774,6.0904,3.1082,1.5532,0,0.33,0.35319,0.074786
465.32,-570.5,29.865,-2.0879,-1.4176,0.0059008,9.5603e-05,12.123,-1.9383,6.1656,3.886,1.5973,0,0.33,0.3532,0.071627
411.49,-517.07,29.873,-2.0595,-1.2593,0.0058143,7.4312e-05,10.073,-2.6138,7.8003,4.1742,0.14757,0,0.33,0.35934,0.068486
428.95,-537.1,29.839,-2.0964,-1.2227,0.0058583,8.451e-05,11.015,-2.0617,7.78,4.6445,-0.12466,0,0.33,0.35935,0.065378
1399.3,-1753.5,29.3,-2.1569,-3.0863,0.0096308,0.00014971,64.53,5.3909,-3.8163,5.6731,-8.179,0,0.33,0.29213,0.084179
1276.1,-1607.7,29.392,-2.1739,-2.8837,0.0087718,0.0001567,56.211,4.691,-1.8803,4.0355,-8.1489,0,0.33,0.29822,0.084155
1568.8,-1946.2,29.223,-2.274,-3.0875,0.0111,0.00014694,75.543,6.9139,-4.9902,5.1634,-8.989,0,0.33,0.29213,0.081082
1396.1,-1747,29.326,-2.284,-2.8777,0.009751,0.00014943,65.431,6.1049,-3.1846,2.8885,-8.9336,0,0.33,0.29821,0.081052
