"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
27.377,-31.481,30.104,-1.0352,-0.060924,0.0056315,0.0001635,3.0013,-3.7937,0.53771,1.7121,-0.68212,0,0.495,0.41364,0.012374
26.619,-30.265,30.088,-1.0299,-0.031153,0.0056358,0.00016724,3.0501,-3.7656,1.4006,1.9111,-0.62108,0,0.495,0.41364,0.0061884
36.312,-41.934,30.074,-1.0985,-0.06887,0.0056959,0.00016678,4.1396,-3.1346,0.67765,1.9081,-1.7233,0,0.495,0.40133,0.012375
31.56,-36.191,30.057,-1.0908,-0.034955,0.0057044,0.00017975,4.2392,-3.1069,2.1139,2.2094,-1.7173,0,0.495,0.40133,0.0061878
32.859,-37.852,30.062,-1.1061,-0.047447,0.0057098,0.00017871,4.351,-3.0293,2.6361,2.4995,-1.9936,0,0.495,0.40132,0.0092812
27.426,-31.565,30.079,-1.0216,0.030889,0.0056363,0.00016632,3.0484,-3.7543,1.1283,1.2729,0.66824,0,0.495,0.41363,0
35.603,-41.503,30.049,-1.0834,-0.024639,0.0057065,0.00017571,4.2766,-3.0888,0.099968,0.61409,-1.6476,0,0.495,0.40133,0
34.77,-40.909,30.045,-1.0913,-0.022866,0.0057143,0.00018073,4.4071,-3.0056,0.51508,1.2228,-1.9138,0,0.495,0.40132,0.0030947
27.302,-32.651,30.112,-1.0293,-0.093433,0.005625,0.00016108,2.8956,-3.8434,0.35211,0.29968,-0.66923,0,0.495,0.41364,0.018561
33.437,-40.591,30.081,-1.0928,-0.10503,0.005686,0.00016497,3.9842,-3.1959,0.3518,0.24893,-1.7035,0,0.495,0.40133,0.018562
35.762,-42.943,30.076,-1.1044,-0.092259,0.005697,0.00016685,4.178,-3.0727,-0.72279,0.89978,-2.1251,0,0.495,0.40132,0.015468
29.017,-33.685,30.112,-1.0286,-0.1242,0.0056182,0.00015699,2.7896,-3.9114,1.1519,0.20787,-0.37962,0,0.495,0.41363,0.024748
40.091,-44.595,30.085,-1.0954,-0.14177,0.005675,0.00015083,3.824,-3.2701,2.2933,0.60779,-1.3919,0,0.495,0.40133,0.024749
37.9,-43.37,30.078,-1.0987,-0.12051,0.0056885,0.00015919,4.0411,-3.1444,2.4893,0.28804,-1.7959,0,0.495,0.40132,0.021655
32.908,-37.151,30.127,-1.0102,-0.18811,0.0056067,0.00014807,2.6358,-4.0985,0.05115,1.0272,-0.1564,0,0.495,0.41354,0.037124
45.676,-51.439,30.102,-1.0762,-0.21556,0.0056555,0.00013506,3.5531,-3.4869,-0.084709,1.0269,-1.313,0,0.495,0.40129,0.037123
33.917,-33.193,30.139,-1.004,-0.22286,0.0055963,0.00014111,2.4519,-4.2175,3.6802,2.4792,0.17261,0,0.495,0.4135,0.043319
46.231,-44.604,30.121,-1.0745,-0.25634,0.0056392,0.00012594,3.2662,-3.6253,4.8613,3.5931,-0.74706,0,0.495,0.40128,0.043311
49.898,-51.989,30.104,-1.0753,-0.23993,0.0056533,0.00012865,3.5266,-3.4739,2.1374,2.3927,-1.2856,0,0.495,0.40128,0.040217
31.44,-27.622,30.166,-1.0256,-0.25693,0.0055842,0.00014358,2.2418,-4.3551,5.2929,3.5762,0.54786,0,0.495,0.4135,0.049546
44.894,-41.091,30.153,-1.0943,-0.29679,0.0056209,0.00012304,2.948,-3.7791,5.5818,4.2513,-0.32849,0,0.495,0.40128,0.049512
46.551,-42.438,30.133,-1.0926,-0.27803,0.0056342,0.0001209,3.1841,-3.6235,6.515,4.4418,-0.68217,0,0.495,0.40128,0.046406
30.891,-35.537,30.119,-1.0281,-0.15855,0.0056126,0.00015204,2.7234,-3.9959,0.066121,0.68468,-0.19264,0,0.495,0.4136,0.030936
39.514,-46.499,30.094,-1.0942,-0.17996,0.0056659,0.00014614,3.7024,-3.3717,0.24533,1.0313,-1.2809,0,0.495,0.40132,0.030936
42.604,-50.378,30.096,-1.0964,-0.19775,0.0056681,0.0001418,3.7679,-3.3449,-0.35699,0.67004,-1.6697,0,0.495,0.40131,0.034029
40.812,-46.623,30.085,-1.1066,-0.16605,0.0056751,0.00014915,3.8501,-3.232,1.0102,1.0175,-1.5517,0,0.495,0.40132,0.027842
33.281,-32.676,30.194,-1.0341,-0.28788,0.0055755,0.00014544,2.1137,-4.5065,2.4038,2.9313,0.72193,0,0.495,0.4135,0.055827
45.374,-47.417,30.182,-1.0967,-0.33346,0.0056083,0.00012379,2.7538,-3.9548,2.0602,3.0299,-0.29056,0,0.495,0.40128,0.055823
36.677,-39.15,30.213,-1.0145,-0.3151,0.0055689,0.00014062,2.018,-4.6729,0.64012,1.7153,0.81495,0,0.495,0.41349,0.062058
53.547,-57.571,30.204,-1.0767,-0.36823,0.0055973,0.00011448,2.5885,-4.1409,0.79884,1.9771,-0.25556,0,0.495,0.40128,0.062056
50.503,-54.782,30.192,-1.0979,-0.35384,0.0056066,0.00011739,2.7515,-3.976,0.98861,2.4612,-0.5737,0,0.495,0.40128,0.058955
44.518,-44.12,30.167,-1.1102,-0.32096,0.0056167,0.00012511,2.8873,-3.7903,3.4035,3.7321,-0.62366,0,0.495,0.40128,0.052647
37.019,-39.026,30.227,-0.99441,-0.34457,0.0055615,0.0001416,1.8899,-4.8514,1.5219,0.8396,1.0052,0,0.495,0.41349,0.068253
52.791,-55.924,30.22,-1.0587,-0.40622,0.0055864,0.00011421,2.3985,-4.3465,2.4865,1.1902,-0.10062,0,0.495,0.40128,0.068244
55.56,-59.589,30.211,-1.073,-0.39328,0.0055941,0.00011173,2.5428,-4.1762,1.5303,1.5372,-0.53079,0,0.495,0.40128,0.06515
37.804,-39.102,30.236,-0.9792,-0.37237,0.0055551,0.00014089,1.7847,-5.0427,2.0658,0.81402,1.3654,0,0.495,0.41349,0.074442
56.78,-60.359,30.233,-1.0412,-0.44257,0.0055771,0.00011016,2.2452,-4.5622,2.1785,1.0939,0.043317,0,0.495,0.40128,0.074431
55.498,-59.35,30.225,-1.0608,-0.4298,0.0055838,0.00011113,2.3629,-4.3905,2.4534,1.0432,-0.3224,0,0.495,0.40128,0.071337
28.398,-21.931,30.29,-0.93538,-0.45142,0.0055365,0.0001471,1.4447,-5.6711,7.1125,2.577,1.5033,0,0.495,0.41347,0.093023
37.775,-35.303,30.268,-0.938,-0.42404,0.0055434,0.00013823,1.5833,-5.4529,4.1546,2.0473,1.4743,0,0.495,0.41348,0.086827
43.313,-35.693,30.291,-0.99488,-0.54687,0.0055507,0.00011751,1.7404,-5.2756,8.0646,2.5041,-0.023483,0,0.495,0.40129,0.092993
55.942,-55.052,30.268,-0.99707,-0.5109,0.0055599,0.00010888,1.9322,-5.028,4.8786,2.0687,-0.082412,0,0.495,0.40129,0.086806
52.193,-47.602,30.277,-0.99894,-0.53791,0.0055563,0.00010971,1.8567,-5.1026,6.8358,2.4957,-0.36704,0,0.495,0.40128,0.089899
29.186,-24.229,30.315,-0.94443,-0.47594,0.0055314,0.00014632,1.3661,-5.8936,6.3596,2.3177,1.381,0,0.495,0.41347,0.099216
42.352,-39.811,30.314,-0.99524,-0.57685,0.0055439,0.00011889,1.6281,-5.5258,6.6335,1.5262,-0.26813,0,0.495,0.40129,0.099181
41.477,-34.857,30.302,-1.0059,-0.57211,0.0055478,0.00012045,1.687,-5.3537,7.5821,2.2095,-0.47901,0,0.495,0.40129,0.096087
40.561,-41.045,30.25,-0.95884,-0.39941,0.0055496,0.00013598,1.7007,-5.2428,2.0916,1.4076,1.5212,0,0.495,0.41348,0.080633
57.584,-60.878,30.249,-1.0182,-0.47752,0.0055691,0.00010849,2.1119,-4.791,2.6108,1.4688,-0.0093538,0,0.495,0.40128,0.080618
58.982,-62.077,30.256,-1.0148,-0.5014,0.0055666,0.00010649,2.0708,-4.8539,3.1528,1.7028,-0.44768,0,0.495,0.40128,0.083712
58.594,-63.229,30.239,-1.0381,-0.46823,0.0055749,0.00010762,2.2204,-4.6176,1.8665,1.2612,-0.26894,0,0.495,0.40128,0.077525
65.491,-70.72,30.345,-0.88566,-0.5139,0.005526,0.00010226,1.3452,-6.3486,1.1428,-0.14032,0.21131,0,0.495,0.41348,0.1116
48.543,-49.846,30.334,-0.92837,-0.49465,0.0055286,0.00012273,1.3604,-6.1184,2.5189,1.1231,0.92342,0,0.495,0.41348,0.10541
77.949,-83.569,30.328,-0.94214,-0.62867,0.0055351,9.0873e-05,1.5361,-6.0345,3.6099,-2.0252,-1.8566,0,0.495,0.40129,0.11156
57.179,-62.147,30.327,-0.9763,-0.6013,0.0055397,0.00010534,1.5906,-5.7786,4.1826,-0.35265,-0.89134,0,0.495,0.40129,0.10537
67.947,-73.989,30.326,-0.96876,-0.62421,0.0055384,9.6898e-05,1.5866,-5.8666,3.3807,-1.5356,-1.7353,0,0.495,0.40129,0.10846
47.079,-49.643,30.321,-0.99685,-0.59982,0.0055425,0.00011427,1.6196,-5.6096,4.9363,0.52276,-0.93959,0,0.495,0.40129,0.10227
73.147,-78.349,30.349,-0.84402,-0.53765,0.0055227,9.6451e-05,1.2948,-6.5823,2.7477,-0.67827,-0.43933,0,0.495,0.41348,0.11779
86.007,-91.103,30.322,-0.90998,-0.66366,0.00553,8.5723e-05,1.4544,-6.2971,4.5232,-2.1508,-2.6828,0,0.495,0.40129,0.11774
81.386,-86.569,30.321,-0.93288,-0.65727,0.005533,8.7943e-05,1.5028,-6.1323,4.1284,-2.6257,-2.7575,0,0.495,0.40129,0.11465
75.886,-78.029,30.353,-0.80807,-0.5646,0.0055195,9.3332e-05,1.2401,-6.8204,5.1047,0.45875,-0.66151,0,0.495,0.41348,0.12398
89.008,-95.542,30.322,-0.87403,-0.6988,0.0055247,8.3762e-05,1.3567,-6.5611,4.2881,-0.43323,-2.9201,0,0.495,0.40129,0.12393
89.881,-97.583,30.315,-0.90307,-0.69354,0.0055278,8.3599e-05,1.4165,-6.3968,3.5995,-1.5432,-3.1736,0,0.495,0.40129,0.12084
19.157,10.459,30.42,-0.80139,-0.64874,0.0055053,0.00012518,0.91608,-7.5358,14.53,1.4986,-2.9297,0,0.495,0.41349,0.14255
36.956,-13.268,30.399,-0.77945,-0.62099,0.0055101,0.00011159,1.0198,-7.3009,12.765,2.5036,-2.2977,0,0.495,0.41349,0.13636
17.154,-0.35942,30.356,-0.85002,-0.77865,0.0055064,0.00014492,0.93071,-7.3591,10.383,0.71533,-5.5337,0,0.495,0.40129,0.14249
30.382,-17.397,30.346,-0.83685,-0.75707,0.0055117,0.00012379,1.0381,-7.0962,9.9674,0.084424,-4.9545,0,0.495,0.40129,0.13631
17.926,-1.5219,30.343,-0.84524,-0.77931,0.0055084,0.00014209,0.96092,-7.2081,10.304,-0.0041517,-5.691,0,0.495,0.40129,0.1394
30.011,-18.19,30.435,-0.82101,-0.67127,0.0055028,0.00011937,0.89083,-7.7604,10.406,1.2221,-2.6291,0,0.495,0.4135,0.14876
23.005,-26.632,30.375,-0.85203,-0.79016,0.005504,0.00013027,0.91082,-7.6105,5.2211,1.9287,-4.943,0,0.495,0.40129,0.14868
15.355,-9.6924,30.356,-0.86058,-0.7954,0.0055046,0.0001495,0.90194,-7.4649,7.1644,1.5704,-5.4694,0,0.495,0.40129,0.14559
63.448,-55.352,30.371,-0.78224,-0.59363,0.0055154,9.8217e-05,1.1488,-7.0603,8.4692,2.3515,-1.1532,0,0.495,0.41349,0.13017
60.291,-60.425,30.334,-0.84482,-0.73132,0.0055185,9.801e-05,1.207,-6.8288,6.9213,0.6107,-3.5714,0,0.495,0.40129,0.13012
40.266,-37.429,30.335,-0.84339,-0.75689,0.005515,0.00011266,1.1141,-6.9375,7.61,0.099894,-4.5402,0,0.495,0.40129,0.13321
76.121,-83.576,30.32,-0.86301,-0.72893,0.005522,8.912e-05,1.2911,-6.6689,4.5343,0.39654,-3.219,0,0.495,0.40129,0.12702
68.319,-79.022,30.462,-0.75094,-0.69548,0.0055014,9.3698e-05,0.9074,-8.2018,1.0277,-0.88857,-2.8862,0,0.495,0.41352,0.16129
47.639,-56.705,30.404,-0.77045,-0.79742,0.0055014,0.00010615,0.89298,-8.0953,-2.3543,-1.6511,-4.563,0,0.495,0.40129,0.16106
57.525,-65.293,30.452,-0.80012,-0.68529,0.0055023,9.998e-05,0.91459,-7.9807,4.0625,0.84061,-2.4363,0,0.495,0.41352,0.155
40.92,-52.755,30.396,-0.82112,-0.79452,0.0055031,0.00011109,0.91915,-7.8539,0.088769,1.1249,-4.3507,0,0.495,0.40129,0.15487
42.981,-53.17,30.397,-0.79915,-0.80403,0.0055024,0.00011074,0.90847,-7.9604,-2.4048,-0.27542,-4.3918,0,0.495,0.40129,0.15796
29.949,-41.359,30.379,-0.84433,-0.80145,0.0055034,0.00012155,0.91302,-7.7162,1.2287,2.1513,-4.5492,0,0.495,0.40129,0.15177
63.295,-71.805,30.457,-0.69981,-0.70261,0.0054989,9.7376e-05,0.85558,-8.4216,0.74703,-2.4833,-3.2667,0,0.495,0.4135,0.16762
43.856,-50.69,30.397,-0.71678,-0.79934,0.0054986,0.00011123,0.83661,-8.3349,-2.2912,-2.3558,-4.674,0,0.495,0.40129,0.16726
40.975,-48.091,30.394,-0.7429,-0.80627,0.0055,0.00011149,0.86086,-8.2056,-3.4092,-2.6441,-4.8024,0,0.495,0.40128,0.16415
50.786,-58.074,30.447,-0.65206,-0.70845,0.0054959,0.00010843,0.78557,-8.6368,1.8417,-2.0698,-3.0534,0,0.495,0.41349,0.17387
36.776,-44.51,30.395,-0.66735,-0.80052,0.0054956,0.00012198,0.76796,-8.5701,-0.77946,-0.57034,-3.724,0,0.495,0.40129,0.17345
37.576,-45.135,30.387,-0.69071,-0.80682,0.0054969,0.00011814,0.79709,-8.4434,-2.6803,-1.2817,-4.1822,0,0.495,0.40128,0.17034
14.643,-1.3257,30.414,-0.60425,-0.72604,0.0054873,0.00017889,0.60327,-9.2397,7.1249,-4.7004,-4.2059,0,0.495,0.41351,0.19286
16.911,-9.5804,30.44,-0.60574,-0.72167,0.0054902,0.00016366,0.65215,-9.0499,6.4076,-3.6896,-3.7615,0,0.495,0.41351,0.1865
11.946,4.5829,30.354,-0.6216,-0.81271,0.0054873,0.0001825,0.60425,-9.2453,7.7816,-5.2607,-4.494,0,0.495,0.40137,0.19292
17.324,-4.8016,30.388,-0.61846,-0.80719,0.0054905,0.00017262,0.65598,-9.0308,5.7968,-5.3539,-3.9521,0,0.495,0.40136,0.18638
14.156,8.3509,30.365,-0.61857,-0.81742,0.0054889,0.00017965,0.62747,-9.1439,7.7532,-6.6482,-4.3803,0,0.495,0.40137,0.18973
14.145,-10.341,30.394,-0.60199,-0.72914,0.0054849,0.00017269,0.57143,-9.4182,5.8861,-1.9279,-3.861,0,0.495,0.41351,0.19911
8.0478,-6.2537,30.342,-0.62304,-0.82093,0.005485,0.0001895,0.56668,-9.4523,3.464,-0.087202,-2.0352,0,0.495,0.40137,0.19912
7.8256,1.2014,30.335,-0.62995,-0.8264,0.0054858,0.0002033,0.57774,-9.3503,7.4075,-2.9208,-3.6982,0,0.495,0.40137,0.19603
29.195,-33.484,30.447,-0.61876,-0.716,0.005493,0.00013567,0.71337,-8.8477,4.2034,-1.7344,-3.0658,0,0.495,0.4135,0.18012
21.458,-26.76,30.402,-0.63375,-0.80469,0.0054932,0.0001539,0.70855,-8.8033,2.5684,-1.3967,-3.1118,0,0.495,0.4013,0.1797
