"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
44.99,-65.233,31.069,-0.0094753,1.0778,0.0054785,0.00010582,0.63706,-27.987,-0.74185,0.037901,-0.20577,0,0.33,0.31294,-0.24908
63.363,-87.085,31.054,-0.072271,1.1871,0.0054813,9.192e-05,0.70083,-27.717,-1.2538,0.26991,-0.046955,0,0.33,0.31295,-0.23784
38.828,-58.037,31.014,-0.12076,1.006,0.0054761,0.00011079,0.59123,-25.938,-0.77788,0.014541,-0.11394,0,0.33,0.33533,-0.24911
50.37,-72.48,31.007,-0.18195,1.0859,0.0054781,9.9701e-05,0.63809,-25.941,-1.0889,0.13765,0.044479,0,0.33,0.33534,-0.23787
40.051,-60.364,30.965,-0.25494,0.98765,0.0054752,0.00010893,0.58444,-24.525,-1.4279,0.15521,-0.055939,0,0.33,0.35767,-0.23789
29.027,-45.281,30.977,-0.1787,0.91323,0.0054733,0.00012026,0.54149,-24.795,-0.71476,-0.10788,-0.18464,0,0.33,0.35766,-0.24913
32.011,-50.424,30.93,-0.30821,0.8761,0.0054725,0.00011819,0.53333,-23.279,-0.69426,0.034076,-0.033443,0,0.33,0.38003,-0.23789
24.914,-41.301,30.935,-0.24508,0.82331,0.0054712,0.00012457,0.50312,-23.261,-0.30257,-0.096771,-0.16102,0,0.33,0.38001,-0.24913
74.477,-75.978,30.722,-0.95339,1.4986,0.0055002,8.0163e-05,1.186,-19.997,-10.153,4.4612,-4.52,0,0.33,0.35814,-0.15563
76.447,-75.797,30.746,-0.91664,1.4822,0.0054989,7.472e-05,1.1602,-20.288,-12.692,5.4545,-4.6855,0,0.33,0.35814,-0.15844
95.73,-118.54,30.752,-0.93795,1.4978,0.0055062,7.192e-05,1.3444,-20.073,-7.9613,4.378,-2.7517,0,0.33,0.35256,-0.15563
