"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
168.32,-1588.4,22.068,-1.8385,0.12615,10.13,0.012999,779.33,5.0661,21.332,51.984,34.174,0,0.495,0.2681,-0.0028138
747.97,-1726.9,21.966,-1.8432,0.06624,10.19,0.013093,778.28,5.1776,10.991,29.023,32.563,0,0.495,0.26715,0
587.37,-1581.9,21.992,-1.8158,-0.063499,10.157,0.013091,775.87,5.0269,10.844,28.496,-36.262,0,0.495,0.2681,0
168.15,-1588.3,22.068,-1.8385,0.12614,10.13,0.012999,779.33,5.066,21.332,51.983,34.177,0,0.495,0.2681,-0.0028138
-928.5,-1012.2,23.076,-2.1707,0.51658,9.4496,0.011522,820.47,4.994,75.011,176.86,13.542,0,0.495,0.26747,-0.01125
-1084.2,-1160.9,22.72,-2.0392,0.40214,9.7438,0.012095,805.93,4.9691,62.425,146.52,22.275,0,0.495,0.2681,-0.0090036
-1203.7,-933.45,23.081,-2.1503,0.50268,9.4431,0.011542,818.42,4.8987,74.444,175.15,16.158,0,0.495,0.2681,-0.01125
4494.2,-617.8,25.675,-2.8792,1.0259,5.6319,0.0066629,844.72,4.7606,93.703,254.63,-22.225,0,0.495,0.26733,-0.022499
2351.9,-486.26,24.936,-2.6766,0.87717,6.9591,0.0081935,849.55,4.7162,96.017,245.69,-11.593,0,0.495,0.2681,-0.019687
2351.6,-486.19,24.936,-2.6765,0.87715,6.9591,0.0081936,849.54,4.7161,96.016,245.69,-11.589,0,0.495,0.26811,-0.019687
4437.7,-552.94,25.657,-2.8518,0.99757,5.6887,0.0067378,843.78,4.6562,93.398,253.56,-19.453,0,0.495,0.2681,-0.022499
-537.59,-780.81,23.517,-2.281,0.60299,8.9748,0.010817,830.31,4.86,83.619,199.12,8.6604,0,0.495,0.2681,-0.013495
-1598.1,-253.24,24.005,-1.9057,0.23001,8.768,0.011155,786.02,3.2141,52.353,132.99,90.15,0,0.495,0.28478,-0.01125
-1167.6,-360.91,23.665,-1.8019,0.16852,9.1157,0.011719,777.87,3.2631,41.428,104.63,96.823,0,0.495,0.28478,-0.0084371
-1438.4,-209.4,24.59,-1.8917,0.17141,8.248,0.010608,777.41,2.6201,44.081,119.43,112.66,0,0.495,0.29039,-0.01125
-1095.7,-284.8,24.287,-1.8017,0.12421,8.6148,0.011149,772.64,2.6548,34.897,93.835,119.29,0,0.495,0.29039,-0.0084371
-278.43,-982.82,22.256,-1.7162,0.049234,9.9779,0.013,767.5,4.4919,9.7422,25.573,58.809,0,0.495,0.27363,0
-455.95,-993.53,22.325,-1.737,0.09782,9.9515,0.012916,770.45,4.5261,19.274,47.237,56.883,0,0.495,0.27363,-0.0028135
-1063.5,-1205,22.634,-2.008,0.37455,9.8153,0.012234,802.45,4.9724,59.247,138.97,24.456,0,0.495,0.26826,-0.0084372
-1404.5,-731.96,22.835,-1.8964,0.2947,9.6603,0.012221,790.61,4.4534,54.007,127.14,47.268,0,0.495,0.27363,-0.0084371
-1985.5,-527.59,23.248,-2.0257,0.39566,9.3176,0.011586,804.38,4.3755,67.919,160.57,40.067,0,0.495,0.27363,-0.01125
-693.76,-378.08,23.915,-1.6913,0.04013,8.9869,0.011747,765.03,2.6732,12.415,34.937,127.67,0,0.495,0.29039,-0.0028137
-670.73,-496.78,23.249,-1.6745,0.054941,9.4488,0.012338,765.83,3.2997,14.723,38.912,105.43,0,0.495,0.28478,-0.0028134
-695.37,-353.36,23.864,-1.677,-0.020267,9.028,0.011818,763.86,2.642,6.2506,18.673,-129.18,0,0.495,0.29039,0
-677.04,-476.83,23.192,-1.658,0.027641,9.4835,0.012412,764.06,3.2691,7.4102,20.915,107,0,0.495,0.28478,0
-1121.8,-278.42,25.281,-1.8982,0.12849,7.5012,0.009809,764.33,2.28,35.919,105.32,128.88,0,0.495,0.29597,-0.01125
-911.95,-314.53,25.014,-1.8221,0.091839,7.8852,0.010328,763.17,2.3073,28.514,82.755,135.48,0,0.495,0.29597,-0.0084371
-372.54,-351.51,27.24,-1.8353,0.018413,4.7093,0.0069982,669.57,1.5133,4.4248,19.161,142.99,0,0.495,0.31267,-0.0028135
-563.49,-331.05,26.396,-1.8108,0.018994,6.1066,0.0084874,717.91,1.6702,6.1253,23.12,152.9,0,0.495,0.30711,-0.0028136
-234.8,-325.24,27.212,-1.8287,-0.0093303,4.756,0.0070552,670.81,1.5034,2.2456,10.296,-144.28,0,0.495,0.31267,0
-437.89,-303.84,26.362,-1.8026,0.0096577,6.157,0.0085506,718.53,1.6497,3.0843,12.159,154.22,0,0.495,0.3071,0
-719.72,-354.98,26.834,-1.9234,0.086809,5.3198,0.0075205,705.19,1.6455,20.689,76.755,137.92,0,0.495,0.3071,-0.01125
-714.87,-345.56,26.639,-1.8734,0.060854,5.6889,0.0079716,711.76,1.6645,16.738,60.823,144.74,0,0.495,0.30711,-0.0084371
-443.56,-388.62,27.598,-1.9227,0.084511,4.0022,0.0061374,647.8,1.467,13.996,61.76,127.75,0,0.495,0.31267,-0.01125
-483.52,-373.12,27.44,-1.8845,0.059375,4.3295,0.0065366,658.51,1.491,11.631,49.45,134.73,0,0.495,0.31267,-0.0084371
-767.23,-355.16,24.685,-1.7286,0.029182,8.2934,0.010909,760.04,2.3203,10.169,30.91,143.66,0,0.495,0.29597,-0.0028137
-739.34,-328.01,24.64,-1.7165,0.014704,8.3404,0.010979,759.48,2.2934,5.1185,16.373,145.08,0,0.495,0.29597,0
-1936.1,-229.2,24.419,-2.0292,0.29555,8.2657,0.010414,793.77,3.1999,60.961,157.82,81.548,0,0.495,0.28478,-0.014062
-1674.9,-210.49,24.961,-1.9987,0.22322,7.7375,0.0099009,781.31,2.6165,51.297,141.91,104.09,0,0.495,0.29039,-0.014062
445.28,-394.9,25.643,-2.6881,0.81377,5.9059,0.0070983,831.74,4.1588,87.514,241.09,3.3513,0,0.495,0.27363,-0.022499
-1384.1,-301.92,24.963,-2.5199,0.70814,7.0759,0.0084812,834.49,4.2164,88.991,230.46,12.377,0,0.495,0.27363,-0.019687
-422.7,-733.69,23.631,-2.3104,0.62484,8.855,0.010637,832.9,4.8366,85.741,204.74,7.4137,0,0.495,0.26825,-0.014062
-2376.6,-417.2,23.749,-2.1784,0.49821,8.7899,0.010751,817.85,4.3358,78.691,189.19,31.062,0,0.495,0.27363,-0.014062
-2777.5,-347.85,26.012,-2.4469,0.52009,5.716,0.0071705,796.62,3.1013,68.953,207.21,51.091,0,0.495,0.28478,-0.022499
-2616.8,-244.19,25.435,-2.308,0.44067,6.7366,0.0084054,801.29,3.1329,69.603,195.7,61.944,0,0.495,0.28478,-0.019687
-2286,-356.1,26.39,-2.3596,0.41215,5.294,0.0068479,772.08,2.5579,57.499,186.67,72.12,0,0.495,0.29039,-0.022499
-2185.4,-255.51,25.872,-2.2399,0.34341,6.2532,0.0080047,780.64,2.5766,58.298,176.28,83.828,0,0.495,0.29039,-0.019687
-1174.7,-315.06,25.608,-1.9885,0.16988,6.9854,0.0091368,763.98,2.2785,41.601,125.12,120.31,0,0.495,0.29597,-0.014062
-664.79,-639.62,27.954,-2.1632,0.24823,2.9701,0.0046476,634.03,1.5603,21.879,111.23,92.624,0,0.495,0.3071,-0.022499
-684.94,-543.66,27.64,-2.1061,0.19786,3.652,0.0054907,661.16,1.5945,23.998,107.97,106.37,0,0.495,0.30711,-0.019687
-281.92,-614.32,28.471,-2.0939,0.2405,2.0713,0.0036931,553.02,1.3097,12.033,83.75,82.227,0,0.495,0.31267,-0.022499
-317.49,-546.19,28.232,-2.0553,0.19189,2.6057,0.0043932,586.48,1.3681,14.262,83.067,95.85,0,0.495,0.31267,-0.019687
-685.43,-413.71,27.071,-1.9815,0.11763,4.8488,0.0069479,695.27,1.6405,23.329,90.155,129.04,0,0.495,0.30711,-0.014062
-384.29,-439.92,27.787,-1.966,0.11434,3.5944,0.0056367,632.79,1.4491,15.266,71.643,118.75,0,0.495,0.31267,-0.014062
-1556.3,-532.49,26.865,-2.2892,0.33066,4.6637,0.0062913,739.51,2.221,45.356,163.17,86.844,0,0.495,0.29597,-0.022499
-1482.1,-419.01,26.411,-2.1904,0.27063,5.5541,0.0073606,753.41,2.2422,46.559,154.73,99.33,0,0.495,0.29597,-0.019687
127.13,-359.76,29.218,-1.8199,0.12219,0.7724,0.002223,331.49,0.33673,0.82628,17.756,50.972,0,0.495,0.3294,-0.01125
56.471,-345.51,29.169,-1.8098,0.0896,0.87987,0.002408,349.69,0.36988,1.8142,15.693,56.248,0,0.495,0.3294,-0.0084371
