"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
1504.4,9110.2,-2.4734,1.3988,3.2523,14.703,0.024088,610.75,-59.906,-244.27,-32.886,34.356,0,0.495,0.030154,0.11632
1498.9,10094,-2.594,1.5047,2.7343,14.903,0.025184,591.89,-60.664,-249.95,-32.525,29.076,0,0.495,0.033184,0.11633
1575.3,9240.1,-2.4097,1.2837,3.3482,14.921,0.02467,605.22,-60.441,-244.28,-34.7,34.699,0,0.495,0.030155,0.11477
1575.7,10219,-2.5323,1.3835,2.8285,15.126,0.025776,586.95,-61.207,-250.1,-34.489,29.701,0,0.495,0.033185,0.11478
1394.2,10810,-2.7432,1.7295,2.115,14.825,0.025342,585.11,-60.731,-254.22,-29.105,20.954,0,0.495,0.036213,0.11788
1499.8,10963,-2.6923,1.6037,2.2108,15.054,0.025977,579.62,-61.373,-254.73,-31.392,22.054,0,0.495,0.036213,0.11633
1432.4,9941.7,-2.6481,1.6254,2.6363,14.678,0.024563,597.74,-60.027,-249.6,-30.433,28.364,0,0.495,0.033184,0.11787
1582.6,11082,-2.6318,1.4766,2.3031,15.283,0.026577,575.15,-61.905,-254.97,-33.559,22.951,0,0.495,0.036214,0.11478
1439.3,8956.5,-2.528,1.5133,3.1519,14.482,0.023472,617.46,-59.259,-244.05,-30.945,33.946,0,0.495,0.030155,0.11787
1652.1,9353.9,-2.3494,1.1708,3.4423,15.125,0.025215,600.15,-61.011,-244.19,-36.584,34.973,0,0.495,0.030157,0.11322
1609.2,8384.6,-2.2214,1.0754,3.9591,14.843,0.023808,623.87,-60.273,-237.71,-36.511,38.964,0,0.495,0.027127,0.11321
1531.4,8269.2,-2.2825,1.1816,3.8636,14.643,0.02327,629.73,-59.707,-237.95,-34.751,39.033,0,0.495,0.027126,0.11476
1582.8,7312.2,-2.0787,0.97577,4.4685,14.474,0.022014,658.68,-59.49,-230.61,-35.688,42.432,0,0.495,0.024098,0.11321
1660.6,7414.7,-2.0102,0.87757,4.5601,14.672,0.022516,652.83,-59.95,-230.06,-37.156,42.073,0,0.495,0.024099,0.11166
1691.5,8477.9,-2.1528,0.96953,4.05,15.043,0.02432,618.93,-60.741,-237.29,-38.114,38.876,0,0.495,0.027129,0.11167
1734.5,9441.5,-2.28,1.0575,3.532,15.329,0.02573,596.09,-61.469,-243.87,-38.352,35.159,0,0.495,0.030158,0.11167
1504.9,7191.9,-2.1383,1.0743,4.3713,14.277,0.021479,666.01,-58.914,-230.97,-34.051,42.842,0,0.495,0.024096,0.11476
1652.8,10329,-2.4721,1.264,2.9209,15.334,0.026322,582.66,-61.769,-250.11,-36.541,30.238,0,0.495,0.033186,0.11323
