"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
46.792,205.36,31.256,-0.33318,1.6371,0.0055161,3.1353e-05,1.5148,-34.81,-61.577,1.1663,-3.742,0,0.33,0.29186,-0.20129
175.42,-106.18,31.282,-0.29333,1.4416,0.0055223,3.6307e-05,1.6482,-35.193,-23.015,1.7666,-1.1495,0,0.33,0.28882,-0.20282
65.965,114.93,31.26,-0.32135,1.6158,0.0055141,4.079e-05,1.4258,-34.857,-49.211,0.56474,-3.0268,0,0.33,0.29185,-0.20283
360.03,-420.07,31.287,-0.23339,1.4957,0.0055217,3.7974e-05,1.613,-35.513,9.2521,0.78241,1.5677,0,0.33,0.2858,-0.20277
40.559,98.045,31.235,-0.33794,1.8014,0.005508,7.4005e-05,1.2467,-34.455,-23.317,-0.0058741,-1.355,0,0.33,0.29489,-0.2013
41.558,57.203,31.232,-0.34063,1.8058,0.0055103,7.3134e-05,1.3101,-34.398,-20.771,0.287,-1.2687,0,0.33,0.29489,-0.19975
64.777,-81.17,31.228,-0.32511,1.7695,0.0055043,9.2288e-05,1.1257,-34.163,5.4263,0.50361,1.0205,0,0.33,0.29792,-0.2013
70.152,-71.27,31.224,-0.33276,1.7739,0.0055056,9.3788e-05,1.1553,-34.086,4.3676,0.8543,0.77106,0,0.33,0.29793,-0.19976
39.745,89.643,31.236,-0.33609,1.7967,0.0055065,7.4392e-05,1.2035,-34.497,-25.643,-0.63126,-1.5198,0,0.33,0.29489,-0.20284
59.814,-74.319,31.231,-0.31716,1.7628,0.0055032,8.3624e-05,1.1056,-34.209,-1.7093,-0.3192,0.69626,0,0.33,0.29792,-0.20284
473.93,1736.1,32.175,0.72536,-0.59319,0.73693,0.0013477,533.03,-89.036,-19.178,141.94,38.89,0,0.33,0.042259,-0.19845
364.47,1304.5,32.277,0.78418,-0.56007,0.55474,0.0011755,458.4,-88.635,-14.547,113.15,33.136,0,0.33,0.045293,-0.19849
371.49,901.43,32.327,0.73668,-0.57754,0.41003,0.0010139,393.68,-88.28,-14.944,88.958,26.567,0,0.33,0.04226,-0.2
217.15,631.21,32.39,0.78476,-0.55104,0.30084,0.00087733,332.91,-87.887,-12.506,67.906,21.708,0,0.33,0.045299,-0.20005
352.83,-203.76,32.466,0.82252,-0.47612,0.11028,0.00053312,196.37,-86.47,-10.136,25.021,9.1362,0,0.33,0.048339,-0.20165
137.33,200.84,32.442,0.78138,-0.54647,0.17313,0.00066844,248.8,-87.188,-10.565,40.417,14.022,0,0.33,0.045301,-0.2016
423.53,108.45,32.436,0.82822,-0.49524,0.21321,0.00074835,276.04,-87.375,-12.205,49.031,16.463,0,0.33,0.04834,-0.2001
267.58,325.66,32.416,0.73729,-0.56319,0.21248,0.00072787,276.28,-87.369,-13.748,50.057,15.722,0,0.33,0.04226,-0.20155
308.61,-341.47,32.378,0.34739,-0.53594,0.013583,0.00010245,74.697,-78.732,2.4955,3.7888,26.177,0,0.33,0.024073,-0.22314
195.04,-353.06,32.354,0.13523,-0.54213,0.023396,7.4861e-05,102.56,-80.131,18.296,6.7375,101.33,0,0.33,0.011948,-0.22309
314.68,-379.12,32.459,0.36163,-0.6425,0.02069,0.00017003,112.31,-82.019,0.045504,5.7349,3.5911,0,0.33,0.024089,-0.21692
114.25,-332.42,32.385,0.11168,-0.58761,0.034193,0.00011769,143.16,-82.754,25.424,9.0737,103.82,0,0.33,0.011969,-0.21686
300.89,-339.49,32.372,0.53802,-0.48154,0.010944,0.00013098,70.113,-78.471,-3.5222,4.2846,0.5051,0,0.33,0.036186,-0.22322
328.78,-370.39,32.419,0.58222,-0.53313,0.015415,0.00016728,88.646,-81.028,-6.0585,5.2921,-0.31208,0,0.33,0.036196,-0.21701
