"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
30,-0.98726,-0.13699,0.0055975,0.00014995,2.3607,-0.73894,0,0.495,0.44184,0.024729
29.99,-0.99245,0.072568,0.0056116,0.00015459,2.5666,-0.63472,0,0.495,0.44184,0
29.987,-1.0099,-0.14234,0.0056069,0.00014509,2.5178,-0.51638,0,0.495,0.43703,0.024728
29.973,-1.0195,0.074484,0.0056229,0.00014843,2.7524,-0.37797,0,0.495,0.43703,0
30.048,-0.96531,-0.26264,0.0055655,0.00014937,1.8727,-1.1323,0,0.495,0.44184,0.049469
30.035,-0.99033,-0.27372,0.0055725,0.0001419,1.992,-0.89799,0,0.495,0.43704,0.049467
30.097,-0.92831,-0.37529,0.0055378,0.00015069,1.419,-1.6511,0,0.495,0.44184,0.074233
30.088,-0.94728,-0.38933,0.0055419,0.00014489,1.4903,-1.465,0,0.495,0.43705,0.07423
30.149,-0.8633,-0.46528,0.0055182,0.00016018,1.0867,-2.3592,0,0.495,0.44184,0.099002
30.141,-0.88282,-0.48348,0.005521,0.00015216,1.1347,-2.1792,0,0.495,0.43707,0.098997
30.197,-0.78441,-0.53298,0.0055055,0.000163,0.87186,-3.0989,0,0.495,0.44184,0.12376
30.192,-0.79814,-0.55135,0.0055071,0.00015732,0.89841,-2.9699,0,0.495,0.43709,0.12375
30.24,-0.68245,-0.57612,0.0054965,0.00017534,0.7217,-3.8861,0,0.495,0.44184,0.14852
30.236,-0.69583,-0.597,0.0054977,0.00016763,0.74093,-3.7748,0,0.495,0.4371,0.14852
30.28,-0.5804,-0.60573,0.0054903,0.00018818,0.62562,-4.6193,0,0.495,0.44184,0.17329
30.276,-0.59046,-0.62481,0.005491,0.00018301,0.63667,-4.5516,0,0.495,0.43713,0.17329
30.322,-0.49325,-0.60072,0.0054848,0.00022303,0.53638,-5.2691,0,0.495,0.44184,0.19806
30.316,-0.5001,-0.62008,0.0054854,0.00021499,0.54549,-5.2193,0,0.495,0.43713,0.19806
30.062,1.0068,0.24634,0.056625,0.00025679,35.587,-9.0031,0,0.495,0.048387,0.24754
28.887,1.6304,0.3267,0.31679,0.00054099,93.895,-8.9618,0,0.495,0.048388,0.22276
29.888,1.0678,0.55812,0.089787,0.00033135,48.912,-7.9595,0,0.495,0,0.24752
27.984,1.7821,0.9849,0.51477,0.00068111,121.28,-6.526,0,0.495,0,0.22273
29.981,1.1989,-0.77945,0.070043,0.00030645,43.485,-11.232,0,0.495,0.096931,0.22278
30.283,0.83869,-0.5155,0.015882,0.00015144,15.345,-10.475,0,0.495,0.09692,0.24756
30.331,0.64587,-0.95492,0.0073449,0.00012664,7.233,-9.8447,0,0.495,0.14549,0.24753
30.173,0.72082,-1.2138,0.014446,0.00016725,15.056,-9.9074,0,0.495,0.14551,0.22276
30.186,0.28768,-1.3021,0.0067479,0.00011577,6.436,-7.8349,0,0.495,0.19412,0.22284
30.328,0.33477,-1.0567,0.0060297,0.00012681,4.0607,-8.3469,0,0.495,0.19413,0.24762
30.331,0.10319,-1.0702,0.0056243,0.00014712,1.8315,-6.871,0,0.495,0.24272,0.24771
30.199,0.016426,-1.258,0.0057126,0.00011023,2.6836,-6.0935,0,0.495,0.24272,0.22295
30.194,-0.20604,-1.1261,0.0055679,0.00011682,1.5332,-5.1962,0,0.495,0.2913,0.22291
30.332,-0.081117,-0.97012,0.0055458,0.00015053,1.1542,-6.074,0,0.495,0.29129,0.2477
30.362,-0.24195,-0.84979,0.0054989,0.00019298,0.69135,-5.7102,0,0.495,0.33988,0.24772
30.271,-0.35659,-0.95204,0.0055099,0.00014576,0.86115,-4.9192,0,0.495,0.33989,0.22292
30.323,-0.38671,-0.73771,0.005494,0.00018201,0.64951,-5.1922,0,0.495,0.38848,0.22296
30.383,-0.28986,-0.68371,0.0054877,0.00022746,0.5506,-5.7042,0,0.495,0.38846,0.24774
30.366,-0.42798,-0.60253,0.0054815,0.00023186,0.48242,-5.7683,0,0.495,0.43713,0.22283
30.248,-0.49647,-0.77543,0.0055003,0.00017322,0.7564,-4.3494,0,0.495,0.38854,0.19811
30.371,-0.42443,-0.58735,0.0054812,0.00023829,0.47832,-5.789,0,0.495,0.44184,0.22283
30.395,-0.3526,-0.55776,0.0054782,0.00029141,0.44027,-6.1417,0,0.495,0.43712,0.2476
30.397,-0.35111,-0.54331,0.0054779,0.00030159,0.43624,-6.146,0,0.495,0.44184,0.2476
30.346,0.67577,0.11892,0.012242,0.0001551,15.981,-9.6887,0,0.495,0.048384,0.27233
30.323,0.67104,0.21723,0.014218,0.00014172,21.709,-9.7539,0,0.495,0,0.27231
30.383,0.64163,-0.40378,0.0082808,0.00015006,7.4716,-10.128,0,0.495,0.096911,0.27234
30.387,0.56972,0.060108,0.0091571,0.00016834,12.585,-10.383,0,0.495,0.048385,0.29709
30.394,0.52868,0.06852,0.0086105,0.00014749,14.275,-10.846,0,0.495,0,0.29708
30.418,0.53339,-0.34862,0.0073119,0.00017256,6.3518,-10.324,0,0.495,0.096911,0.2971
30.4,0.57529,-0.81418,0.0062099,0.00014943,4.5404,-9.6896,0,0.495,0.14549,0.27231
30.389,0.33416,-0.89536,0.0058554,0.00016569,2.8752,-8.3983,0,0.495,0.19414,0.27239
30.423,0.53206,-0.73255,0.0060745,0.00016592,4.0196,-9.9343,0,0.495,0.1455,0.29707
30.42,0.31002,-0.77545,0.0057602,0.00018699,2.3999,-8.9478,0,0.495,0.19415,0.29716
30.381,0.1291,-0.94943,0.005578,0.0001929,1.3167,-7.2481,0,0.495,0.24272,0.27248
30.382,-0.028264,-0.85895,0.0055317,0.00020679,0.9302,-6.5408,0,0.495,0.2913,0.2725
30.401,0.13099,-0.87339,0.0055617,0.00020552,1.1671,-7.798,0,0.495,0.24273,0.29723
30.404,-0.012121,-0.76952,0.0055189,0.00023165,0.80056,-7.3451,0,0.495,0.29132,0.29726
30.383,-0.18672,-0.77474,0.0054915,0.0002486,0.58007,-6.2192,0,0.495,0.33989,0.27251
30.393,-0.24179,-0.63482,0.0054834,0.00029346,0.4912,-6.1619,0,0.495,0.38846,0.27252
30.396,-0.16327,-0.72745,0.0054887,0.00026441,0.54204,-6.7828,0,0.495,0.33989,0.29728
30.404,-0.2085,-0.58806,0.0054807,0.00031779,0.45447,-6.8221,0,0.495,0.38845,0.29729
30.402,-0.31353,-0.51503,0.0054755,0.00037103,0.40537,-6.4142,0,0.495,0.4371,0.27239
30.402,-0.31346,-0.50888,0.0054753,0.00037923,0.40329,-6.4128,0,0.495,0.44184,0.27239
30.407,-0.28606,-0.4946,0.0054746,0.00037482,0.39198,-6.7309,0,0.495,0.43706,0.29721
30.406,-0.28356,-0.48459,0.0054743,0.00038075,0.38842,-6.7399,0,0.495,0.44184,0.29721
29.987,-1.0099,0.14234,0.0056069,0.00014509,2.5178,-0.51638,0,0.495,0.43703,-0.024728
30,-0.98726,0.13699,0.0055975,0.00014995,2.3607,-0.73894,0,0.495,0.44184,-0.024729
30.035,-0.99033,0.27372,0.0055725,0.0001419,1.992,-0.89799,0,0.495,0.43704,-0.049467
30.048,-0.96531,0.26264,0.0055655,0.00014937,1.8727,-1.1323,0,0.495,0.44184,-0.049469
30.088,-0.94728,0.38933,0.0055419,0.00014489,1.4903,-1.465,0,0.495,0.43705,-0.07423
30.097,-0.92831,0.37529,0.0055378,0.00015069,1.419,-1.6511,0,0.495,0.44184,-0.074233
30.141,-0.88282,0.48348,0.005521,0.00015216,1.1347,-2.1792,0,0.495,0.43707,-0.098997
30.149,-0.8633,0.46528,0.0055182,0.00016018,1.0867,-2.3592,0,0.495,0.44184,-0.099002
30.192,-0.79814,0.55135,0.0055071,0.00015732,0.89841,-2.9699,0,0.495,0.43709,-0.12375
30.197,-0.78441,0.53298,0.0055055,0.000163,0.87186,-3.0989,0,0.495,0.44184,-0.12376
30.236,-0.69583,0.597,0.0054977,0.00016763,0.74093,-3.7748,0,0.495,0.4371,-0.14852
30.24,-0.68245,0.57612,0.0054965,0.00017534,0.7217,-3.8861,0,0.495,0.44184,-0.14852
30.276,-0.59046,0.62481,0.005491,0.00018301,0.63667,-4.5516,0,0.495,0.43713,-0.17329
30.28,-0.5804,0.60573,0.0054903,0.00018818,0.62562,-4.6193,0,0.495,0.44184,-0.17329
30.316,-0.5001,0.62008,0.0054854,0.00021499,0.54549,-5.2193,0,0.495,0.43713,-0.19806
30.322,-0.49325,0.60072,0.0054848,0.00022303,0.53638,-5.2691,0,0.495,0.44184,-0.19806
30.062,1.0068,-0.24634,0.056625,0.00025679,35.587,-9.0031,0,0.495,0.048387,-0.24754
29.888,1.0678,-0.55812,0.089787,0.00033135,48.912,-7.9595,0,0.495,0,-0.24752
28.887,1.6304,-0.3267,0.31679,0.00054099,93.895,-8.9618,0,0.495,0.048388,-0.22276
27.984,1.7821,-0.9849,0.51477,0.00068111,121.28,-6.526,0,0.495,0,-0.22273
29.981,1.1989,0.77945,0.070043,0.00030645,43.485,-11.232,0,0.495,0.096931,-0.22278
30.283,0.83869,0.5155,0.015882,0.00015144,15.345,-10.475,0,0.495,0.09692,-0.24756
30.331,0.64587,0.95492,0.0073449,0.00012664,7.233,-9.8447,0,0.495,0.14549,-0.24753
30.173,0.72082,1.2138,0.014446,0.00016725,15.056,-9.9074,0,0.495,0.14551,-0.22276
30.186,0.28768,1.3021,0.0067479,0.00011577,6.436,-7.8349,0,0.495,0.19412,-0.22284
30.328,0.33477,1.0567,0.0060297,0.00012681,4.0607,-8.3469,0,0.495,0.19413,-0.24762
30.331,0.10319,1.0702,0.0056243,0.00014712,1.8315,-6.871,0,0.495,0.24272,-0.24771
30.199,0.016426,1.258,0.0057126,0.00011023,2.6836,-6.0935,0,0.495,0.24272,-0.22295
30.194,-0.20604,1.1261,0.0055679,0.00011682,1.5332,-5.1962,0,0.495,0.2913,-0.22291
30.332,-0.081117,0.97012,0.0055458,0.00015053,1.1542,-6.074,0,0.495,0.29129,-0.2477
30.362,-0.24195,0.84979,0.0054989,0.00019298,0.69135,-5.7102,0,0.495,0.33988,-0.24772
30.271,-0.35659,0.95204,0.0055099,0.00014576,0.86115,-4.9192,0,0.495,0.33989,-0.22292
30.323,-0.38671,0.73771,0.005494,0.00018201,0.64951,-5.1922,0,0.495,0.38848,-0.22296
30.383,-0.28986,0.68371,0.0054877,0.00022746,0.5506,-5.7042,0,0.495,0.38846,-0.24774
30.248,-0.49647,0.77543,0.0055003,0.00017322,0.7564,-4.3494,0,0.495,0.38854,-0.19811
30.366,-0.42798,0.60253,0.0054815,0.00023186,0.48242,-5.7683,0,0.495,0.43713,-0.22283
30.371,-0.42443,0.58735,0.0054812,0.00023829,0.47832,-5.789,0,0.495,0.44184,-0.22283
30.395,-0.3526,0.55776,0.0054782,0.00029141,0.44027,-6.1417,0,0.495,0.43712,-0.2476
30.397,-0.35111,0.54331,0.0054779,0.00030159,0.43624,-6.146,0,0.495,0.44184,-0.2476
30.346,0.67577,-0.11892,0.012242,0.0001551,15.981,-9.6887,0,0.495,0.048384,-0.27233
30.323,0.67104,-0.21723,0.014218,0.00014172,21.709,-9.7539,0,0.495,0,-0.27231
30.383,0.64163,0.40378,0.0082808,0.00015006,7.4716,-10.128,0,0.495,0.096911,-0.27234
30.387,0.56972,-0.060108,0.0091571,0.00016834,12.585,-10.383,0,0.495,0.048385,-0.29709
30.394,0.52868,-0.06852,0.0086105,0.00014749,14.275,-10.846,0,0.495,0,-0.29708
