"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
30.52,-0.56684,-1.8659,0.0055332,6.4155e-05,1.9054,-15.393,0,0.33,0.31602,0.17394
30.628,-0.36984,-1.6517,0.0055031,8.0732e-05,1.1453,-17.387,0,0.33,0.316,0.19872
30.38,-1.3042,-1.229,0.0055143,7.1151e-05,1.5557,-10.763,0,0.33,0.38904,0.12405
30.297,-1.3728,-1.5379,0.0055498,5.7003e-05,2.57,-9.5511,0,0.33,0.36473,0.12404
30.479,-0.73041,-1.3498,0.0054963,7.5833e-05,1.0646,-14.524,0,0.33,0.36466,0.17389
30.56,-0.54168,-1.2162,0.0054867,9.015e-05,0.81078,-16.006,0,0.33,0.36463,0.19877
30.505,-0.74086,-1.1342,0.0054883,9.3808e-05,0.86076,-14.523,0,0.33,0.389,0.17387
30.589,-0.58086,-1.0299,0.0054796,0.00011366,0.65326,-15.656,0,0.33,0.38896,0.19883
31.114,1.6986,1.4832,0.064149,0.00074344,59.245,-43.373,0,0.33,0.12123,-0.19862
30.783,2.0407,2.0212,0.35936,0.0017868,147.72,-47.978,0,0.33,0.12122,-0.17387
31.072,1.3278,1.6023,0.019001,0.00030573,27.41,-38.486,0,0.33,0.14553,-0.19872
30.981,1.6383,2.25,0.087778,0.0009113,66.813,-42.042,0,0.33,0.14551,-0.17393
25.697,2.7527,2.9206,5.7415,0.0073846,660.95,-63.081,0,0.33,0.096882,-0.14891
29.142,2.2724,2.8897,2.1618,0.0045749,366.48,-54.621,0,0.33,0.12119,-0.14905
30.434,1.7888,2.9409,0.56317,0.0024056,172,-45.164,0,0.33,0.1455,-0.14908
-1.8134,-0.4185,5.2614,9.3234,0.0078384,881.11,-89.287,0,0.33,0.024154,0.099038
-0.99866,1.0617,3.0307,9.1083,0.0058465,987.04,-78.155,0,0.33,0.02417,0.12379
-0.11581,1.2218,-0.57751,12.834,0.014765,821.54,-96.3,0,0.33,0.048369,0.099084
3.4369,2.9632,-2.0907,12.63,0.010816,1021.2,-85.893,0,0.33,0.048384,0.12386
-1.8167,-0.56927,6.3636,7.5931,0.0020476,1006.1,-72.318,0,0.33,0.001746,0.12374
-0.13857,0.93418,2.8306,6.8679,0.0018889,965.93,-55.261,0,0.33,0.0018669,0.14849
3.4424,2.2729,0.7514,7.9572,0.0036732,1068.1,-60.126,0,0.33,0.024181,0.14858
11.685,3.6973,-2.1675,9.8047,0.0067439,1132.6,-67.713,0,0.33,0.048404,0.14867
