"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
25343,-45997,4.72,-3.4763,1.0684,31.485,0.021539,1065.8,-7.268,-29.215,-18.18,-142.29,0,0.495,0.014713,0.005625
32473,-47625,4.1891,-2.5788,1.1028,30.007,0.020298,1308.5,-3.5481,-21.8,-14.065,-129.84,0,0.495,0.010951,0.0056249
18584,-44754,4.6803,-3.4391,1.4181,31.43,0.021762,1063.2,-7.7867,-37.787,-23.078,-139.87,0,0.495,0.014716,0.0075
28530,-46522,4.1584,-2.5521,1.4646,29.933,0.020391,1305.8,-4.037,-28.061,-17.76,-127.79,0,0.495,0.010955,0.0075
-1.5092e+05,-54571,3.5523,-0.9644,0.39573,19.037,0.0051197,6098.9,8.5824,51.616,-3.6746,3808.3,0,0.495,0.0034472,0.001875
-11321,-55700,3.5564,-0.96824,-0.20389,19.046,0.0051207,6102.8,8.6342,25.624,-2.282,-3809.4,0,0.495,0.003444,0
-3.4423e+05,-66303,3.5778,-0.62718,0.40193,14.119,0.0005692,9720.6,11.089,110.17,-3.1866,7671.2,0,0.495,0,0.001875
-65565,-68385,3.5819,-0.6324,-0.21127,14.127,0.00056937,9727.8,11.132,56.338,-2.084,-7673.4,0,0.495,0,0
-4.0905e+05,-53185,3.5083,-0.92585,1.5534,18.936,0.0051005,6073.2,7.4687,209.22,-10.078,3805.7,0,0.495,0.0034568,0.0075
-4.1667e+05,-53618,3.5269,-0.94198,1.1692,18.984,0.0051102,6083.2,8.0134,156.76,-8.2217,3805.7,0,0.495,0.0034536,0.0056249
-8.5638e+05,-64962,3.5404,-0.58465,1.572,14.066,0.00056686,9675.4,9.9995,440.5,-7.545,7662.7,0,0.495,0,0.0075
-8.7328e+05,-65172,3.5555,-0.60094,1.1815,14.091,0.00056813,9692.8,10.545,330.3,-6.338,7664.4,0,0.495,0,0.0056249
38604,-49171,4.2334,-2.617,-0.18534,30.1,0.020133,1312.3,-3.038,-4.2999,-3.031,132.64,0,0.495,0.010943,0
37730,-48960,4.228,-2.6122,0.36943,30.089,0.020163,1311.8,-3.0688,-8.0185,-5.5774,-132.31,0,0.495,0.010945,0.001875
36262,-47823,4.7763,-3.529,-0.18033,31.554,0.021225,1069.2,-6.6653,-5.5662,-3.7852,145.67,0,0.495,0.014707,0
34676,-47554,4.7695,-3.5225,0.3589,31.546,0.021271,1068.8,-6.7225,-10.599,-7.0636,-145.25,0,0.495,0.014708,0.0018752
161.05,-11880,8.4793,-8.9001,0.51507,27.302,0.033107,800,-38.235,-67.605,-44.911,-103,0,0.495,0.044795,0.0056251
58.268,-14629,8.0867,-8.4079,0.58163,27.759,0.031301,800.98,-34.978,-65.953,-42.876,-105.23,0,0.495,0.04105,0.0056251
289.42,-10799,8.3824,-8.7899,0.6818,27.548,0.033411,800.46,-38.594,-88.688,-58.341,-101.92,0,0.495,0.044799,0.0075001
188.87,-13483,7.9944,-8.3054,0.77065,27.966,0.03163,801.01,-35.366,-86.352,-55.573,-104.08,0,0.495,0.041054,0.0075001
19808,-28039,6.9182,-6.7326,-0.13576,29.534,0.025643,830.13,-22.691,-10.257,-6.6542,125.05,0,0.495,0.029816,0
15840,-27823,6.9059,-6.72,0.27064,29.55,0.025693,829.96,-22.749,-19.99,-12.823,-124.79,0,0.495,0.029817,0.0018764
