"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
24.226,-29.784,30.848,-0.023822,0.86243,0.0056788,0.0001465,2.542,-22.884,-2.526,1.4291,-0.32858,0,0.495,0.18209,-0.30458
45.745,-46.605,30.79,-0.066385,0.96757,0.0055979,0.0001056,1.7251,-22.244,-8.4685,0.74593,-3.7393,0,0.495,0.19423,-0.3046
224.06,-207.89,30.799,-0.050984,1.0015,0.0056076,6.3713e-05,1.9539,-22.39,-9.8382,-4.1623,-6.2273,0,0.495,0.19423,-0.29841
14.006,-26.439,30.835,0.021511,0.93377,0.0056888,0.00012833,2.7113,-23.709,10.446,-1.7702,2.5674,0,0.495,0.16994,-0.29834
10.834,3.5473,30.84,0.011826,0.93315,0.0056901,0.00014181,2.7279,-23.389,13.1,-2.0358,3.1308,0,0.495,0.17602,-0.29836
11.151,-22.843,30.835,0.0017145,0.89872,0.0056783,0.00016669,2.4851,-23.509,3.5089,1.8286,2.1785,0,0.495,0.16992,-0.30454
57.935,-54.473,30.84,0.10659,0.97598,0.0057023,9.7025e-05,2.9336,-24.625,13.128,-4.2515,-1.3639,0,0.495,0.15153,-0.29828
15.579,-21.617,30.829,0.038006,0.91961,0.0056785,0.0001666,2.4787,-24.094,4.3869,1.443,1.1733,0,0.495,0.15763,-0.3045
22.357,-24.659,30.832,0.0749,0.95787,0.0056921,0.00010678,2.7784,-24.325,13.259,-2.4036,1.1893,0,0.495,0.15763,-0.2983
17.801,-34.085,30.833,0.057752,0.9474,0.0056934,9.77e-05,2.8078,-24.071,12.899,-2.7721,2.1231,0,0.495,0.1638,-0.29805
29.667,-22.427,30.726,-0.080441,1.1296,0.0055225,0.00011029,0.94344,-21.83,8.915,-4.3741,-0.27212,0,0.495,0.20641,-0.29811
168.78,-144.2,30.737,-0.06946,1.1522,0.005527,7.473e-05,1.0303,-22.084,-0.021855,-5.8826,-4.2549,0,0.495,0.20031,-0.29835
33.002,-35.043,30.72,-0.10394,1.0913,0.0055158,0.00013311,0.83264,-21.676,-2.0375,0.8925,-1.6865,0,0.495,0.20639,-0.30456
11.472,-12.544,30.724,-0.090193,1.1083,0.0055228,0.00012138,0.93842,-21.542,10.302,-5.4296,1.5767,0,0.495,0.2125,-0.29838
15.177,-22.765,30.713,-0.12637,1.0457,0.0055133,0.00016116,0.79341,-21.101,3.8518,0.94431,1.1995,0,0.495,0.21856,-0.3047
10.136,-11.565,30.719,-0.12274,1.075,0.0055196,0.00013562,0.89149,-21.182,9.1809,-4.8269,1.7452,0,0.495,0.21857,-0.29851
14.952,-6.7842,30.74,-0.17197,0.90679,0.0055128,0.00015295,0.80263,-19.942,7.3517,-4.2078,2.0823,0,0.495,0.24289,-0.29845
12.656,-18.772,30.731,-0.15951,0.89873,0.0055093,0.00017815,0.73995,-19.883,3.7231,0.23076,2.521,0,0.495,0.24288,-0.30466
18.196,12.525,30.738,-0.16574,0.9668,0.0055202,0.00012442,0.90252,-20.299,12.462,-7.6205,2.9847,0,0.495,0.2368,-0.29847
17.096,-26.1,30.715,-0.15685,0.9822,0.0055119,0.00014857,0.77906,-20.496,3.8379,0.2399,2.0752,0,0.495,0.23071,-0.30471
10.837,14.056,30.724,-0.15173,1.0096,0.0055184,0.00014269,0.87323,-20.574,11.925,-5.5367,2.8977,0,0.495,0.23071,-0.29852
10.277,12.417,30.722,-0.13846,1.0543,0.0055199,0.00014172,0.89365,-20.866,12.077,-5.9488,2.2369,0,0.495,0.22464,-0.29853
11.712,-17.764,30.766,-0.1616,0.83537,0.0055068,0.0002038,0.72798,-18.278,-3.3846,-0.23643,1.5662,0,0.495,0.2793,-0.29852
20.981,-5.5801,30.777,-0.16291,0.81943,0.0055065,0.00012295,0.74451,-18.021,-9.8245,-0.86916,-3.5258,0,0.495,0.28537,-0.29854
13.04,-15.382,30.769,-0.1478,0.81265,0.0055065,0.0002068,0.71234,-18.254,-2.9985,0.79463,-0.65451,0,0.495,0.2793,-0.30471
26.006,-27.013,30.703,-0.18343,0.84973,0.0054933,0.0001368,0.60303,-17.724,-4.2176,0.35803,-4.7764,0,0.495,0.29146,-0.30475
45.693,-8.1783,30.705,-0.1907,0.87886,0.005494,0.00010853,0.62993,-17.727,-11.148,-2.6035,-7.8922,0,0.495,0.29147,-0.29858
4.1704,-4.4564,30.746,-0.17117,0.84441,0.0055069,0.00024233,0.71661,-18.81,-4.7467,-0.12928,2.5168,0,0.495,0.26716,-0.2985
4.3007,-7.8595,30.751,-0.14964,0.83181,0.0055066,0.00027732,0.69948,-18.799,-1.4012,1.2077,2.3926,0,0.495,0.26716,-0.30469
3.8241,-3.8544,30.754,-0.17363,0.852,0.0055069,0.00026961,0.71826,-18.518,-3.0418,-0.16438,2.9093,0,0.495,0.27323,-0.29851
9.9,-17.095,30.745,-0.16609,0.86354,0.0055072,0.00020443,0.72827,-19.62,2.6172,-1.3857,1.1304,0,0.495,0.24896,-0.29846
6.0001,-9.2122,30.743,-0.14923,0.83703,0.0055066,0.00024973,0.6985,-19.314,0.83599,0.91296,2.1874,0,0.495,0.25503,-0.30466
9.0182,-14.25,30.739,-0.15892,0.85219,0.0055069,0.0002123,0.71901,-19.362,-0.21305,-0.47184,1.3051,0,0.495,0.25503,-0.29847
7.9694,-13.4,30.738,-0.16596,0.84207,0.005507,0.00018875,0.72399,-19.113,-4.0355,-0.60453,1.781,0,0.495,0.26109,-0.29849
44.338,-23.071,30.634,-0.22072,0.95471,0.0054821,0.00012381,0.51962,-17.476,-4.9441,-4.7979,-5.525,0,0.495,0.29761,-0.29863
21.69,-25.401,30.622,-0.22331,0.90327,0.0054801,0.00015983,0.47733,-17.279,-0.72811,0.74745,-2.5204,0,0.495,0.30368,-0.30484
18.662,-32.071,30.622,-0.22594,0.93431,0.0054816,0.00013834,0.50605,-17.29,-0.29889,-3.6317,-1.2231,0,0.495,0.3037,-0.29866
