"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
-1042.3,2362.3,32.047,0.11613,-0.38778,0.23758,0.00038205,648.19,-89.863,95.392,108.67,0.97268,0,0.33,0.0059619,-0.19815
-1786,1648.9,32.17,0.086802,-0.3664,0.16985,0.00030645,578.18,-89.162,94.724,72.606,19.843,0,0.33,0.005953,-0.19972
-2794.3,1773.2,32,0.027284,-0.07967,0.20177,0.00017498,1152.2,-89.853,89.641,58.607,348.33,0,0.33,0.0029357,-0.19814
-4294.6,1185.1,32.052,-0.018291,-0.068812,0.17141,0.00015037,1094.4,-89.156,85.126,43.23,369.9,0,0.33,0.002926,-0.19971
-3994.5,418.86,32.092,-0.048678,-0.063632,0.14849,0.00012865,900.86,-88.463,67.958,35.864,378.63,0,0.33,0.0029176,-0.20126
-4919.9,33.32,32.036,-0.083746,0.02861,0.16088,9.3893e-05,1038.9,-88.326,38.997,40.064,546.13,0,0.33,0,-0.20126
-5189.4,524.1,31.944,-0.076285,0.10721,0.20103,8.8824e-05,1522.3,-89.192,46.461,34.337,700.77,0,0.33,0,-0.1997
-1480.5,716.56,32.234,0.052097,-0.32188,0.13024,0.0002414,499.25,-88.282,72.612,45.424,112.14,0,0.33,0.0059456,-0.20127
252.18,-316.09,32.416,1.4731,0.33521,0.010165,0.00020127,50.529,-79.312,8.4281,5.816,-0.47076,0,0.33,0.090698,-0.20046
233.34,-289.28,32.423,1.4926,0.33256,0.010381,0.00019811,52.425,-79.94,0.060021,8.5574,-0.314,0,0.33,0.090697,-0.19891
455.49,-568.81,32.389,1.4726,0.3591,0.0099313,0.00020554,48.14,-78.66,5.0599,5.5196,-2.5732,0,0.33,0.093764,-0.20047
387.06,-481.53,32.396,1.5009,0.36901,0.010129,0.00020339,49.822,-79.268,-0.61628,7.8572,-2.407,0,0.33,0.093762,-0.19893
681.3,-807.98,32.34,1.423,0.43087,0.0094967,0.00020023,44.245,-77.162,-2.1759,4.1935,-3.4918,0,0.33,0.096803,-0.20204
530.37,-599.72,32.379,1.4378,0.34419,0.0097652,0.00020811,46.669,-78.115,8.0933,3.809,-2.5249,0,0.33,0.093763,-0.20202
709.57,-892.86,32.354,1.4609,0.43371,0.0097127,0.00020176,45.923,-77.871,-4.6938,5.0927,-4.0823,0,0.33,0.096803,-0.20049
343.23,-394.01,32.401,1.4302,0.33128,0.0099249,0.00020486,48.495,-78.586,10.294,3.9337,-0.59443,0,0.33,0.0907,-0.202
341.29,-410.98,32.285,1.5511,0.56611,0.0094407,0.00022001,42.928,-77.059,3.0834,7.3571,-4.6357,0,0.33,0.10287,-0.19897
