"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
3.392,3.145,30.547,-0.33119,-0.72647,0.0054755,0.00014582,0.4347,-11.741,-11.285,3.4742,1.993,0,0.495,0.40127,0.27337
-12.519,29.882,30.566,-0.37828,-0.67991,0.0054806,0.00021916,0.48816,-11.866,-12.057,3.2948,3.1326,0,0.495,0.38896,0.26732
51.752,-57.67,30.567,-0.29806,-0.48749,0.0054747,0.00011044,0.43562,-11.141,1.4442,3.2791,-1.6841,0,0.495,0.44184,0.27338
43.888,-50.479,30.543,-0.35156,-0.49039,0.005475,0.00013949,0.43725,-11.072,2.0136,1.843,-1.7032,0,0.495,0.44184,0.26719
16.328,-18.182,30.538,-0.37176,-0.49198,0.005475,0.00020438,0.4278,-11.001,5.693,0.020216,-2.0518,0,0.495,0.44184,0.261
11.729,-4.3034,30.538,-0.37613,-0.4812,0.0054761,0.00019882,0.43732,-10.841,6.3424,-0.7037,-1.0822,0,0.495,0.44184,0.24863
8.9066,-4.1561,30.537,-0.37579,-0.48677,0.005475,0.00021452,0.42371,-10.928,7.1128,-0.46169,-2.0943,0,0.495,0.44184,0.25481
16.912,-8.4576,30.563,-0.28074,-0.64902,0.0054753,0.0002313,0.43272,-11.435,4.9972,0.39595,-1.285,0,0.495,0.42557,0.27968
13.515,-15.748,30.562,-0.28099,-0.68784,0.0054752,0.00022629,0.42956,-11.61,-2.5264,0.65978,-0.21418,0,0.495,0.41345,0.27961
3.2341,11.341,30.557,-0.297,-0.63807,0.005475,0.00027095,0.42358,-11.505,7.8946,-1.9567,-1.5609,0,0.495,0.42556,0.28588
9.5978,-12.714,30.557,-0.27115,-0.67181,0.005475,0.00024856,0.42472,-11.674,0.30598,-1.8743,-0.19147,0,0.495,0.41345,0.28578
20.589,-2.9443,30.582,-0.2709,-0.52572,0.0054746,0.00018667,0.42442,-11.266,9.8897,1.4246,-2.1786,0,0.495,0.43775,0.27959
-2.9048,33.543,30.584,-0.29865,-0.52342,0.0054743,0.00024568,0.41211,-11.323,13.052,-0.62171,-2.7591,0,0.495,0.43775,0.28577
9.2909,-5.3242,30.563,-0.24065,-0.68937,0.0054751,0.00018825,0.42715,-11.885,-5.9882,-1.8647,2.5726,0,0.495,0.40123,0.2858
16.906,-15.353,30.551,-0.2128,-0.66243,0.0054746,0.00016154,0.42501,-11.94,-4.3548,-2.7382,2.7521,0,0.495,0.40122,0.29202
17.252,-22.6,30.545,-0.25856,-0.64384,0.0054745,0.00017228,0.42312,-11.733,-0.79439,-2.6336,-0.18985,0,0.495,0.41343,0.29201
19.17,-19.292,30.537,-0.20086,-0.63753,0.0054737,0.00016663,0.41305,-11.977,-2.1334,-2.5412,2.7355,0,0.495,0.4012,0.29823
17.69,-23.046,30.529,-0.23803,-0.60991,0.0054733,0.00017118,0.40702,-11.799,-0.93231,-2.1247,-0.020154,0,0.495,0.41341,0.29823
2.9393,2.0304,30.568,-0.2699,-0.71049,0.0054753,0.00017828,0.42907,-11.821,-8.6977,0.86474,2.2734,0,0.495,0.40125,0.27957
15.679,-14.055,30.545,-0.30314,-0.61925,0.0054745,0.00017782,0.42247,-11.572,3.6402,-2.7207,-1.7725,0,0.495,0.42552,0.29214
18.908,-22.603,30.567,-0.29456,-0.50993,0.0054728,0.00016759,0.39678,-11.424,2.6687,-1.8145,-2.9298,0,0.495,0.43773,0.29818
10.79,-1.4516,30.579,-0.31598,-0.52013,0.0054739,0.00018571,0.41044,-11.377,8.0512,-1.6871,-3.2481,0,0.495,0.43774,0.29198
22.082,-28.154,30.532,-0.28536,-0.59922,0.0054736,0.00015239,0.41319,-11.633,0.30094,-2.5272,-1.863,0,0.495,0.4255,0.29835
17.486,-2.8461,30.589,-0.26603,-0.48531,0.0054743,0.00021765,0.41871,-11.204,8.0461,1.7506,-2.0651,0,0.495,0.44184,0.27958
-2.7042,28.822,30.593,-0.29195,-0.4849,0.0054741,0.00027831,0.40704,-11.257,11.703,-0.19358,-2.516,0,0.495,0.44184,0.28576
16.056,-18.835,30.581,-0.29479,-0.4816,0.0054728,0.00018691,0.39304,-11.347,2.7137,-1.6923,-2.7301,0,0.495,0.44184,0.29816
8.9222,-0.50061,30.591,-0.31022,-0.48598,0.0054737,0.00020558,0.40495,-11.308,7.4013,-1.3487,-2.914,0,0.495,0.44184,0.29197
19.694,-24.851,30.15,-0.98032,-0.078935,0.0055697,0.00017146,1.923,-5.0453,0.34956,0.15524,-0.31937,0,0.495,0.42559,0.018562
19.958,-23.887,30.143,-0.98565,-0.05273,0.0055726,0.00017166,1.9754,-5.0026,0.81257,1.5285,-0.23596,0,0.495,0.42559,0.012375
26.637,-32.481,30.121,-1.0394,-0.092776,0.0056123,0.00015621,2.6881,-4.3832,0.71034,0.25996,-0.64932,0,0.495,0.41345,0.018562
26.753,-31.562,30.115,-1.0443,-0.062932,0.0056175,0.00015792,2.776,-4.3332,0.80237,1.4627,-0.55207,0,0.495,0.41345,0.012375
