"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
182.66,-251.21,31.067,-0.83062,-1.5271,0.0055084,4.7411e-05,1.3706,-29.628,-13.288,0.9487,3.8469,0,0.33,0.2858,0.20277
111.83,-140.52,31.07,-0.81098,-1.4845,0.0055054,4.7579e-05,1.2684,-29.657,-20.904,0.90487,3.6332,0,0.33,0.28579,0.20586
144.6,-162.39,31.049,-0.87329,-1.5584,0.0055059,3.8889e-05,1.3741,-29.55,-32.959,2.843,6.4572,0,0.33,0.28882,0.20282
68.606,40.904,31.026,-0.8799,-1.6548,0.0054965,6.7066e-05,1.0685,-29.374,-32.368,0.098714,4.4645,0,0.33,0.29185,0.20592
72.986,41.2,31.021,-0.90589,-1.7063,0.0054979,4.904e-05,1.1367,-29.411,-43.406,1.9762,6.0009,0,0.33,0.29185,0.20283
101.38,-213.64,31.084,-0.76908,-1.5465,0.0055099,5.876e-05,1.2996,-29.969,-0.4344,-0.27589,-0.68057,0,0.33,0.27976,0.20263
113.71,-238.37,31.085,-0.74861,-1.5054,0.0055075,5.4871e-05,1.245,-29.947,0.78423,-0.60313,-0.54464,0,0.33,0.27973,0.20572
149.09,-272.77,31.082,-0.79328,-1.5308,0.0055105,5.0099e-05,1.3656,-29.809,-6.2917,0.22574,1.3488,0,0.33,0.2828,0.20268
62.13,86.489,30.996,-0.92424,-1.8388,0.0054911,7.0045e-05,0.92104,-29.212,-18.692,-0.62763,1.3843,0,0.33,0.29489,0.20284
70.01,-42.318,31.003,-0.88636,-1.7665,0.005489,7.4531e-05,0.87401,-29.008,-8.7581,-2.2427,-1.011,0,0.33,0.29793,0.20593
65.032,-109.6,31.004,-0.90646,-1.7886,0.00549,6.9936e-05,0.8982,-29.044,3.334,-0.69868,-2.9022,0,0.33,0.29792,0.20284
88.595,-194.95,31.082,-0.74357,-1.6176,0.0055092,5.7663e-05,1.2308,-30.338,8.709,-0.43316,-2.9942,0,0.33,0.27366,0.20254
99.903,-230.72,31.078,-0.73654,-1.6738,0.0055091,5.3397e-05,1.2243,-30.541,8.5963,-0.45354,-4.2137,0,0.33,0.27062,0.20253
93.901,-224.16,31.082,-0.72157,-1.5852,0.0055074,5.5827e-05,1.2044,-30.317,6.0414,-0.90543,-3.1293,0,0.33,0.27363,0.2057
120.69,-263.33,31.066,-0.68966,-1.6739,0.0055084,5.1659e-05,1.2303,-30.677,4.6352,-1.048,-4.3643,0,0.33,0.2675,0.20579
115.16,-249.92,31.066,-0.71663,-1.7137,0.0055099,5.2093e-05,1.2555,-30.723,6.1582,-0.31973,-5.0599,0,0.33,0.26755,0.20254
74.068,-173.78,31.086,-0.75544,-1.5739,0.0055097,6.2456e-05,1.2488,-30.157,5.0816,-0.15304,-1.9871,0,0.33,0.2767,0.20256
101.48,-179.38,31.075,-0.70869,-1.4151,0.0055026,6.0215e-05,1.1075,-29.834,0.93098,-2.5824,-0.65189,0,0.33,0.27968,0.21202
74.179,-29.934,31.07,-0.76154,-1.3809,0.005501,5.8927e-05,1.0957,-29.595,-18.504,-0.81497,3.0891,0,0.33,0.28578,0.21206
81.351,-114.76,31.054,-0.67795,-1.3464,0.0054999,6.6479e-05,1.0387,-29.748,-4.242,-4.1369,-0.34916,0,0.33,0.27963,0.21835
63.939,-30.632,31.008,-0.74702,-1.4769,0.0054918,8.4802e-05,0.88693,-29.21,-17.045,-4.2475,1.939,0,0.33,0.29183,0.2183
64.408,60.237,31.024,-0.80174,-1.5566,0.0054933,7.087e-05,0.94178,-29.311,-28.555,-1.9279,3.7908,0,0.33,0.29185,0.2121
115.03,-249.74,31.075,-0.67004,-1.5007,0.005504,5.2236e-05,1.1368,-30.173,6.8938,-2.5007,-3.1928,0,0.33,0.27354,0.21215
96.354,-196.77,31.032,-0.59514,-1.4983,0.0055023,5.6739e-05,1.0872,-30.349,8.4821,-4.9734,-3.9494,0,0.33,0.2674,0.21845
108.86,-234.71,31.055,-0.62634,-1.5799,0.0055048,5.35e-05,1.1498,-30.504,6.3526,-3.2427,-4.2739,0,0.33,0.26741,0.21225
