"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
47.438,-66.009,30.328,-0.77286,-0.51723,0.0054864,0.00010365,0.64975,-5.2223,1.6035,0.44771,1.4977,0,0.495,0.42554,0.1864
51.868,-71.619,30.322,-0.79541,-0.51633,0.0054873,0.00010006,0.67231,-5.1126,0.7295,0.35752,1.5953,0,0.495,0.42554,0.18329
42.818,-63.428,30.325,-0.78866,-0.57723,0.0054872,0.00010684,0.66664,-5.0245,1.4801,0.43573,0.23403,0,0.495,0.41945,0.18639
49.044,-71.36,30.319,-0.81079,-0.57648,0.0054883,0.00010084,0.69335,-4.9059,0.38682,0.080072,0.24795,0,0.495,0.41945,0.18329
-1.6165,2.4333,30.286,-0.74144,-0.47783,0.0054828,0.00017077,0.56402,-5.5933,-8.5114,1.1052,5.9673,0,0.495,0.43789,0.18643
-2.5315,2.7619,30.278,-0.77032,-0.47777,0.0054835,0.00017169,0.57842,-5.4986,-8.2802,1.4445,6.2004,0,0.495,0.43793,0.18324
18.709,-27.004,30.322,-0.75702,-0.47283,0.0054851,0.00014079,0.6136,-5.4132,-4.1379,0.81875,4.5945,0,0.495,0.43171,0.18642
18.893,-27.472,30.315,-0.78169,-0.4729,0.0054859,0.00013605,0.63178,-5.3108,-4.8805,1.0435,4.8163,0,0.495,0.43173,0.18328
32.15,-49.489,30.31,-0.80156,-0.67336,0.0054882,0.00011498,0.67596,-4.748,5.0211,0.73145,-0.84355,0,0.495,0.40733,0.18959
18.494,-22.118,30.317,-0.79379,-0.67464,0.0054868,0.00013801,0.63602,-4.885,7.9565,0.50621,-0.92721,0,0.495,0.40733,0.1928
29.322,-46.043,30.322,-0.78391,-0.61809,0.005487,0.00012305,0.65179,-4.951,3.3691,0.77113,-0.56286,0,0.495,0.41339,0.18956
17.613,-24.146,30.329,-0.77462,-0.61983,0.0054858,0.00014669,0.61828,-5.0787,6.0936,0.59151,-0.61231,0,0.495,0.41342,0.1928
14.545,-12.977,30.34,-0.77714,-0.62498,0.005484,0.00017079,0.5921,-5.318,7.827,0.27764,-0.66871,0,0.495,0.41344,0.19932
