"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
-0.099217,-3.1748,-0.83809,16.563,0.0179,925.3,-155.27,0,0.33,0.051436,0.075878
2.0837,-4.6232,8.8335,19.578,0.015314,1065.2,-87.592,0,0.33,0.024169,0.047951
2.1403,-4.1711,10.073,19.926,0.014121,1118.3,-82.245,0,0.33,0.021147,0.047951
1.8894,-4.4585,8.9353,19.562,0.015195,1057.8,-91.419,0,0.33,0.024169,0.049499
1.9609,-4.019,10.19,19.939,0.014057,1111.6,-86.319,0,0.33,0.021147,0.049499
2.6616,-0.15725,20.521,13.108,0.00035683,10693,-117.65,0,0.33,0,0.074247
2.6909,-0.16739,20.486,13.1,0.00035717,10690,-115.13,0,0.33,0,0.0727
30.412,1.6989,-4.975,0.1036,0.00041534,248.42,-55.885,0,0.33,0.14855,0.10079
30.415,1.7416,-5.0035,0.14282,0.00052122,272.43,-57.692,0,0.33,0.1455,0.10079
1.7857,-3.8731,10.302,19.953,0.013991,1105.9,-90.269,0,0.33,0.021147,0.051048
1.6998,-4.3007,9.0323,19.548,0.015079,1051.5,-95.14,0,0.33,0.024169,0.051048
2.4549,-0.46874,19.471,14.499,0.002991,6746,-94.14,0,0.33,0.0030206,0.061876
2.5173,-0.49019,19.367,14.504,0.0030038,6737.8,-90.288,0,0.33,0.0030205,0.060329
2.7665,-0.37364,19.634,13.729,0.0016823,8684.7,-89.499,0,0.33,0.0015105,0.060328
2.7108,-0.35682,19.738,13.739,0.0016757,8694,-93.387,0,0.33,0.0015105,0.061874
0.51781,-3.3501,9.5983,19.463,0.014466,1027.9,-118.24,0,0.33,0.024176,0.061885
0.67092,-3.4738,9.5275,19.476,0.014519,1029.5,-115.25,0,0.33,0.024176,0.060334
0.68794,-2.996,10.946,20.042,0.013631,1085.9,-114.51,0,0.33,0.021152,0.061884
0.83075,-3.1096,10.867,20.032,0.013663,1087,-111.4,0,0.33,0.021152,0.060335
5.3516,-4.6531,-4.8039,24.467,0.020693,1182.3,-119.33,0,0.33,0.072654,0.060366
5.1871,-4.3918,-5.0532,24.355,0.020494,1188.2,-120.84,0,0.33,0.072654,0.061923
6.0869,-4.3963,-5.2327,25.585,0.021122,1211.2,-115.17,0,0.33,0.075683,0.060384
5.939,-4.1304,-5.4943,25.526,0.02094,1218.9,-116.59,0,0.33,0.075683,0.061935
1.779,-0.14368,20.013,14.024,0.0027001,6820.2,-133.28,0,0.33,0.0030213,0.088176
1.7973,-0.16338,20.043,14.076,0.0027215,6819.9,-132.38,0,0.33,0.0030213,0.086629
2.2754,-0.10481,20.365,13.416,0.0011438,9391.7,-131.89,0,0.33,0.001008,0.086624
2.2867,-0.088866,20.346,13.36,0.0010675,9500.5,-132.79,0,0.33,0.00091917,0.088171
-1.2832,-0.15835,9.9046,19.308,0.014829,1049.7,-151.39,0,0.33,0.024181,0.099059
-1.2834,-0.3171,9.9602,19.285,0.014832,1046,-151.92,0,0.33,0.024181,0.097511
-1.0445,-0.15278,11.399,19.832,0.014288,1116.1,-148.36,0,0.33,0.021155,0.099045
-1.0415,-0.29393,11.451,19.841,0.014268,1112.7,-148.9,0,0.33,0.021155,0.097498
-1.1037,-1.3592,10.162,19.216,0.014751,1029.5,-150.3,0,0.33,0.024183,0.086673
-0.85185,-1.2163,11.618,19.919,0.014044,1096,-147.27,0,0.33,0.021158,0.086667
-1.1493,-1.2182,10.152,19.215,0.014781,1031,-151.08,0,0.33,0.024183,0.088219
-0.89732,-1.0919,11.614,19.905,0.014087,1097.8,-148.06,0,0.33,0.021158,0.088214
1.8494,-4.8643,7.7737,19.208,0.01645,1018.3,-96.327,0,0.33,0.027192,0.049499
2.0571,-5.0396,7.6878,19.254,0.01663,1026.2,-92.735,0,0.33,0.027192,0.047951
2.6345,-0.14712,20.55,13.114,0.00035653,10694,-120,0,0.33,0,0.075794
-0.78866,0.8999,-1.2631,17.048,0.017309,915.11,-163.18,0,0.33,0.048398,0.10064
-1.0883,0.72681,0.068065,17.161,0.016838,908.12,-163.42,0,0.33,0.045374,0.10062
17.987,1.8548,-8.1825,30.2,0.018286,1651.3,-102.27,0,0.33,0.096914,0.10074
16.451,1.865,-8.4884,31.284,0.018791,1664.8,-106.27,0,0.33,0.093884,0.10074
-0.42094,1.0699,-2.5416,16.945,0.017847,927.4,-162.26,0,0.33,0.051425,0.10065
19.476,1.8527,-7.8623,28.388,0.017461,1625.3,-98.457,0,0.33,0.099944,0.10074
30.396,1.7811,-5.042,0.20714,0.0006754,304.18,-59.6,0,0.33,0.14248,0.10079
12.987,-1.9293,-6.1839,29.123,0.021668,1344.1,-81.728,0,0.33,0.099963,0.061969
12.031,-2.1717,-6.3353,29.543,0.022111,1336.2,-85.568,0,0.33,0.096936,0.06195
13.026,-1.6968,-6.3908,29.307,0.021673,1352.2,-82.812,0,0.33,0.099963,0.063526
12.048,-1.9294,-6.5586,29.733,0.022096,1345.7,-86.661,0,0.33,0.09693,0.06351
22.806,0.51503,-5.2999,15.782,0.011589,1360.5,-69.375,0,0.33,0.1212,0.074408
22.561,0.41251,-5.2327,16.094,0.01176,1367.4,-68.455,0,0.33,0.1212,0.072847
21.4,0.37056,-5.487,18.836,0.013617,1382.8,-71.847,0,0.33,0.11816,0.074414
21.145,0.26209,-5.4159,19.115,0.013793,1385.4,-70.914,0,0.33,0.11816,0.072863
23.995,0.57247,-5.139,12.808,0.0096021,1331.2,-66.048,0,0.33,0.12424,0.072814
24.222,0.66863,-5.2,12.492,0.0094449,1319.6,-66.956,0,0.33,0.12425,0.074376
15.872,0.77254,-8.0123,30.072,0.019709,1525.7,-96.431,0,0.33,0.099965,0.08672
14.48,0.73366,-8.3688,31.009,0.0202,1535.1,-100.43,0,0.33,0.096902,0.086772
16.219,0.88869,-8.0186,30.003,0.019502,1538.4,-96.972,0,0.33,0.099965,0.088272
14.807,0.85821,-8.3772,31.006,0.020017,1549,-100.96,0,0.33,0.096903,0.08832
