"Lambda2","Q","U:0","U:1","U:2","epsilon","k","nut","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
980.81,-1315,31.639,-0.34911,3.4208,0.0098329,0.0062484,4.9075e-05,-51.594,-1.0184,7.2736,3.528,0,0.33,0.28907,-0.13305
969.95,-1260.7,31.656,-0.44502,3.4194,0.0077749,0.0062438,4.9494e-05,-51.25,4.0474,7.5606,11.86,0,0.33,0.2921,-0.13298
943.99,-1255.1,31.65,-0.34969,3.3603,0.008367,0.0062303,5.0414e-05,-51.509,-0.9756,7.1173,3.5307,0,0.33,0.28907,-0.13459
923.98,-1186.4,31.666,-0.44354,3.3605,0.0065774,0.006229,5.1154e-05,-51.173,3.5443,7.4467,11.813,0,0.33,0.29211,-0.13448
1010.6,-1347.8,31.644,-0.25383,3.412,0.01188,0.0062709,4.8453e-05,-51.967,-1.3637,7.0498,0.70487,0,0.33,0.286,-0.13299
965.82,-1288.8,31.655,-0.25607,3.3503,0.010138,0.0062463,4.971e-05,-51.876,-1.4075,6.7907,0.64149,0,0.33,0.28601,-0.13455
882.53,-1185.9,31.673,-0.26121,3.2304,0.007539,0.0062181,5.2287e-05,-51.709,-1.9251,5.5614,0.65189,0,0.33,0.286,-0.13764
914.45,-1210.8,31.673,-0.16946,3.2301,0.0084238,0.0062404,5.1398e-05,-52.083,4.3555,5.6145,2.9887,0,0.33,0.28289,-0.13745
922.47,-1241.8,31.665,-0.25865,3.2898,0.0087048,0.0062268,5.0839e-05,-51.793,-1.5238,6.1808,0.61839,0,0.33,0.28601,-0.1361
960.87,-1275,31.664,-0.16477,3.2903,0.0097391,0.0062494,4.9797e-05,-52.172,4.7925,6.2207,3.004,0,0.33,0.28289,-0.13589
1037.4,-1361.4,31.641,-0.061066,3.372,0.011892,0.0062972,4.6658e-05,-52.564,14.743,6.6226,5.6774,0,0.33,0.27994,-0.13425
1017.9,-1340.1,31.653,-0.15988,3.3522,0.011325,0.0062679,4.8368e-05,-52.258,5.0545,6.7664,3.1089,0,0.33,0.2829,-0.13434
978.17,-1289.6,31.651,-0.06885,3.3091,0.010246,0.0062817,4.8171e-05,-52.473,14.157,6.0933,5.8716,0,0.33,0.27991,-0.13582
1082.1,-1418.9,31.642,-0.15516,3.4155,0.013236,0.0062965,4.6895e-05,-52.35,5.4903,6.989,3.2635,0,0.33,0.28291,-0.13277
