"Lambda2","Q","U:0","U:1","U:2","epsilon","k","nut","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
40404,-11806,15.457,-19.319,-4.5756,1.8335,0.0064195,2.7646e-06,-96.915,-165.29,405.49,189.71,0,0.495,0.048278,-0.02475
53185,-22292,14.883,-19.006,-4.2071,1.8139,0.0063755,2.6501e-06,-94.199,-160.85,427.85,192.38,0,0.495,0.045252,-0.02475
-1.1384e+05,82303,13.564,-19.877,-4.3089,2.1388,0.0065384,1.7939e-06,-102.63,146.72,1072.6,196.43,0,0.495,0.048272,-0.021656
66977,-34908,14.267,-18.571,-3.7833,1.8082,0.0063455,2.5543e-06,-89.411,-152.95,447.88,186.63,0,0.495,0.042226,-0.02475
-2.1069e+05,1.6569e+05,11.059,-19.396,-3.6255,2.4963,0.0065795,1.3651e-06,-105.05,457.18,1518.5,190.14,0,0.495,0.045243,-0.020109
-3.1803e+05,2.823e+05,8.518,-18.692,-3.3622,3.3631,0.0066544,1.0542e-06,-109.15,859.41,1961.2,180.44,0,0.495,0.045241,-0.018562
-3.0562e+05,2.793e+05,9.2956,-19.103,-3.9098,3.4029,0.0066819,1.0848e-06,-109.98,794.68,1927.3,208.96,0,0.495,0.048267,-0.018562
-2.0532e+05,1.6919e+05,11.782,-19.748,-4.1434,2.5263,0.0065977,1.4025e-06,-106.39,416.76,1488.4,211.71,0,0.495,0.04827,-0.020109
7456.4,-15023,12.914,-18.446,-3.0858,1.8829,0.006414,2.0942e-06,-87.523,-21.136,740.75,177.03,0,0.495,0.039197,-0.023203
83101,-49840,13.672,-18.041,-3.3606,1.7968,0.0063507,2.5062e-06,-83.546,-148.04,455.03,182.94,0,0.495,0.0392,-0.02475
99002,-66840,13.058,-17.394,-2.8875,1.7892,0.0063491,2.4623e-06,-75.558,-142.01,456.19,173.27,0,0.495,0.036173,-0.02475
22918,-35108,12.3,-17.799,-2.5678,1.8777,0.006405,2.0771e-06,-79.813,-17.35,730.05,162.38,0,0.495,0.03617,-0.023203
-4.263e+05,5.4173e+05,0.24065,-13.838,-1.4725,7.1771,0.0067968,6.3655e-07,-111.12,1989.9,2501.5,127.01,0,0.495,0.039181,-0.015469
-4.6547e+05,5.0636e+05,0.82286,-14.495,-2.0985,7.2516,0.006814,6.3858e-07,-114.83,1931.1,2537.3,165.66,0,0.495,0.042208,-0.015469
-4.767e+05,4.3066e+05,3.987,-16.15,-1.8383,4.7488,0.0067214,7.9819e-07,-106.82,1442.9,2361.1,137.69,0,0.495,0.039184,-0.017016
-4.5285e+05,4.1974e+05,4.5792,-16.746,-2.4587,4.885,0.0067369,8.008e-07,-110.91,1392.8,2364.9,174.1,0,0.495,0.042211,-0.017016
-5.0824e+05,4.8413e+05,1.5621,-15.179,-2.6922,7.2667,0.006818,6.418e-07,-117.27,1859.4,2566.7,208.93,0,0.495,0.045234,-0.015469
-5.0821e+05,4.9063e+05,-2.3603,-12.16,-2.2724,10.069,0.0068899,5.3233e-07,-120.48,2466.2,2497.3,208.75,0,0.495,0.045231,-0.013922
-4.8171e+05,5.3289e+05,-3.0358,-11.392,-1.7295,10.132,0.0068801,5.2373e-07,-118.39,2596.4,2474.5,159.41,0,0.495,0.042204,-0.013922
-3.582e+05,4.2147e+05,-5.926,-8.1179,-1.6854,12.71,0.0069956,5.0531e-07,-122.26,2639.6,1926.2,160.39,0,0.495,0.045228,-0.012375
-4.0199e+05,4.6045e+05,-5.0801,-9.1392,-2.2236,12.899,0.0070319,5.0409e-07,-121.64,2637.2,1997.8,202.65,0,0.495,0.048255,-0.012375
-5.1077e+05,5.0318e+05,-1.5042,-12.978,-2.8155,10.209,0.0069084,5.3783e-07,-120.14,2353,2523.8,254.38,0,0.495,0.048258,-0.013922
-3.3716e+05,4.465e+05,-6.6138,-7.06,-1.1406,12.583,0.006981,5.022e-07,-120.26,2723.3,1914.2,92.464,0,0.495,0.042201,-0.012375
-4.9348e+05,4.7857e+05,2.4451,-15.832,-3.2594,7.3919,0.0068218,6.4784e-07,-117.22,1761.3,2570.4,245.15,0,0.495,0.048261,-0.015469
-4.9689e+05,6.2833e+05,-3.5188,-10.679,-1.1423,10.162,0.0068844,5.1684e-07,-114.92,2755.7,2462.1,115.01,0,0.495,0.039177,-0.013922
-3.5062e+05,5.5032e+05,-7.1678,-5.9803,-0.55544,12.483,0.0070099,4.9642e-07,-117.02,2890.7,1948.1,-6.4551,0,0.495,0.039174,-0.012375
-4.397e+05,4.0757e+05,5.3119,-17.326,-3.0598,4.9323,0.006745,8.1202e-07,-113.61,1328.7,2358.8,214.16,0,0.495,0.045237,-0.017016
-4.242e+05,4.0145e+05,6.1585,-17.852,-3.6259,5.0046,0.0067611,8.2902e-07,-114.01,1242.9,2333.8,244.62,0,0.495,0.048264,-0.017016
-76745,-472.14,10.508,-17.213,-1.6673,2.0581,0.0064441,1.6938e-06,-75.504,186.73,1027.9,119.36,0,0.495,0.03314,-0.021656
-20213,-30769,9.9628,-16.318,-1.1016,2.0494,0.0064388,1.7164e-06,-64.348,187.39,979.9,96.926,0,0.495,0.030113,-0.021656
-1.7034e+05,88830,8.7851,-17.054,-1.27,2.4002,0.0064753,1.3328e-06,-81.076,489.99,1421.5,96.646,0,0.495,0.033137,-0.020109
-71021,47862,8.3167,-16.17,-0.6575,2.3817,0.0064349,1.3468e-06,-70.062,477.69,1348.7,69.209,0,0.495,0.030109,-0.020109
4911.1,-64544,9.4899,-15.348,-0.58254,2.0348,0.0063467,1.7225e-06,-52.072,173.21,916.77,85.504,0,0.495,0.027085,-0.021656
95571,-1.1349e+05,10.554,-15.2,-1.1081,1.8606,0.0063317,2.0878e-06,-47.596,-24.858,625.34,133.46,0,0.495,0.027089,-0.023203
68535,-83824,11.109,-16.175,-1.5721,1.8694,0.0064059,2.0899e-06,-59.783,-16.49,674.27,139.71,0,0.495,0.030116,-0.023203
1.6453e+05,-1.3255e+05,11.211,-14.813,-1.5996,1.7731,0.0062695,2.3712e-06,-43.494,-144.39,395.55,161.82,0,0.495,0.027092,-0.02475
1.9157e+05,-1.6041e+05,10.57,-13.688,-1.2094,1.7765,0.0061319,2.2862e-06,-29.732,-147.26,357.2,162.17,0,0.495,0.024065,-0.02475
1.3663e+05,-1.4939e+05,9.9768,-14.063,-0.66241,1.8652,0.006194,2.0493e-06,-33.547,-35.916,566.47,130.3,0,0.495,0.024061,-0.023203
46299,-1.0979e+05,9.0039,-14.197,-0.073903,2.0366,0.0061896,1.7063e-06,-37.658,153.97,838.81,78.85,0,0.495,0.024057,-0.021656
1.3924e+05,-1.0832e+05,11.819,-15.779,-2.0006,1.7824,0.0063321,2.405e-06,-55.452,-140.61,427.29,163.84,0,0.495,0.03012,-0.02475
-39677,6996.7,7.9352,-15.203,-0.080374,2.3498,0.0063458,1.3559e-06,-57.643,459.8,1270.5,50.714,0,0.495,0.027082,-0.020109
-9783.7,-48911,7.571,-14.079,0.49212,2.3246,0.006202,1.3579e-06,-43.005,427.01,1173.2,38.278,0,0.495,0.024054,-0.020109
40270,-56218,11.708,-17.056,-2.0797,1.8754,0.0064094,2.0776e-06,-70.878,-17.284,709.28,156.77,0,0.495,0.033144,-0.023203
1.183e+05,-85125,12.455,-16.657,-2.4543,1.7857,0.0063427,2.4296e-06,-66.57,-144.16,445.56,173.91,0,0.495,0.033147,-0.02475
-1.9722e+05,2.1224e+05,-3.7621,4.2827,3.1794,5.4104,0.0077123,1.3606e-06,-39.089,1636.1,-41.787,-403.84,0,0.495,0.017963,-0.0077343
-76406,3.0904e+05,-3.7402,2.0018,3.5155,5.8299,0.0073452,1.16e-06,-39.648,1771.6,116.86,-469.32,0,0.495,0.017968,-0.0092812
-81269,1.7525e+05,-2.5663,3.7211,3.7712,4.7272,0.0075164,1.4269e-06,-20.983,1490.7,16.529,-424.45,0,0.495,0.014933,-0.0077343
-28054,2.6236e+05,-2.4341,1.7025,4.1546,4.9604,0.0071542,1.2463e-06,-21.54,1589.7,141.92,-489.13,0,0.495,0.014938,-0.0092812
-17265,33942,-1.5222,4.7933,3.6866,4.4583,0.0077259,1.59e-06,-0.029937,1247.1,-5.0289,-347.24,0,0.495,0.011899,-0.0061874
-1.1189e+05,79673,-2.5382,5.7017,3.1353,4.6492,0.0080178,1.6042e-06,-18.102,1407.6,-54.689,-348.4,0,0.495,0.014929,-0.0061874
19764,1.3143e+05,-1.4502,3.0976,4.3484,4.1633,0.0072072,1.4772e-06,-2.8373,1300.7,68.536,-410.76,0,0.495,0.011903,-0.0077343
8478.1,2.0606e+05,-1.2038,1.3976,4.7381,4.2187,0.0068959,1.3423e-06,-3.2231,1365.6,183.51,-452.49,0,0.495,0.011907,-0.0092812
-1.8947e+05,1.1366e+05,-3.5875,6.462,2.5948,5.0564,0.0082155,1.585e-06,-36.12,1515.2,-119.45,-322.03,0,0.495,0.017959,-0.0061874
-10212,3.8093e+05,-3.4224,-0.55741,3.7675,6.0951,0.0069876,9.7587e-07,-38.62,1920.7,378.91,-527.64,0,0.495,0.017972,-0.010828
-10967,4.2395e+05,-4.6099,-0.65327,3.1521,7.045,0.0070492,8.8719e-07,-56.499,2086.4,400.32,-510.44,0,0.495,0.021001,-0.010828
-1.2293e+05,3.4068e+05,-4.8833,2.1178,2.9049,6.6615,0.007386,1.0614e-06,-57.414,1916.5,98.801,-443.56,0,0.495,0.020997,-0.0092812
-9426.5,4.3193e+05,-5.8644,-0.6595,2.5043,8.1595,0.0070543,8.0705e-07,-72.266,2187.8,441.48,-475.95,0,0.495,0.02403,-0.010828
5098.6,4.4021e+05,-3.7111,-3.6803,3.1859,6.9244,0.0067473,7.7177e-07,-53.289,2156.8,814.19,-463.72,0,0.495,0.021005,-0.012375
7758.2,3.7315e+05,-2.5748,-3.2836,3.8062,5.9423,0.0066812,8.6294e-07,-35.218,1935.6,735.84,-485.23,0,0.495,0.017976,-0.012375
-1.569e+05,3.4581e+05,-6.0504,2.2121,2.2749,7.5597,0.007333,9.7004e-07,-72.851,1992.6,53.343,-410.17,0,0.495,0.024026,-0.0092812
-7123.2,3.2482e+05,-2.077,-0.56899,4.4091,5.1105,0.0068721,1.0883e-06,-20.35,1700.3,339.51,-538.75,0,0.495,0.014942,-0.010828
7371.9,3.0479e+05,-1.3526,-2.9262,4.434,4.9865,0.0066218,9.8628e-07,-16.983,1686,631.49,-494.71,0,0.495,0.014946,-0.012375
10417,2.1348e+05,-0.12296,-2.4427,4.9853,4.1707,0.0065298,1.1497e-06,1.4681,1397.2,543.03,-446.06,0,0.495,0.011916,-0.012375
-3412,2.4743e+05,-0.79471,-0.51442,4.9822,4.2803,0.006715,1.2281e-06,-1.9648,1435.5,334.71,-480.16,0,0.495,0.011912,-0.010828
-2.5439e+05,2.3774e+05,-4.8143,4.6384,2.6221,6.0874,0.007756,1.2698e-06,-56.6,1759.4,-72.636,-375.25,0,0.495,0.020993,-0.0077343
-2.0589e+05,1.3636e+05,-4.5386,6.9867,2.1064,5.5157,0.0082832,1.5292e-06,-53.618,1610.9,-165.2,-291.94,0,0.495,0.020989,-0.0061874
-1.967e+05,1.3936e+05,-5.4244,7.3276,1.6497,5.9859,0.008258,1.448e-06,-68.915,1663.4,-226.79,-257.61,0,0.495,0.024018,-0.0061874
-2.8345e+05,2.3974e+05,-5.8458,4.8856,2.0811,6.7654,0.0077023,1.176e-06,-71.951,1825.5,-142.61,-343.22,0,0.495,0.024022,-0.0077343
1.0253e+05,-2.7403e+05,0.144,3.5042,4.0189,13.243,0.012303,1.4818e-06,32.735,736.42,44.891,-416.35,0,0.495,0.0058319,-0.0046406
1.8963e+05,-4.0969e+05,0.072255,4.384,2.8741,19.99,0.01505,1.46e-06,37.511,669.19,11.961,-484.2,0,0.495,0.0058279,-0.0030937
1.1511e+05,-1.6984e+05,-0.63699,4.971,3.4678,7.4771,0.0084967,1.4685e-06,19.857,1006,36.077,-286.42,0,0.495,0.0088634,-0.0046406
2.634e+05,-2.8527e+05,-0.76442,6.2057,2.389,11.934,0.010288,1.4977e-06,24.586,875.31,53.45,-267.03,0,0.495,0.0088594,-0.0030937
34518,-20575,-0.49804,3.6711,4.3034,4.9297,0.0075714,1.5616e-06,16.08,1062.2,60.584,-325.07,0,0.495,0.0088677,-0.0061874
43167,-93210,-1.5499,6.372,2.9166,5.7216,0.0086744,1.6837e-06,3.6788,1154.8,-16.168,-288.06,0,0.495,0.011894,-0.0046406
41418,-1.1347e+05,0.31471,2.604,4.8888,8.4484,0.01319,1.8856e-06,29.077,751.77,102.97,-462.68,0,0.495,0.0058363,-0.0061874
2.0074e+05,-1.9298e+05,-1.6181,7.8215,1.9642,8.5686,0.010635,1.9096e-06,8.2743,974.22,47.89,-237.99,0,0.495,0.01189,-0.0030937
3.9309e+05,-6.5929e+05,0.14891,5.163,1.7817,28.529,0.013918,1.1321e-06,42.694,479.77,-23.11,-458.52,0,0.495,0.0058236,-0.0015468
-1.5699e+06,-4.3984e+05,1.3262,2.921,2.1867,66.319,0.24802,1.0265e-05,50.705,-51.041,-26.819,-5373.2,0,0.495,0.0027917,-0.0015468
-2.6346e+05,-1.6769e+05,1.206,2.3734,3.3513,56.475,0.2327,1.0024e-05,45.89,-177.61,-18.758,-5364.9,0,0.495,0.002796,-0.0030937
-3.5318e+06,-1.1219e+05,2.0844,1.8871,2.3846,94.811,0.47562,1.9412e-05,52.863,-527.01,14.589,-10180,0,0.495,0,-0.0015468
-2.7259e+06,-8.9224e+05,1.4397,3.21,-1.7055,70.073,0.25361,1.0363e-05,53.204,-54.78,-0.30279,5326.5,0,0.495,0.0027888,0
-5.9381e+06,-7.3849e+05,2.108,2.1722,-1.9086,97.332,0.48317,1.9514e-05,55.057,-408.48,33.779,10031,0,0.495,0,0
-7.4639e+05,1.2709e+05,2.04,1.4361,3.5264,84.699,0.44148,1.8517e-05,48.462,-881.89,10.942,-10069,0,0.495,0,-0.0030937
5.1455e+05,-8.8015e+05,0.29335,5.5012,-1.369,32.448,0.014957,1.0862e-06,45.329,315.72,-11.233,478.24,0,0.495,0.0058207,0
-1.3246e+05,-1.6539e+05,1.1969,1.8549,4.5244,43.467,0.19919,8.7464e-06,41.465,-400.34,-0.063912,-5332,0,0.495,0.0028,-0.0046406
-6.8307e+05,-1.105e+05,1.2695,1.3628,5.4083,34.417,0.17901,8.3179e-06,38.191,-558.11,49.096,-5285.2,0,0.495,0.0028044,-0.0061874
