"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
30.581,0.95719,1.324,0.017435,7.7652e-05,38.684,-21.972,0,0.33,0.024208,0.24763
30.409,1.1172,1.6528,0.034889,0.00011823,59.243,-20.72,0,0.33,0.024203,0.23526
30.533,0.82728,1.3691,0.01734,6.3533e-05,43.77,-22.974,0,0.33,0,0.24758
30.235,0.85845,1.87,0.038768,0.00010189,71.886,-19.646,0,0.33,0,0.23522
30.793,1.4809,0.3237,0.0089768,5.6709e-05,21.256,-28.188,0,0.33,0.072725,0.24779
30.911,1.4021,-0.24107,0.0072503,5.6603e-05,14.667,-31.226,0,0.33,0.096984,0.24787
30.755,1.8426,0.27693,0.012222,7.1273e-05,27.855,-29.366,0,0.33,0.072719,0.23542
30.893,1.7274,-0.36909,0.0084546,6.2037e-05,19.784,-32.408,0,0.33,0.096982,0.23551
30.998,1.4005,-0.76034,0.0063181,5.7057e-05,9.0702,-31.817,0,0.33,0.12125,0.24794
31.01,1.5997,-0.90392,0.0067312,5.654e-05,12.013,-33.499,0,0.33,0.12125,0.23558
30.962,0.99601,-1.0895,0.0058135,6.4655e-05,4.968,-30.358,0,0.33,0.16986,0.24796
30.927,0.75867,-1.2429,0.0056792,6.9752e-05,3.3055,-28.951,0,0.33,0.19414,0.24799
30.973,1.1056,-1.2858,0.0058998,5.8808e-05,6.1135,-31.69,0,0.33,0.16986,0.2356
30.929,0.84378,-1.4553,0.0057393,6.2079e-05,4.2426,-29.635,0,0.33,0.19414,0.23562
30.887,0.5663,-1.4161,0.0055722,8.1597e-05,1.8877,-26.79,0,0.33,0.21848,0.24806
30.898,0.63483,-1.5854,0.005604,6.7244e-05,2.4108,-27.45,0,0.33,0.2185,0.23568
30.826,0.25432,-1.2672,0.0055233,8.9092e-05,1.2246,-22.736,0,0.33,0.26709,0.24819
30.752,0.074734,-1.2637,0.0055023,9.4415e-05,0.93627,-21.171,0,0.33,0.29138,0.24821
30.838,0.24047,-1.4155,0.0055353,7.4336e-05,1.4606,-22.914,0,0.33,0.26709,0.23582
30.761,0.049619,-1.4195,0.005512,7.7377e-05,1.1329,-20.88,0,0.33,0.2914,0.23582
30.677,-0.11408,-1.2997,0.005484,0.00010193,0.68285,-19.652,0,0.33,0.31576,0.24812
30.695,-0.12904,-1.4284,0.0054895,8.4193e-05,0.79458,-19.577,0,0.33,0.31581,0.23568
30.782,-0.21409,-0.91455,0.0054793,0.00014189,0.59616,-17.38,0,0.33,0.3644,0.248
30.698,-0.25915,-0.88045,0.0054731,0.00016181,0.50864,-16.773,0,0.33,0.3887,0.24801
30.801,-0.26878,-0.97012,0.0054828,0.00011429,0.66995,-17.248,0,0.33,0.36441,0.23561
30.725,-0.30631,-0.94977,0.0054761,0.00013394,0.56571,-16.437,0,0.33,0.38871,0.23561
30.612,-0.33786,-0.87601,0.005468,0.00015145,0.43933,-16.075,0,0.33,0.41301,0.24807
30.646,-0.36877,-0.94032,0.0054698,0.00012544,0.47647,-16.034,0,0.33,0.41302,0.23565
29.844,0.94031,2.3536,0.093531,0.00019682,109.86,-17.011,0,0.33,0,0.22285
30.125,1.3271,1.9952,0.081375,0.00020618,93.74,-19.231,0,0.33,0.024201,0.22289
30.719,1.2634,0.82818,0.01253,7.3702e-05,24.948,-24.845,0,0.33,0.048455,0.24771
30.639,1.6455,0.98464,0.022833,0.00010439,38.487,-24.467,0,0.33,0.048447,0.23534
30.522,1.9955,1.0837,0.048755,0.00016969,61.344,-24.895,0,0.33,0.048443,0.22297
30.871,1.9905,-0.50772,0.011448,8.8636e-05,26.61,-34.388,0,0.33,0.09698,0.22314
30.716,2.1857,0.21702,0.021305,0.0001121,39.452,-30.904,0,0.33,0.072716,0.22305
30.984,1.7606,-1.0872,0.0077026,7.2918e-05,16.016,-35.469,0,0.33,0.12125,0.22321
31.001,1.1855,-0.95469,0.0059703,6.2656e-05,6.3185,-31.877,0,0.33,0.14558,0.24792
31.021,1.3598,-1.1795,0.0061476,5.86e-05,8.1545,-33.191,0,0.33,0.14558,0.23555
30.989,1.4589,-1.3785,0.0064797,6.5861e-05,10.38,-34.814,0,0.33,0.14558,0.22318
30.876,0.86909,-1.6464,0.0057989,6.3861e-05,5.0504,-30.463,0,0.33,0.19414,0.22325
30.925,1.1588,-1.4925,0.006027,6.1266e-05,7.4106,-32.935,0,0.33,0.16986,0.22323
30.848,0.6419,-1.7662,0.0056344,6.3959e-05,2.9056,-27.848,0,0.33,0.21851,0.22329
30.862,0.4045,-1.3389,0.0055396,8.7266e-05,1.4316,-25.38,0,0.33,0.2428,0.24814
30.864,0.42416,-1.5254,0.0055579,7.0626e-05,1.7647,-25.277,0,0.33,0.24281,0.23577
30.806,0.40006,-1.6969,0.0055729,6.3576e-05,2.0627,-25.268,0,0.33,0.24282,0.22341
30.713,-0.027498,-1.5773,0.0055181,7.0477e-05,1.2818,-20.695,0,0.33,0.2914,0.22344
30.782,0.18524,-1.5807,0.0055449,6.5109e-05,1.6801,-22.786,0,0.33,0.26709,0.22345
