"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
166.1,-130.1,32.185,0.35147,-0.31809,0.0087374,6.3922e-05,32.775,-69.741,1.3249,2.9422,46.701,0,0.33,0.02405,-0.24801
199.88,-117.36,32.192,0.32559,-0.33078,0.0094089,3.5926e-05,32.759,-70.503,6.0985,2.0746,80.677,0,0.33,0,-0.24793
224.2,-212.86,32.265,0.33616,-0.40278,0.010874,6.9514e-05,45.219,-74.044,3.177,4.3745,48.722,0,0.33,0.024056,-0.23557
235.94,-204.8,32.271,0.23127,-0.42068,0.013268,4.1072e-05,43.673,-74.901,9.5939,4.5884,95.334,0,0.33,0,-0.23548
218.76,-242.59,32.133,0.98367,0.31826,0.0073706,0.00013559,25.953,-65.873,0.3547,0.61265,1.593,0,0.33,0.096879,-0.23615
162.03,-181.19,32.029,0.83139,0.28958,0.0068276,0.00010856,19.829,-62.372,-0.48348,-0.61711,0.84275,0,0.33,0.09691,-0.24858
213.83,-235.06,32.211,0.86614,0.041608,0.0078337,0.00013972,34.374,-69.357,-0.49269,1.8791,1.3231,0,0.33,0.072558,-0.23595
167.36,-190.43,32.104,0.73918,0.056176,0.0072537,0.00011466,27.15,-65.49,-0.0688,0.17073,0.52105,0,0.33,0.072568,-0.24838
146.93,-165.05,31.961,0.93214,0.5791,0.0063578,9.254e-05,13.066,-58.815,-0.34731,-0.35325,0.64758,0,0.33,0.1212,-0.24878
203.25,-226.88,32.048,1.0627,0.62528,0.0066645,0.00010371,16.956,-61.749,0.24493,0.16405,1.3178,0,0.33,0.12119,-0.2364
175.75,-210.64,31.625,0.66649,1.2208,0.0056789,6.1593e-05,3.7936,-48.902,-0.46204,-1.1659,0.54231,0,0.33,0.19425,-0.2368
135.31,-158.31,31.582,0.5812,1.0336,0.0056501,7.1617e-05,3.1487,-47.643,-0.51408,-0.91007,0.15265,0,0.33,0.19425,-0.24916
207.56,-243.99,31.765,0.87768,1.0281,0.0058453,5.8742e-05,6.33,-53.089,1.9992,-1.8006,-0.43641,0,0.33,0.16987,-0.23637
170.81,-187.4,31.694,0.75039,0.87758,0.0057786,6.6548e-05,5.099,-51.185,2.4805,-1.4912,-0.5332,0,0.33,0.16987,-0.24873
104.11,-128.79,31.491,0.4425,1.2103,0.0055592,7.7804e-05,1.7688,-43.762,0.73201,-0.86972,0.16284,0,0.33,0.21862,-0.24925
129.49,-161.85,31.528,0.49252,1.3661,0.0055776,6.7671e-05,2.1489,-44.863,0.51055,-1.1678,0.58018,0,0.33,0.21863,-0.23684
105.77,-140.33,31.288,0.084703,1.2318,0.0055101,7.0693e-05,1.1219,-37.988,0.74137,-0.81161,-0.25608,0,0.33,0.26739,-0.23699
64.056,-97.019,31.211,-0.09599,1.25,0.0054962,8.9352e-05,0.89263,-35.287,-3.8687,-0.62948,0.70402,0,0.33,0.2918,-0.23691
73.611,-98.892,31.275,0.085945,1.074,0.0055037,9.1348e-05,0.96652,-37.433,1.0009,-0.15107,-0.21571,0,0.33,0.26737,-0.24939
45.654,-68.396,31.213,-0.05132,1.0972,0.0054912,0.00010361,0.77509,-35.185,-2.8665,-0.039476,0.27783,0,0.33,0.29177,-0.24935
48.713,-81.114,31.171,-0.2047,1.246,0.0054854,9.5737e-05,0.72154,-32.93,-0.53591,-1.2104,0.35513,0,0.33,0.3162,-0.23688
37.814,-63.947,31.16,-0.16593,1.1347,0.0054814,0.00010493,0.63429,-32.603,0.31986,-0.5534,0.14967,0,0.33,0.31615,-0.24934
13.323,-20.388,30.982,-0.3488,0.7465,0.0054688,0.00014999,0.44177,-25.887,2.8573,-0.58288,0.15075,0,0.33,0.41372,-0.24916
14.293,-15.681,31.007,-0.33464,0.7378,0.0054717,0.00015427,0.47767,-27.375,-2.2429,0.10634,0.42353,0,0.33,0.3893,-0.24929
18.597,-35.664,30.996,-0.38029,0.79028,0.0054705,0.00014185,0.47936,-26.221,1.0746,-0.86445,0.1973,0,0.33,0.41376,-0.23675
14.304,-26.68,31.007,-0.39852,0.7958,0.005474,0.00015593,0.52327,-27.452,-4.1422,-0.59148,0.99126,0,0.33,0.38936,-0.23686
199.26,-218.01,32.255,0.6231,-0.18875,0.0081915,0.00011414,42.218,-71.916,-3.0204,3.4298,1.7624,0,0.33,0.048313,-0.23577
140.44,-159.48,32.149,0.55181,-0.14242,0.0074849,9.5365e-05,28.147,-67.434,-1.8247,1.1151,6.4475,0,0.33,0.048313,-0.2482
205.08,-225.44,31.923,1.0295,0.86242,0.0061438,7.3706e-05,10.358,-57.46,3.5185,-1.3961,0.05829,0,0.33,0.14548,-0.23656
159.45,-174.04,31.832,0.86425,0.7291,0.0060009,7.4593e-05,8.2122,-55.023,3.9379,-1.4998,-0.48057,0,0.33,0.14548,-0.24892
124.36,-158.3,31.411,0.30694,1.3535,0.005533,6.6519e-05,1.462,-41.313,3.7232,-1.1805,-0.45215,0,0.33,0.24297,-0.23692
91.223,-121.45,31.387,0.2758,1.1554,0.0055255,7.8351e-05,1.2732,-40.837,3.8036,-0.91659,-0.47363,0,0.33,0.24295,-0.24933
60.265,-91.132,31.099,-0.27256,1.0669,0.0054813,8.7573e-05,0.66501,-30.877,2.8394,-0.89144,-0.65242,0,0.33,0.34067,-0.23685
38.646,-59.982,31.103,-0.22071,0.95981,0.0054778,0.00010814,0.58169,-30.976,3.4432,-0.29183,-0.35259,0,0.33,0.34062,-0.24929
41.434,-63.965,31.024,-0.34902,0.84542,0.005478,0.0001077,0.5986,-28.975,0.047382,-0.2028,0.17968,0,0.33,0.36499,-0.23693
30.189,-43.348,31.031,-0.29523,0.76842,0.0054755,0.00011987,0.54066,-28.707,1.0806,0.6703,0.10352,0,0.33,0.36495,-0.24934
22.31,-46.87,30.945,-0.34904,0.53205,0.005469,0.00012551,0.45586,-24.924,3.1632,-0.05982,-0.69263,0,0.33,0.43827,-0.23654
14.837,-19.033,30.933,-0.31657,0.51977,0.0054673,0.00017015,0.41767,-24.599,3.6835,-0.005859,-0.50875,0,0.33,0.43822,-0.24897
-694.92,3042.3,31.9,0.0512,-0.27897,0.25139,0.00021637,1225.1,-90.641,123.38,87.3,313.78,0,0.33,0.0029357,-0.19814
-5653.1,2941.6,31.897,-0.0037519,-0.092298,0.23869,0.00011372,1627,-90.648,124.3,45.383,647.12,0,0.33,0,-0.19814
-1940.2,2944,31.757,0.084995,-0.30356,0.31355,0.00026499,1298.8,-91.349,121.07,125.99,270.32,0,0.33,0.0029457,-0.19658
-9734.3,2289.2,31.82,0.02982,-0.10611,0.25908,0.00013268,1677.3,-91.357,123.62,78.165,596.97,0,0.33,0,-0.19658
603.51,-653.96,32.349,1.6266,0.2817,0.010444,0.00020381,51.268,-78.712,-2.8115,8.2476,-3.0038,0,0.33,0.096797,-0.1974
658.36,-768.57,32.344,1.5931,0.28315,0.010168,0.00020628,49.315,-78.092,-2.227,7.6003,-3.2365,0,0.33,0.096802,-0.19895
421.16,-455.12,32.38,1.6176,0.2135,0.010754,0.00019859,54.176,-79.492,-2.4323,8.9214,-1.2937,0,0.33,0.093752,-0.19738
403,-484.4,32.376,1.5922,0.21132,0.010419,0.00020077,51.923,-78.88,-1.1658,8.3374,-1.603,0,0.33,0.093762,-0.19893
1031.2,-1088,31.219,1.4848,2.9868,0.0066948,0.00016123,22.043,-56.48,1.6516,11.373,1.4418,0,0.33,0.19139,-0.14987
1012.3,-1068.2,31.183,1.4054,3.0107,0.0066127,0.00014765,20.98,-55.265,1.5529,11.808,0.66229,0,0.33,0.19442,-0.14984
971.86,-1033.3,31.241,1.4704,2.9397,0.0066314,0.00015081,21.014,-56.422,1.0701,12.965,1.6345,0,0.33,0.19138,-0.15142
958.01,-1017.4,31.206,1.3931,2.9637,0.0065538,0.00013802,19.996,-55.226,1.0746,13.297,0.85124,0,0.33,0.19442,-0.15139
578.52,-627.34,32.313,1.6487,0.35738,0.010126,0.00020881,48.515,-77.938,-2.1174,7.7923,-4.2237,0,0.33,0.099824,-0.19741
604.32,-685.15,32.307,1.6172,0.36421,0.0098894,0.00021143,46.794,-77.316,-1.0612,7.2965,-4.3332,0,0.33,0.09983,-0.19897
775.38,-840.86,31.694,0.94853,1.8161,0.0058147,3.6174e-05,7.4027,-52.457,4.755,2.4727,-0.69593,0,0.33,0.19431,-0.19783
751.29,-887.22,31.697,0.91863,1.7828,0.0058014,3.4676e-05,7.0622,-52.325,-1.7745,3.3416,-0.4796,0,0.33,0.1943,-0.19937
820.43,-873.4,31.723,1.0218,1.7791,0.0058326,3.471e-05,7.6815,-53.24,13.012,1.764,-1.077,0,0.33,0.19127,-0.19782
827.13,-928.02,31.724,0.99366,1.7346,0.0058201,3.2432e-05,7.39,-53.114,12.205,2.414,-0.92293,0,0.33,0.19126,-0.19937
956.04,-1017.6,31.169,1.3167,2.9865,0.0064921,0.00012739,19.189,-54.071,0.49056,13.522,0.33975,0,0.33,0.19741,-0.15121
1007.4,-1065.6,31.145,1.3272,3.0336,0.0065474,0.00013637,20.132,-54.09,0.84966,12.139,0.15504,0,0.33,0.19741,-0.14967
408.42,-429.75,31.668,0.91385,1.8703,0.0057944,4.9473e-05,6.8256,-51.712,3.7483,3.5116,0.43554,0,0.33,0.19735,-0.19783
345.13,-382.28,31.672,0.89016,1.8503,0.0057803,5.0441e-05,6.4561,-51.584,0.87915,4.3763,0.79327,0,0.33,0.19734,-0.19938
251.43,-332.43,31.268,-0.3147,1.5466,0.0055294,3.2665e-05,1.9541,-35.165,-12.807,0.025591,-0.36354,0,0.33,0.28884,-0.19816
89.141,-82.66,31.249,-0.36182,1.6808,0.0055223,3.3937e-05,1.7573,-34.824,-47.764,0.17354,-3.1316,0,0.33,0.29186,-0.19819
211.27,-198.13,31.272,-0.31257,1.5109,0.0055263,3.2793e-05,1.8336,-35.238,-17.172,1.2959,-0.65614,0,0.33,0.28883,-0.19972
46.822,93.537,31.252,-0.35476,1.6626,0.0055187,3.2893e-05,1.624,-34.895,-55.637,1.0174,-3.3684,0,0.33,0.29186,-0.19974
44.074,2.1344,31.229,-0.35277,1.8177,0.0055127,7.4743e-05,1.3821,-34.478,-18.513,0.097175,-1.3965,0,0.33,0.2949,-0.1982
42.612,58.416,31.232,-0.35144,1.8131,0.00551,7.2199e-05,1.3047,-34.542,-20.798,0.3225,-1.2892,0,0.33,0.29489,-0.19975
1066.9,-1120.2,31.123,1.3384,3.0818,0.0066074,0.00014621,21.152,-54.104,1.4129,10.352,-0.091558,0,0.33,0.19741,-0.14812
1074.5,-1125.5,31.162,1.4185,3.0589,0.0066768,0.00015818,22.045,-55.298,2.2654,9.9419,0.42759,0,0.33,0.19442,-0.1483
1097.7,-1149,31.199,1.5001,3.0352,0.0067639,0.00017259,23.156,-56.533,2.4755,9.4335,1.2144,0,0.33,0.19139,-0.14833
-2747.7,2458.2,31.987,0.0018554,-0.25971,0.20815,0.00018264,1157.9,-89.924,120.58,62.433,345.9,0,0.33,0.002926,-0.19971
-5378.3,2495,31.92,-0.064854,-0.081412,0.22051,0.00010026,1580.4,-89.959,114.57,41.532,678.56,0,0.33,0,-0.1997
715.01,-901.85,32.338,1.5554,0.28078,0.009933,0.00020355,47.597,-77.482,-4.5438,5.4915,-3.4841,0,0.33,0.096803,-0.20049
446.78,-563.98,32.371,1.5636,0.20462,0.01018,0.00020356,50.031,-78.291,4.2583,6.1296,-1.8734,0,0.33,0.093764,-0.20047
646.9,-783.8,32.301,1.5834,0.3744,0.0096749,0.00020834,45.264,-76.703,0.023173,5.8254,-4.2594,0,0.33,0.099832,-0.20051
637.37,-786.97,31.701,0.89504,1.7479,0.0057888,3.4244e-05,6.6918,-52.173,-13.209,4.0993,-0.46444,0,0.33,0.1943,-0.20092
737.23,-855.14,31.727,0.96641,1.6859,0.0058089,3.1503e-05,7.0822,-52.979,8.4903,3.0984,-0.78973,0,0.33,0.19126,-0.20092
304.34,-348.89,31.677,0.86874,1.8335,0.005767,4.9276e-05,6.112,-51.444,-2.927,4.7117,1.0704,0,0.33,0.19734,-0.20093
47.451,210.83,31.256,-0.34364,1.644,0.0055159,3.1244e-05,1.511,-34.955,-61.934,1.2125,-3.8427,0,0.33,0.29186,-0.20129
198.78,-106.3,31.278,-0.30762,1.4763,0.0055237,3.2913e-05,1.7217,-35.298,-20.917,1.9425,-0.98919,0,0.33,0.28882,-0.20128
41.636,100.48,31.235,-0.34857,1.8086,0.0055077,7.3069e-05,1.2421,-34.599,-23.396,-0.0089095,-1.3855,0,0.33,0.29489,-0.2013
335.99,1015.6,32.299,0.77159,-0.52406,0.44374,0.0010459,411.62,-87.765,-14.6,97.116,28.857,0,0.33,0.045293,-0.19849
459.86,1804.8,32.134,0.76705,-0.5352,0.8177,0.0014127,562.88,-88.497,-15.435,151.75,43.01,0,0.33,0.04529,-0.19694
442.58,460.01,32.366,0.82565,-0.47803,0.31693,0.00089457,342.74,-87.303,-8.5946,73.162,22.45,0,0.33,0.048338,-0.19855
510.33,1195.4,32.246,0.83167,-0.49522,0.59913,0.0012145,477.84,-88.048,-9.8102,119.42,35.195,0,0.33,0.048338,-0.197
303.22,688.42,32.329,0.90803,-0.46112,0.42546,0.0010352,397.27,-87.59,-4.55,90.521,26.925,0,0.33,0.051367,-0.19704
216.73,54.043,32.412,0.90059,-0.43757,0.22128,0.00075953,281.75,-86.837,-2.4351,53.331,16.092,0,0.33,0.051367,-0.19859
757.38,-760.46,31.947,2.055,1.6052,0.0080791,0.00024133,33.037,-71.688,-2.5574,11.087,2.9423,0,0.33,0.14539,-0.17287
746.97,-754.09,31.955,2.0229,1.5816,0.0079475,0.00023714,31.854,-71.278,-1.3653,11.083,2.9108,0,0.33,0.14539,-0.17441
744.76,-754.08,31.974,2.0888,1.5326,0.0083918,0.00023618,35.563,-72.894,-3.5576,11.05,4.4956,0,0.33,0.14233,-0.17283
721.95,-736.51,31.981,2.0563,1.5109,0.0082372,0.00024064,34.193,-72.459,-2.717,11.192,4.5617,0,0.33,0.14233,-0.17437
627.89,-651.56,31.512,1.2606,2.3577,0.0060661,6.7693e-05,11.7,-55.219,2.4425,9.1442,0.07345,0,0.33,0.19138,-0.17304
629.57,-648.7,31.481,1.2012,2.3762,0.0060292,6.3998e-05,11.111,-54.256,2.5678,9.107,-0.6659,0,0.33,0.19442,-0.17305
597.16,-619.17,31.526,1.2472,2.3209,0.0060387,6.4238e-05,11.149,-55.11,1.5474,9.5634,-0.015402,0,0.33,0.19138,-0.17458
599.6,-617.74,31.495,1.1891,2.3392,0.0060043,6.0913e-05,10.597,-54.163,1.7545,9.6104,-0.69798,0,0.33,0.19442,-0.17459
783.2,-784.18,31.916,2.0161,1.6734,0.0078154,0.00023197,30.877,-70.486,-1.4461,10.972,1.3331,0,0.33,0.14847,-0.17293
781.41,-783.66,31.924,1.984,1.6479,0.0077019,0.00021868,29.829,-70.101,-0.034738,10.88,1.282,0,0.33,0.14847,-0.17447
543.08,-673.95,32.103,1.616,1.1811,0.0067488,9.8981e-05,18.946,-66.07,5.7474,8.8969,3.3164,0,0.33,0.14244,-0.199
452.04,-490.31,32.098,1.6453,1.2045,0.0067885,0.00011558,19.261,-66.454,0.029019,11.096,3.3749,0,0.33,0.14239,-0.19761
711.79,-847.47,32.083,1.5687,1.2433,0.0066449,7.9616e-05,18.026,-65.173,3.5587,8.3473,2.0338,0,0.33,0.14549,-0.19907
579.72,-622.66,32.078,1.6059,1.2625,0.0066797,9.3667e-05,18.275,-65.55,0.6385,10.668,2.0861,0,0.33,0.14543,-0.19765
742.51,-752.89,31.963,1.9895,1.5579,0.0078222,0.00022623,30.721,-70.872,-0.030328,10.992,2.8075,0,0.33,0.1454,-0.17596
711.61,-731.46,31.988,2.023,1.4892,0.008093,0.00023975,32.926,-72.03,-1.4917,11.225,4.5401,0,0.33,0.14233,-0.17592
572.51,-590.46,31.511,1.1782,2.3029,0.0059823,5.8205e-05,10.138,-54.066,1.2079,10.344,-0.67471,0,0.33,0.19442,-0.17614
569.24,-590.5,31.541,1.2352,2.2849,0.0060145,6.1242e-05,10.657,-54.998,0.90923,10.234,-0.044178,0,0.33,0.19138,-0.17613
451.05,-467.42,32.054,1.5831,1.3259,0.006587,0.00010202,17.288,-64.664,2.7759,10.423,1.2664,0,0.33,0.14849,-0.19769
481.27,-536.16,32.059,1.5483,1.3133,0.0065556,9.3822e-05,17.04,-64.294,5.6666,8.4817,1.3074,0,0.33,0.14853,-0.19911
777.15,-779.79,31.932,1.9507,1.6222,0.0075914,0.00020443,28.781,-69.719,1.2139,10.725,1.1736,0,0.33,0.14847,-0.17601
589.62,-613.67,31.463,1.1306,2.3551,0.0059767,5.8462e-05,10.153,-53.235,1.3362,9.7503,-0.6269,0,0.33,0.19746,-0.1746
619.68,-644.4,31.448,1.1413,2.3924,0.0059996,6.1121e-05,10.639,-53.314,2.0584,9.177,-0.66294,0,0.33,0.19746,-0.17306
443.87,-535.44,31.348,0.34037,2.4598,0.0056477,3.7007e-05,4.2241,-42.06,-1.4588,9.8093,1.6003,0,0.33,0.24012,-0.17472
457.79,-553.07,31.328,0.3338,2.4961,0.0056558,3.6597e-05,4.4366,-41.987,-1.3464,9.3476,1.6553,0,0.33,0.24012,-0.17318
471.3,-547.18,31.329,0.28479,2.4523,0.0056429,3.6576e-05,4.1553,-41.391,-2.4863,9.7459,-0.80286,0,0.33,0.24317,-0.17472
487.08,-566.42,31.309,0.27724,2.4885,0.0056506,3.613e-05,4.3626,-41.311,-2.3693,9.2879,-0.75078,0,0.33,0.24317,-0.17318
562.37,-586.75,31.479,1.1209,2.3186,0.0059564,5.6039e-05,9.7185,-53.153,0.86866,10.529,-0.54528,0,0.33,0.19746,-0.17615
465.98,-548.77,31.543,0.32035,1.9226,0.005576,3.5418e-05,2.6443,-42.628,4.4381,1.6767,-0.28466,0,0.33,0.23993,-0.19828
384.72,-419.96,31.515,0.2617,1.954,0.0055708,4.3181e-05,2.5269,-42.045,-9.3423,0.091413,-4.378,0,0.33,0.24297,-0.1983
445.79,-527.94,31.548,0.31533,1.8837,0.0055731,3.5111e-05,2.5672,-42.643,2.3705,1.6673,-0.76753,0,0.33,0.23992,-0.19984
369.19,-418.63,31.517,0.25793,1.926,0.0055671,4.1556e-05,2.4287,-42.05,-14.415,-0.22942,-5.2445,0,0.33,0.24297,-0.19984
430.05,-518.03,31.368,0.34694,2.4242,0.0056405,3.7469e-05,4.0322,-42.127,-1.4086,10.162,1.5586,0,0.33,0.24012,-0.17627
455.57,-528.14,31.35,0.2923,2.4169,0.0056359,3.7078e-05,3.9684,-41.466,-2.4584,10.093,-0.84881,0,0.33,0.24317,-0.17627
231.61,-217.49,31.48,0.2383,2,0.0055634,5.5308e-05,2.2994,-41.485,-2.3318,-0.7183,-5.8486,0,0.33,0.24606,-0.19827
219.89,-200.75,31.48,0.23442,1.9813,0.0055595,5.5021e-05,2.2075,-41.495,-2.3694,-1.1584,-5.8171,0,0.33,0.24607,-0.1998
