"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
3148.3,-3825.9,29.551,0.28329,5.0746,0.011738,0.00015218,77.159,-21.24,-2.9997,14.19,9.5271,0,0.33,0.22489,-0.09968
3240.1,-3933.9,29.49,0.26184,5.1573,0.012448,0.00015046,82.757,-20.505,-1.9434,13.739,10.078,0,0.33,0.22488,-0.098106
3051.2,-3700.9,29.542,0.12909,5.0348,0.011289,0.00015316,73.737,-19.804,-0.28778,13.554,9.4042,0,0.33,0.22796,-0.099734
3137.4,-3808.5,29.481,0.1051,5.1163,0.011978,0.00015112,79.292,-19.034,1.0661,13.127,10.023,0,0.33,0.22794,-0.098132
3197.2,-3830.5,29.413,-0.071776,5.1361,0.012382,0.00015015,82.484,-16.841,6.5528,12.112,9.5574,0,0.33,0.23097,-0.096505
3104,-3713.5,29.474,-0.046261,5.0566,0.011589,0.00015184,76.351,-17.654,5.2445,12.425,8.8802,0,0.33,0.23099,-0.098116
3224.1,-3919.9,29.42,0.081887,5.1975,0.012784,0.00014972,85.406,-18.256,2.1643,12.945,10.648,0,0.33,0.22792,-0.096549
3337,-4059.1,29.43,0.24073,5.24,0.013278,0.00014934,88.93,-19.758,-0.96984,13.643,10.617,0,0.33,0.22487,-0.096551
3594.6,-4236.2,29.459,0.57277,5.3102,0.014075,0.00014933,94.273,-23.008,0.35374,14.854,9.1732,0,0.33,0.21878,-0.096568
3694.7,-4367.5,29.397,0.55572,5.3957,0.015102,0.00014891,101.43,-22.297,0.5212,15.056,9.4915,0,0.33,0.21878,-0.095021
3492.6,-4189.4,29.442,0.40566,5.2746,0.013737,0.00014922,92.067,-21.338,-0.63657,14.293,10.297,0,0.33,0.22182,-0.096566
3589.2,-4316.9,29.38,0.38684,5.3594,0.014754,0.00014889,99.097,-20.602,-0.2125,14.452,10.71,0,0.33,0.22182,-0.095021
3549.1,-4332.1,29.305,0.19884,5.4064,0.01543,0.00014926,103.37,-18.212,0.57914,14.119,11.754,0,0.33,0.22486,-0.093469
3440.7,-4192.8,29.368,0.21982,5.323,0.01426,0.0001489,95.776,-18.995,-0.094862,13.784,11.174,0,0.33,0.22487,-0.095007
3690.5,-4449.9,29.317,0.36792,5.4449,0.015967,0.00014935,106.9,-19.845,0.032154,14.848,11.133,0,0.33,0.22182,-0.093477
3296.2,-3955.8,29.353,-0.096725,5.2142,0.013302,0.00014922,89.156,-16.022,7.2794,11.952,10.267,0,0.33,0.23096,-0.094958
3321.5,-4043.2,29.359,0.058848,5.2779,0.013726,0.00014903,92.114,-17.466,3.0102,12.967,11.306,0,0.33,0.22791,-0.094996
3431.4,-4185,29.298,0.035604,5.3582,0.014841,0.00014914,99.505,-16.661,3.6516,13.22,12.023,0,0.33,0.22791,-0.093454
3346.6,-4061.7,29.281,-0.42763,5.1181,0.013691,0.00014886,91.971,-12.652,7.6698,10.735,11.651,0,0.33,0.23713,-0.093569
3483.2,-4237.5,29.221,-0.46079,5.1936,0.014923,0.00014954,99.78,-11.772,7.5219,11.059,11.976,0,0.33,0.23714,-0.092028
3056.9,-3904.2,29.298,-0.57437,5.0241,0.013517,0.00014897,90.737,-11.523,3.3781,10.723,16.403,0,0.33,0.24019,-0.093593
3197.8,-4078,29.238,-0.61053,5.099,0.014757,0.00014989,98.433,-10.621,3.0824,10.84,16.548,0,0.33,0.2402,-0.092042
3604.1,-4416.5,29.158,-0.49621,5.2706,0.01646,0.00015144,108.65,-10.856,8.0795,11.599,12.552,0,0.33,0.23715,-0.090462
3325.8,-4245.8,29.175,-0.64926,5.1755,0.016307,0.00015214,107.15,-9.6787,3.2374,11.069,16.769,0,0.33,0.24021,-0.090467
3856.2,-4759.1,29.023,-0.56879,5.428,0.020764,0.00016,129.66,-8.8946,8.7618,12.851,14.215,0,0.33,0.23723,-0.087263
3715.4,-4569.3,29.092,-0.53269,5.3491,0.018382,0.00015484,118.65,-9.8907,8.9405,12.053,13.389,0,0.33,0.2372,-0.088856
3979.3,-4843.2,29.026,-0.40397,5.5207,0.021148,0.00016005,132.01,-10.241,8.5434,14.856,11.796,0,0.33,0.2341,-0.087343
3859.4,-4663.7,29.096,-0.3709,5.4415,0.018719,0.0001549,120.78,-11.201,8.6382,13.762,10.778,0,0.33,0.23407,-0.088883
3701,-4495.1,29.168,-0.17671,5.4474,0.017214,0.00015188,113.29,-13.503,7.1992,13.895,12.012,0,0.33,0.23097,-0.090388
3851.3,-4701,29.101,-0.20673,5.5258,0.019177,0.00015534,123.37,-12.61,7.1869,15.296,12.518,0,0.33,0.23102,-0.088885
3747.1,-4496.1,29.162,-0.33792,5.3636,0.016786,0.00015157,110.71,-12.123,8.1394,12.784,9.972,0,0.33,0.23403,-0.0904
3482.2,-4117,29.285,-0.2767,5.2106,0.014005,0.00014904,93.972,-13.855,7.9526,11.157,8.9468,0,0.33,0.23402,-0.093408
3621.1,-4299.2,29.225,-0.30629,5.2867,0.015249,0.00014972,101.83,-13.001,7.8125,11.747,9.4183,0,0.33,0.23401,-0.091904
3557.3,-4288.2,29.232,-0.14829,5.3694,0.015652,0.00014993,104.39,-14.361,7.1947,12.703,11.557,0,0.33,0.23095,-0.091907
4029,-4831.5,29.199,0.50322,5.6569,0.01958,0.00015314,127.81,-20.033,0.52639,17.647,10.716,0,0.33,0.21878,-0.090378
3904,-4763,29.184,0.32803,5.6176,0.019199,0.00015348,125.04,-18.262,0.32334,16.719,12.081,0,0.33,0.22182,-0.090389
3913.5,-4658.3,29.267,0.52136,5.569,0.017787,0.00015058,118.1,-20.812,0.57107,16.406,10.267,0,0.33,0.21878,-0.091929
3796.3,-4596,29.251,0.34851,5.531,0.017423,0.00015079,115.52,-19.066,0.12423,15.546,11.588,0,0.33,0.22182,-0.091932
3661.8,-4482.8,29.241,0.17731,5.4903,0.016832,0.00015058,111.76,-17.408,1.0796,14.719,12.342,0,0.33,0.22486,-0.09193
3774.8,-4651.9,29.174,0.15457,5.5745,0.018534,0.0001531,121.01,-16.581,1.7684,15.837,12.931,0,0.33,0.22487,-0.090395
4047.1,-5025.9,29.029,0.1062,5.7439,0.023417,0.00016347,143.09,-14.819,2.2222,19.362,14.001,0,0.33,0.22495,-0.087336
4006.4,-4959.1,29.028,-0.067575,5.6824,0.022419,0.00016195,138.29,-13.195,5.0114,18.209,14.609,0,0.33,0.228,-0.087352
