"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
1078.6,-3219.3,8.4739,-18.088,0.23241,15.868,0.014049,1128,-79.37,-201.45,-46.102,-20.409,0,0.33,0.063134,0.0039876
-2677.1,3537.2,8.2298,-17.017,0.4144,19.083,0.016277,1171.5,-80.785,-327.01,-66.894,-24.594,0,0.33,0.063133,0.0079741
9159.1,-20787,7.6612,-16.778,-0.25394,15.252,0.013977,1081.6,-60.522,-98.336,-24.239,25.846,0,0.33,0.047341,0
7061.4,-33436,3.9916,-5.2606,7.4214,23.126,0.01427,1323.8,-8.3007,-337.08,-75.513,-41.477,0,0.33,0.015705,0.023922
-2.0623e+05,-1.1164e+05,3.6668,-3.147,9.0014,19.637,0.0073857,3012.6,15.849,391.9,-48.706,1662.7,0,0.33,0.0078508,0.023922
5384.6,-18877,3.6617,-4.7319,8.2206,23.271,0.01593,1296,-19.877,-352.72,-77.927,-34.664,0,0.33,0.015705,0.027909
-1.7833e+05,-93608,3.417,-2.8355,9.991,19.673,0.0080907,3003.2,2.3444,448.92,-49.981,1682.2,0,0.33,0.0078507,0.027909
-1.5185e+05,-78743,3.1657,-2.5471,10.846,19.643,0.008654,2992.6,-11.1,497.72,-50.809,1702.1,0,0.33,0.0078506,0.031895
-3.13e+05,-1.3902e+05,3.1405,-1.7747,11.828,16.232,0.0013427,4572,0.27566,1335.3,-35.721,3421.8,0,0.33,0,0.031895
-3.6602e+05,-1.5634e+05,3.3484,-1.9692,10.874,16.242,0.0013646,4573.3,14.74,1222.2,-35.021,3390.7,0,0.33,0,0.027909
2786.5,-7656.5,3.3286,-4.2375,8.9002,23.299,0.01744,1269.8,-31.367,-364.93,-79.443,-26.941,0,0.33,0.015705,0.031895
-4.2263e+05,-1.7692e+05,3.554,-2.1823,9.7803,16.22,0.0013847,4570.2,29.24,1090.9,-34.04,3359.9,0,0.33,0,0.023922
-26670,28055,5.8892,-10.777,2.0916,24.351,0.02251,1082.3,-79.875,-403.49,-125.75,-65.299,0,0.33,0.047337,0.023922
-31893,32031,5.3886,-9.6712,2.2367,24.674,0.023684,1042.3,-85.127,-400.79,-143.62,-69.748,0,0.33,0.047337,0.027908
-26418,26631,6.4889,-11.31,1.2618,25.313,0.022958,1103.1,-87.812,-399.27,-119.21,-71.713,0,0.33,0.055235,0.023921
-30607,29642,6.0059,-10.131,1.288,25.644,0.024156,1062.1,-92.07,-392.53,-142.63,-80.853,0,0.33,0.055234,0.027908
-29374,25973,6.1681,-9.2146,0.41531,26.768,0.025674,1043.2,-98.684,-368.97,-159.43,-101.2,0,0.33,0.06313,0.031895
-26703,24807,6.7102,-10.358,0.52977,26.587,0.024423,1089.2,-95.252,-383.58,-131.16,-90.189,0,0.33,0.06313,0.027908
-33780,31373,5.4344,-9.0412,1.2661,25.827,0.025414,1016.8,-96.315,-382.13,-164.09,-86.147,0,0.33,0.055233,0.031895
-23411,22688,7.1358,-11.595,0.60048,26.302,0.02327,1130.8,-91.843,-394.6,-102.46,-75.546,0,0.33,0.063131,0.023921
-35745,34430,4.8249,-8.6475,2.3278,24.832,0.024884,998.45,-90.334,-394.61,-159.15,-70.673,0,0.33,0.047336,0.031895
-1985.5,3471.6,8.9564,-17.609,0.11186,19.769,0.01608,1227.8,-84.408,-362.42,-66.828,-14.809,0,0.33,0.078954,0.0079741
384.06,-208.83,9.2371,-18.868,0.080321,15.539,0.013273,1167.4,-83.426,-230.01,-54.485,-14.229,0,0.33,0.078956,0.0039877
-3059.4,4145.6,8.6161,-17.395,0.23939,19.443,0.016196,1199.2,-83.982,-344.1,-65.804,-19.667,0,0.33,0.071032,0.0079741
507.64,-1009.5,8.8728,-18.559,0.14459,15.73,0.013677,1147.8,-82.8,-215.36,-49.271,-16.911,0,0.33,0.071033,0.0039877
1534.1,-3496,8.9943,-19.036,-0.080831,13.999,0.012559,1114.9,-82.344,-124.42,-31.378,16.316,0,0.33,0.071038,0
1426.8,-2073,9.3767,-19.388,-0.048269,13.552,0.012015,1128.2,-83.03,-134.11,-35.949,14.618,0,0.33,0.078964,0
700.92,290.28,9.9036,-17.711,-0.074883,19.654,0.014869,1317.8,-71.65,-443.54,-120.69,-1.5963,0,0.33,0.11082,0.0079741
519.34,643.42,10.084,-17.722,-0.098623,19.069,0.014299,1329,-67.471,-461.15,-148.85,-2.0984,0,0.33,0.11874,0.0079741
848.52,-397.46,10.467,-19.311,-0.026019,13.651,0.011098,1220.1,-70.968,-286.92,-107.05,-13.195,0,0.33,0.11082,0.0039877
484.33,-308.93,10.762,-19.372,-0.04427,12.89,0.010426,1224.8,-66.717,-296.11,-126.91,-15.541,0,0.33,0.11874,0.0039877
803.33,-1208.3,11.464,-20.124,0.038639,9.2601,0.0080299,1153,-62.071,-176.13,-96.299,25.158,0,0.33,0.12666,0
1008.3,-1034.2,11.099,-20.06,0.022227,10.054,0.0087107,1154.1,-66.4,-174.22,-84.709,21.506,0,0.33,0.11874,0
-102.45,-232.64,11.078,-19.432,-0.071438,12.054,0.0097247,1226.8,-62.425,-301.24,-147.09,-19.141,0,0.33,0.12666,0.0039878
342.08,1345.8,10.281,-17.756,-0.1388,18.236,0.013603,1335.3,-63.304,-474.18,-180.55,-5.1202,0,0.33,0.12666,0.0079742
1148.3,-1011.7,10.755,-19.982,0.010508,10.861,0.00941,1154.1,-70.669,-169.52,-72.612,18.547,0,0.33,0.11083,0
-10683,11054,8.4879,-11.587,-0.28358,28.178,0.023418,1203.8,-90.736,-384.41,-35.219,-71.638,0,0.33,0.078952,0.023921
-18515,17187,7.8107,-11.672,0.089187,27.253,0.023416,1164.4,-92.563,-389.54,-74.61,-75.796,0,0.33,0.07103,0.023921
-14351,11603,8.3223,-10.26,-0.48268,28.099,0.024193,1162.1,-92.702,-363.66,-67.884,-98.394,0,0.33,0.078951,0.027908
-21019,18455,7.4889,-10.387,-0.056132,27.407,0.024436,1122.3,-95.21,-373.63,-106.92,-96.415,0,0.33,0.071029,0.027908
-23284,19095,7.026,-9.2028,-0.24086,27.511,0.025592,1075.7,-97.932,-354.57,-141.92,-114.44,0,0.33,0.071029,0.031895
-16558,11825,8,-9.0444,-0.71698,27.993,0.025125,1115.1,-94.821,-340.48,-108.79,-124.39,0,0.33,0.07895,0.031895
1590.8,-3568.8,10.286,-10.24,-0.76171,33.242,0.023911,1390.4,-73.958,-413.43,175.21,0.34735,0,0.33,0.11082,0.023921
4395.3,-5021.4,11.077,-8.68,-1.0612,32.301,0.023386,1381.2,-74.193,-367.9,209.53,-27.222,0,0.33,0.11082,0.027908
-1487.4,-2574.4,10.271,-9.8189,-0.75067,34.672,0.024333,1425,-70.187,-443.4,207.59,24.462,0,0.33,0.11874,0.023921
610.12,-4436.4,11.233,-8.139,-1.0513,34.179,0.023853,1432.9,-70.353,-392.6,275.05,7.244,0,0.33,0.11874,0.027908
-1879.2,-3428.7,12.456,-6.0303,-1.3829,34.018,0.022897,1485.8,-67.213,-368.56,386.25,20.81,0,0.33,0.12665,0.031894
-5249.6,-954.95,11.076,-7.6335,-1.037,35.886,0.024439,1468.6,-67.254,-430.59,314.49,39.329,0,0.33,0.12665,0.027908
5617.2,-6346.8,12.41,-6.6768,-1.399,31.784,0.022276,1426.5,-70.359,-336.27,305.83,-27.518,0,0.33,0.11874,0.031894
-5438.3,900.9,10.049,-9.4582,-0.7487,35.593,0.024638,1444.6,-66.953,-482.07,216.63,43.541,0,0.33,0.12665,0.023921
7621.8,-6218.5,11.936,-7.3151,-1.3969,30,0.022143,1354.8,-74.455,-320.74,203.01,-71.513,0,0.33,0.11082,0.031895
-3950.6,2600.7,10.844,-17.847,-0.30384,15.972,0.0119,1336,-54.248,-480.55,-242.95,-17.923,0,0.33,0.14251,0.0079742
-1338,-938.46,11.852,-19.49,-0.16762,10.3,0.0083154,1225.2,-52.994,-297.44,-181.05,-28.66,0,0.33,0.14251,0.003988
-972.1,2133.4,10.524,-17.805,-0.20507,17.187,0.012797,1337.3,-59.002,-480.98,-212.99,-10.517,0,0.33,0.13457,0.0079742
-753.9,-352.4,11.436,-19.478,-0.11168,11.18,0.0090156,1226.7,-57.949,-301.74,-165.74,-23.636,0,0.33,0.13457,0.0039878
578.71,-1681.1,11.863,-20.163,0.061648,8.5105,0.0073877,1151.8,-57.539,-175.06,-106.28,29.085,0,0.33,0.13458,0
393.57,-2672.4,12.311,-20.154,0.092442,7.825,0.0067964,1151.3,-52.516,-171.12,-113.72,32.938,0,0.33,0.14251,0
-6502.9,-6791.1,13.297,-17.341,-0.94821,10.363,0.0079057,1304.2,-25.159,-404.04,-284.63,-59.016,0,0.33,0.17443,0.0079746
-5496.8,-12057,14.245,-16.899,-1.1256,8.9997,0.0069548,1287.8,-14.521,-368.2,-268.86,-65.927,0,0.33,0.1825,0.0079745
-1210.3,-13391,14.357,-18.634,-0.50746,7.0592,0.0057936,1210.8,-23.327,-236.1,-184.17,-50.981,0,0.33,0.17443,0.0039896
-281.99,-18901,15.222,-18.063,-0.59892,6.3804,0.0052774,1203.4,-12.641,-211.96,-169.19,-53.533,0,0.33,0.18249,0.0039879
4108.7,-28237,16.437,-17.757,0.36827,5.0166,0.0043332,1157.8,-0.87382,-100.52,-82.875,49.582,0,0.33,0.19061,0
2086.2,-22064,15.608,-18.503,0.32277,5.3719,0.0046399,1157.9,-11.912,-116.2,-96.105,48.084,0,0.33,0.18249,0
1108.5,-24972,16.105,-17.377,-0.68269,5.7485,0.0047934,1195.5,-1.6266,-185.84,-149.52,-56.364,0,0.33,0.19061,0.0039877
-4435.7,-18057,15.238,-16.353,-1.2887,7.7268,0.006055,1270.6,-3.5311,-328.99,-245.29,-71.994,0,0.33,0.19062,0.0079741
963,-16378,14.789,-19.13,0.27404,5.7496,0.0049688,1157.3,-22.619,-130.72,-106.72,47.33,0,0.33,0.17444,0
-16755,13252,9.2721,-9.0953,-0.93077,34.58,0.024132,1432.4,-60.894,-560.86,159.01,50.258,0,0.33,0.1425,0.023921
-10893,6607.9,9.6808,-9.2089,-0.79555,35.619,0.024621,1446.4,-64.029,-523.91,199.35,53.103,0,0.33,0.13457,0.023921
-19212,13637,10.069,-7.0117,-1.1753,36.412,0.0248,1468.1,-61.938,-522.97,287.85,67.402,0,0.33,0.1425,0.027908
-11632,5517,10.647,-7.239,-1.0613,36.79,0.02485,1480.7,-64.647,-477.36,318.54,61.443,0,0.33,0.13457,0.027908
-11380,3169.8,12.066,-5.4723,-1.3871,35.925,0.02368,1517.7,-64.797,-416.34,422.77,61.396,0,0.33,0.13457,0.031894
-20072,12303,11.363,-5.101,-1.4714,36.586,0.02417,1514.3,-62.443,-468.99,408.27,81.675,0,0.33,0.1425,0.031894
-15759,17475,9.5159,-9.4479,-2.3312,24.287,0.017843,1361,-36.544,-574.26,-63.286,-70.212,0,0.33,0.17445,0.023921
666.22,20780,9.3814,-7.3907,-2.6219,26.268,0.019256,1363.7,-38.971,-562.4,39.026,-60.459,0,0.33,0.17445,0.027908
-22207,13079,10.451,-9.5636,-2.7684,21.196,0.015617,1357.2,-26.66,-542.03,-93.566,-108.89,0,0.33,0.18255,0.023922
-6489.1,16670,10.189,-7.6282,-3.0897,23.158,0.01704,1358.9,-29.448,-534,-6.4405,-109.66,0,0.33,0.18255,0.027908
8157.5,14597,11.344,-6.144,-3.8657,21.598,0.015676,1377.8,-21.985,-480.03,47.694,-159.27,0,0.33,0.19061,0.031895
-8702.5,12016,11.347,-7.864,-3.555,20.072,0.014701,1365.3,-19.291,-496.54,-29.132,-152.88,0,0.33,0.19061,0.027908
10270,18402,10.279,-5.7663,-3.3759,24.532,0.017909,1369.6,-31.717,-511.88,85.077,-103.74,0,0.33,0.18255,0.031895
5857.8,22091,9.6577,-5.4199,-2.8958,27.555,0.019975,1378.8,-40.827,-535.05,145.15,-44.526,0,0.33,0.17445,0.031894
-20386,7895.6,11.647,-9.6469,-3.1943,18.101,0.013316,1359.1,-16.164,-501.52,-102.66,-140.68,0,0.33,0.19061,0.023921
130.58,5887.1,2.6676,-3.3671,9.9483,23.163,0.019189,1223.2,-52.982,-380.98,-80.845,-9.5515,0,0.33,0.015704,0.039869
598.72,391.29,2.9964,-3.7819,9.4717,23.251,0.018524,1245.4,-42.479,-374.05,-80.364,-18.464,0,0.33,0.015705,0.035882
-1.0236e+05,-56867,2.6683,-2.0328,12.202,19.441,0.0089037,2967.3,-36.532,575.07,-51.908,1742.2,0,0.33,0.0078503,0.039869
-1.263e+05,-66796,2.9156,-2.2794,11.579,19.559,0.0088774,2980.6,-24.156,539.38,-51.445,1722.2,0,0.33,0.0078504,0.035882
-2.6341e+05,-1.2444e+05,2.9333,-1.5937,12.654,16.189,0.0013195,4566,-13.789,1431.9,-36.19,3452.8,0,0.33,0,0.035882
-2.1797e+05,-1.1127e+05,2.7292,-1.425,13.362,16.117,0.0012957,4556,-27.147,1514.6,-36.463,3483.7,0,0.33,0,0.039869
-39482,35447,3.5802,-6.8686,2.3722,24.961,0.027449,909.82,-100.1,-378.68,-174.39,-64.138,0,0.33,0.047335,0.039868
-36921,31761,4.1149,-7.1551,1.1,26.058,0.028183,925.07,-104.33,-358.3,-186.08,-86.618,0,0.33,0.055232,0.039868
-38233,35459,4.2144,-7.7133,2.3705,24.914,0.026143,953.5,-95.356,-386.69,-169.76,-68.447,0,0.33,0.047335,0.035882
-35868,31979,4.7935,-8.0491,1.201,25.958,0.026768,970.25,-100.43,-370.03,-179.19,-87.662,0,0.33,0.055233,0.035882
-31235,26247,5.5288,-8.1761,0.26126,26.958,0.027067,996.57,-102.05,-352.41,-180.15,-107.83,0,0.33,0.063129,0.035881
-32263,25912,4.8336,-7.2438,0.074581,27.155,0.028537,952.09,-105.26,-336.53,-190.09,-111.12,0,0.33,0.063128,0.039868
11100,13863,1.4265,-2.0712,11.119,22.889,0.020193,1163.3,-86.789,-397.05,-77.669,26.188,0,0.33,0.015702,0.055846
-33347,-30414,1.7423,-1.2529,13.796,18.939,0.0088812,2918.2,-76.504,668.11,-51.125,1817.8,0,0.33,0.0078487,0.055832
10390,14377,1.146,-1.8177,11.266,22.881,0.020237,1155.4,-93.153,-399.99,-75.775,34.092,0,0.33,0.015701,0.059845
-20793,-26443,1.5334,-1.1014,14.016,18.837,0.008857,2909.2,-84.019,681.73,-50.383,1836.6,0,0.33,0.0078475,0.059826
-9590.6,-23187,1.3352,-0.96248,14.178,18.746,0.0088283,2900.8,-90.583,691.52,-49.536,1853.9,0,0.33,0.0078487,0.06381
-29467,-56759,1.6488,-0.69026,15.668,15.481,0.0011724,4466.4,-85.883,1785.2,-35.46,3653,0,0.33,0,0.063791
-52724,-62671,1.8074,-0.78449,15.468,15.592,0.0011899,4482.1,-78.722,1761.5,-35.848,3626.5,0,0.33,0,0.059804
9627.6,14623,0.87977,-1.5838,11.366,22.893,0.020199,1150.1,-98.7,-402.52,-73.762,41.415,0,0.33,0.015705,0.063835
-78654,-69654,1.9754,-0.88799,15.204,15.704,0.0012093,4496.8,-70.539,1729.4,-36.165,3597.5,0,0.33,0,0.055817
-37332,31665,1.2038,-4.21,2.1088,25.014,0.032341,773.6,-115.67,-362.2,-148.58,-45.499,0,0.33,0.047305,0.055894
-36199,30825,0.70968,-3.6705,1.9996,25.035,0.033315,751.58,-118.64,-362.59,-136.79,-43.166,0,0.33,0.04728,0.059936
-35239,28673,1.5685,-4.3445,0.48034,26.011,0.033081,786.31,-117.23,-335.38,-154.28,-79.558,0,0.33,0.055199,0.055903
-34363,28169,1.0538,-3.7715,0.29621,25.927,0.033888,765.09,-119.74,-335.83,-139.63,-79.894,0,0.33,0.055174,0.059942
-30541,23627,1.2657,-3.1544,-1.3839,27.067,0.034162,792.58,-120.08,-306.64,-118.84,-126.31,0,0.33,0.063065,0.06396
-30938,23523,1.7027,-3.7204,-1.1214,27.186,0.033794,804.63,-118.23,-304.6,-135.99,-121.47,0,0.33,0.063066,0.059955
-33673,27957,0.60446,-3.2312,0.1032,25.859,0.034531,748.92,-121.9,-338.37,-124.96,-81.489,0,0.33,0.05517,0.063951
-31501,23702,2.2157,-4.319,-0.86415,27.303,0.033209,822.27,-116.07,-304.92,-153.18,-117.94,0,0.33,0.063092,0.055911
-35171,30216,0.26834,-3.1636,1.8764,25.084,0.034172,734.1,-121.2,-364.43,-124.69,-42.113,0,0.33,0.047256,0.063967
-20308,11540,6.9106,-6.9582,-1.2813,28.535,0.027771,1026.7,-99.346,-294.23,-168.24,-162.02,0,0.33,0.078948,0.039868
-18607,11774,7.5151,-7.9447,-0.98436,28.133,0.026357,1068.4,-97.057,-316.59,-145.19,-146.02,0,0.33,0.078949,0.035881
-26357,18809,5.7605,-7.1673,-0.71335,28.044,0.028441,986.7,-103.35,-314.41,-184.64,-136.87,0,0.33,0.071027,0.039868
-25111,19143,6.4344,-8.1296,-0.46169,27.728,0.026955,1029.4,-100.67,-333.94,-169.65,-127.88,0,0.33,0.071028,0.035881
7873.3,-6474.6,13.156,-5.1547,-2.1246,25.157,0.020141,1251.6,-75.965,-239.94,74.679,-197.05,0,0.33,0.11083,0.039867
13004,-8391.3,14.664,-4.4532,-2.1776,24.218,0.018095,1339.6,-70.841,-232.01,215.11,-157.63,0,0.33,0.11875,0.039867
10238,-6828.2,12.684,-6.1467,-1.756,27.23,0.020818,1308.8,-74.977,-276.61,153.04,-131.01,0,0.33,0.11082,0.035881
10342,-7900,13.627,-5.4509,-1.7804,28.043,0.020082,1396.1,-70.418,-280.14,286.47,-83.247,0,0.33,0.11874,0.035881
4981.6,-6203.9,14.063,-4.6888,-1.7775,30,0.020228,1482.3,-66.946,-300.47,414.94,-18.048,0,0.33,0.12666,0.035881
11235,-8553.3,15.69,-3.6293,-2.2053,24.639,0.017058,1443,-66.754,-235.06,381.46,-82.544,0,0.33,0.12667,0.039867
-22086,10722,4.4778,-3.8689,-2.6612,30.221,0.032478,930.8,-107.71,-239.12,-132.24,-197.29,0,0.33,0.079036,0.055861
-26821,17367,3.1784,-4.1524,-1.9122,28.78,0.032939,873.94,-112.75,-271.98,-145.39,-158.16,0,0.33,0.070999,0.05591
-21897,10831,4.0422,-3.2375,-3.0239,30.395,0.032881,924.63,-109.38,-233.46,-109.43,-206.18,0,0.33,0.079041,0.059869
-26529,17411,2.6926,-3.5341,-2.2336,28.746,0.033355,862.04,-114.64,-269.87,-125.41,-164.89,0,0.33,0.070972,0.059951
-26314,17713,2.2924,-2.9478,-2.555,28.685,0.033512,856.26,-116.27,-270.11,-105.37,-172.82,0,0.33,0.07097,0.063958
-21723,11167,3.6981,-2.6391,-3.3829,30.508,0.032992,924.9,-110.84,-230.07,-85.89,-216.42,0,0.33,0.079032,0.063879
-14204,-490.36,12.653,-2.2211,-3.5158,28.156,0.024713,1141.6,-83.39,-157.32,-54.234,-346.34,0,0.33,0.11079,0.055933
-13234,526.42,12.48,-1.6392,-3.8262,29.528,0.025921,1141.2,-85.267,-141.11,-30.868,-360.12,0,0.33,0.11077,0.059959
