"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
649.08,-648.06,29.504,-0.6316,3.6595,0.043128,0.00062126,64.509,-11.379,-0.61083,11.864,6.2045,0,0.495,0.17459,-0.10809
640.84,-669.64,29.496,-0.56662,3.839,0.15024,0.0012472,109.45,-13.838,0.67135,15.165,16.191,0,0.495,0.16662,-0.10808
637.88,-636.7,29.433,-0.71787,3.7012,0.055528,0.00068714,74.847,-10.933,-0.96647,12.353,7.416,0,0.495,0.17458,-0.1041
597.56,-629.46,29.412,-0.65955,3.8776,0.19528,0.0013906,127.66,-13.472,0.23397,16.437,19.927,0,0.495,0.16661,-0.10409
526.41,-684.87,29.486,-0.41418,3.9994,0.40546,0.0020787,177.24,-16.689,3.0096,22.861,33.055,0,0.495,0.1586,-0.11208
435.55,-608.91,29.374,-0.51583,4.0415,0.52939,0.0023392,206.34,-16.45,2.7997,26.069,40.681,0,0.495,0.1586,-0.10809
666.89,-694.1,29.572,-0.47396,3.796,0.11318,0.0011053,93.031,-14.146,1.0197,13.684,13.094,0,0.495,0.16662,-0.11208
356.81,-503.03,29.248,-0.61794,4.0772,0.67585,0.002611,236.84,-16.145,2.2061,29.047,49.273,0,0.495,0.15859,-0.1041
649.88,-651.93,29.57,-0.54576,3.6151,0.03303,0.00055617,55.461,-11.773,-0.27813,10.996,5.2049,0,0.495,0.17459,-0.11209
619.04,-619.19,29.359,-0.80413,3.7397,0.070229,0.00075048,86.48,-10.432,-1.3503,12.773,8.8778,0,0.495,0.17458,-0.10011
596.98,-610.74,29.336,-0.86495,3.5894,0.023098,0.00037003,60.066,-8.1736,-2.4415,11.15,3.7787,0,0.495,0.18252,-0.10012
601.93,-613.38,29.407,-0.78234,3.5485,0.019051,0.00035332,52.075,-8.7288,-2.3499,10.956,3.3438,0,0.495,0.18252,-0.10411
602.46,-610.11,29.233,-1.0154,3.4919,0.013694,0.00024186,56.209,-5.4775,-2.7034,10.718,4.1308,0,0.495,0.19046,-0.096133
597.79,-602.69,29.306,-0.93486,3.4511,0.011937,0.00024604,48.229,-6.1307,-2.7845,10.62,3.8858,0,0.495,0.19046,-0.10012
590.37,-605.79,29.262,-0.94674,3.6284,0.02781,0.00038529,69.335,-7.5627,-2.5752,11.27,4.2758,0,0.495,0.18252,-0.096124
590.83,-595.13,29.377,-0.85385,3.4091,0.010531,0.00025171,41.685,-6.7305,-2.8118,10.37,3.6229,0,0.495,0.19046,-0.10412
595.41,-594.68,29.281,-0.88997,3.7752,0.087101,0.00080856,99.44,-9.8696,-1.8654,13.193,10.63,0,0.495,0.17458,-0.096116
549.04,-584.08,29.322,-0.75286,3.9116,0.24814,0.0015322,147.38,-13.044,-0.39243,17.757,24.307,0,0.495,0.1666,-0.10009
224.54,-256.05,28.955,-0.82479,4.1273,1.0279,0.0031674,299.01,-15.344,-0.50638,34.704,68.578,0,0.495,0.15858,-0.09612
492.06,-524.86,29.225,-0.84596,3.9409,0.30807,0.0016679,168.33,-12.557,-1.3491,19.087,29.282,0,0.495,0.16659,-0.0961
310.93,-392.43,29.108,-0.72077,4.106,0.84323,0.0028893,267.97,-15.781,1.1369,32.026,58.642,0,0.495,0.15859,-0.10011
601.4,-610.62,29.476,-0.69941,3.5053,0.015694,0.00033696,45.257,-9.2311,-2.1863,10.586,2.9423,0,0.495,0.18253,-0.1081
570.99,-575.65,29.508,-0.693,3.3195,0.0086605,0.00026997,32.099,-7.7847,-2.23,8.9478,2.9677,0,0.495,0.19046,-0.11211
596.46,-604.76,29.54,-0.61687,3.4609,0.013023,0.0003231,39.476,-9.6892,-1.8563,9.733,2.5575,0,0.495,0.18253,-0.11211
582.44,-585.87,29.445,-0.77298,3.3651,0.0094622,0.00025961,36.399,-7.2801,-2.6496,9.879,3.318,0,0.495,0.19046,-0.10811
-622.1,-705.13,28.988,-0.0077318,4.4358,2.314,0.0050115,432.06,-22.508,12.354,59.542,103.61,0,0.495,0.1427,-0.12007
-957.19,-494.79,28.734,-0.1327,4.5021,2.8772,0.0056549,479.55,-22.619,12.085,66.762,119.13,0,0.495,0.14271,-0.11606
307.54,-844.31,29.494,-0.11547,4.1359,0.77882,0.0028853,246.58,-19.78,6.772,31.174,51.008,0,0.495,0.15064,-0.12007
93.28,-757.08,29.351,-0.22548,4.1964,1.0209,0.0032775,286.26,-19.798,6.9008,36.802,62.174,0,0.495,0.15064,-0.11607
622.97,-752.21,29.584,-0.31343,3.9509,0.30384,0.0018322,150.18,-16.87,3.0113,19.743,26.408,0,0.495,0.1586,-0.11607
-150.1,-625.96,29.183,-0.33724,4.2483,1.3112,0.0037065,327.02,-19.756,6.7404,42.307,74.369,0,0.495,0.15064,-0.11208
-1315,-249.99,28.451,-0.26014,4.5555,3.5071,0.0063505,524.18,-22.654,11.149,73.135,134.36,0,0.495,0.14272,-0.11206
691.46,-792.59,29.667,-0.21418,3.8961,0.22287,0.0016011,125.67,-16.987,2.972,16.55,20.797,0,0.495,0.1586,-0.12006
-282.78,-922.13,29.211,0.11382,4.357,1.8201,0.004419,382.65,-22.348,12.13,52.339,87.901,0,0.495,0.1427,-0.12407
-1545.6,-848.83,28.36,0.28365,4.7316,4.5523,0.0073173,594.99,-25.944,17.83,87.679,153.93,0,0.495,0.13467,-0.12423
-2036.2,-554.7,27.998,0.14306,4.819,5.4823,0.0082168,642.23,-26.273,17.172,93.918,171.12,0,0.495,0.13469,-0.1202
-2507.2,-667.37,27.392,0.62862,5.0675,7.7724,0.0099849,757,-28.47,21.042,117.61,208.81,0,0.495,0.12671,-0.12825
-2897.4,-352.72,26.922,0.47617,5.1806,9.0625,0.011119,796.78,-29.041,19.169,121.51,224.23,0,0.495,0.12671,-0.12425
-1121,-1075.3,28.691,0.41721,4.6276,3.6892,0.0064602,542.29,-25.525,18.04,80.012,135.73,0,0.495,0.13466,-0.12824
-3332.8,-23.852,26.437,0.31427,5.2706,10.358,0.012266,829.05,-29.508,16.863,123.06,237.32,0,0.495,0.12673,-0.12022
-1.1417,-1072.1,29.405,0.23102,4.2669,1.3942,0.0038693,332.3,-22.125,11.599,45.039,72.713,0,0.495,0.14269,-0.12808
-2545.2,-295.66,27.614,-0.0035318,4.8874,6.4581,0.0091514,683.27,-26.518,15.895,99.033,186.47,0,0.495,0.13475,-0.1161
-3954.5,443.38,25.453,-0.030179,5.3733,12.851,0.014542,873.01,-30.136,10.896,122.67,256.14,0,0.495,0.12677,-0.11208
-3030.8,-34.479,27.209,-0.15355,4.9361,7.4621,0.010115,718.1,-26.665,13.808,102.8,199.82,0,0.495,0.13477,-0.11205
-3726.3,233.72,25.945,0.14484,5.3352,11.628,0.013411,854.22,-29.879,14.163,123.41,247.98,0,0.495,0.12675,-0.11615
511.23,-927.87,29.615,-0.008682,4.067,0.58159,0.0025272,208.91,-19.71,6.4911,26.004,40.888,0,0.495,0.15065,-0.12405
